Gene	cancer	HR	pvalue
ZSCAN20	GBM	0.919	0.31
A2M	GBM	1.103	0.32
ARL16	GBM	1.085	0.32
C5ORF55	GBM	1.092	0.32
C6ORF120	GBM	0.906	0.32
C7ORF63	GBM	1.09	0.32
CNOT3	GBM	0.92	0.32
DDX17	GBM	0.918	0.32
EIF3I	GBM	0.919	0.32
FAM86C1	GBM	1.094	0.32
FARSB	GBM	0.909	0.32
GDAP1L1	GBM	1.1	0.32
GPR12	GBM	1.093	0.32
GPRIN2	GBM	1.09	0.32
GRM2	GBM	1.089	0.32
GTPBP4	GBM	0.911	0.32
HACL1	GBM	0.913	0.32
HDGF	GBM	0.912	0.32
HNRNPU	GBM	0.916	0.32
HSPD1	GBM	0.913	0.32
IL12RB1	GBM	1.105	0.32
LEF1	GBM	1.105	0.32
LPPR1	GBM	1.104	0.32
MAML2	GBM	0.914	0.32
MEX3A	GBM	0.914	0.32
NDUFS5	GBM	0.915	0.32
NIPAL2	GBM	1.107	0.32
OR7D2	GBM	1.099	0.32
PCNA	GBM	0.913	0.32
POGZ	GBM	0.916	0.32
RERE	GBM	1.086	0.32
RIC3	GBM	1.101	0.32
SAE1	GBM	0.916	0.32
SHISA7	GBM	1.099	0.32
SLC25A38	GBM	0.905	0.32
SNRNP200	GBM	0.914	0.32
STAG1	GBM	0.908	0.32
TEAD1	GBM	1.095	0.32
TMEM139	GBM	1.092	0.32
TRIM33	GBM	0.918	0.32
ZNF331	GBM	0.914	0.32
ZNF408	GBM	1.1	0.32
ZNF41	GBM	0.91	0.32
ZNF485	GBM	0.914	0.32
ZNF808	GBM	0.907	0.32
BMS1	GBM	0.92	0.33
BRD3	GBM	0.914	0.33
FAM204A	GBM	0.913	0.33
CHST6	GBM	1.101	0.33
CRAMP1L	GBM	0.92	0.33
CSDE1	GBM	0.921	0.33
CTDSP2	GBM	1.1	0.33
DALRD3	GBM	0.913	0.33
ENPP3	GBM	0.914	0.33
FAM181B	GBM	0.913	0.33
FLAD1	GBM	0.912	0.33
FOXL2	GBM	0.911	0.33
GABRB2	GBM	1.104	0.33
GNL1	GBM	0.914	0.33
GTF2A1	GBM	0.917	0.33
KCNJ9	GBM	1.095	0.33
LAX1	GBM	1.096	0.33
LRP5L	GBM	0.913	0.33
MEPE	GBM	1.11	0.33
MRPL9	GBM	0.92	0.33
MSRB2	GBM	1.096	0.33
MYBPH	GBM	1.096	0.33
NDUFAF3	GBM	1.096	0.33
OR2H2	GBM	0.913	0.33
PCDHAC2	GBM	1.096	0.33
PLA2G5	GBM	1.094	0.33
RB1	GBM	0.917	0.33
RBM27	GBM	0.914	0.33
RBM44	GBM	0.912	0.33
RPRD2	GBM	0.915	0.33
SF3A1	GBM	0.918	0.33
SULT1C4	GBM	0.91	0.33
TOB2	GBM	0.916	0.33
TTLL7	GBM	0.918	0.33
UBC	GBM	1.082	0.33
ZNF385D	GBM	0.906	0.33
ZNF674	GBM	0.919	0.33
ABLIM1	GBM	0.919	0.34
B4GALT5	GBM	0.911	0.34
KATNBL1	GBM	0.919	0.34
C9ORF69	GBM	1.086	0.34
CARS	GBM	1.097	0.34
CCDC158	GBM	1.096	0.34
CCNJL	GBM	0.917	0.34
CDK4	GBM	1.095	0.34
CDKN1A	GBM	1.082	0.34
CHRNB1	GBM	1.098	0.34
COG1	GBM	1.087	0.34
DNAJC22	GBM	1.09	0.34
DNMT3B	GBM	0.923	0.34
EID2B	GBM	0.916	0.34
ZC2HC1A	GBM	1.092	0.34
FEV	GBM	1.093	0.34
GABRE	GBM	1.089	0.34
GXYLT1	GBM	1.094	0.34
IKBKB	GBM	0.918	0.34
KHDRBS1	GBM	0.915	0.34
MAML3	GBM	1.09	0.34
MED17	GBM	0.919	0.34
MOBP	GBM	1.09	0.34
MSL2	GBM	0.918	0.34
KAT7	GBM	0.918	0.34
NUP155	GBM	0.921	0.34
PER1	GBM	1.088	0.34
PHF5A	GBM	0.918	0.34
PIGB	GBM	1.101	0.34
PPT2	GBM	0.914	0.34
PRSS3	GBM	1.093	0.34
RCCD1	GBM	1.095	0.34
RPS9	GBM	0.925	0.34
SEC61A1	GBM	1.093	0.34
TAS2R10	GBM	0.911	0.34
TBC1D2B	GBM	1.099	0.34
TMBIM1	GBM	1.085	0.34
TMUB1	GBM	1.088	0.34
YPEL5	GBM	1.085	0.34
ZIC1	GBM	1.097	0.34
ZNF213	GBM	1.091	0.34
ZNF727	GBM	0.909	0.34
ZNF747	GBM	1.088	0.34
ZNF827	GBM	0.919	0.34
ARSA	GBM	1.087	0.35
ASXL2	GBM	0.919	0.35
ATPAF2	GBM	1.082	0.35
BRCA1	GBM	1.094	0.35
TEX26	GBM	1.095	0.35
C17ORF97	GBM	1.087	0.35
C2ORF71	GBM	1.09	0.35
C4ORF47	GBM	1.088	0.35
PTCHD4	GBM	1.094	0.35
C9ORF78	GBM	0.921	0.35
CAMK1	GBM	1.094	0.35
CEBPA	GBM	1.092	0.35
CUL3	GBM	0.906	0.35
ELAVL1	GBM	0.919	0.35
HIST1H2AM	GBM	0.916	0.35
IRF2BP2	GBM	0.915	0.35
JAKMIP2	GBM	1.096	0.35
KLHDC7A	GBM	1.091	0.35
LOC541473	GBM	1.088	0.35
MS4A6A	GBM	1.086	0.35
MYCBP2	GBM	1.089	0.35
NR3C1	GBM	0.923	0.35
RFWD3	GBM	0.917	0.35
SH2B3	GBM	1.097	0.35
SMEK1	GBM	0.92	0.35
SMS	GBM	1.096	0.35
STAG3L2	GBM	1.091	0.35
TAF1D	GBM	0.916	0.35
TCEAL5	GBM	1.085	0.35
TRA2B	GBM	0.915	0.35
TRMT61B	GBM	0.919	0.35
UFSP2	GBM	1.1	0.35
VPS37B	GBM	1.083	0.35
WRN	GBM	0.914	0.35
ZNF749	GBM	0.925	0.35
ANKRD37	GBM	1.084	0.36
ATN1	GBM	0.924	0.36
BCAR1	GBM	1.09	0.36
ACTL10	GBM	1.091	0.36
CALM2	GBM	1.078	0.36
CCDC144CP	GBM	0.922	0.36
CLDN20	GBM	1.095	0.36
DIP2C	GBM	1.083	0.36
EFCAB4A	GBM	1.105	0.36
EVC2	GBM	1.09	0.36
METTL21B	GBM	1.096	0.36
FAM71F1	GBM	1.086	0.36
FAM83G	GBM	1.086	0.36
FFAR3	GBM	1.096	0.36
FLT3	GBM	1.105	0.36
FLT4	GBM	0.919	0.36
HIST1H2BH	GBM	1.09	0.36
HSBP1L1	GBM	1.089	0.36
KHDC1L	GBM	0.919	0.36
LEMD2	GBM	1.086	0.36
LUZP1	GBM	1.085	0.36
MYOZ2	GBM	1.088	0.36
NIPSNAP3B	GBM	1.092	0.36
RAPGEF3	GBM	1.092	0.36
RCOR1	GBM	0.92	0.36
RPTOR	GBM	1.084	0.36
RSAD1	GBM	0.92	0.36
SLITRK2	GBM	1.089	0.36
SMAD7	GBM	1.086	0.36
TIGD6	GBM	1.092	0.36
TRAF3	GBM	1.09	0.36
TRAF7	GBM	0.914	0.36
TTN	GBM	0.917	0.36
WDR5B	GBM	0.915	0.36
WDR83	GBM	0.922	0.36
WDR88	GBM	1.091	0.36
YBX1	GBM	0.92	0.36
ZC3H6	GBM	1.084	0.36
ZNF135	GBM	1.088	0.36
ZNF517	GBM	1.088	0.36
ZNF660	GBM	0.921	0.36
ZNF92	GBM	1.096	0.36
ZSCAN1	GBM	0.915	0.36
AGAP6	GBM	0.929	0.37
SLC35G5	GBM	1.087	0.37
BTK	GBM	1.082	0.37
SAMD15	GBM	1.085	0.37
C19ORF45	GBM	0.915	0.37
C19ORF66	GBM	1.088	0.37
C1ORF94	GBM	0.911	0.37
C21ORF62	GBM	1.094	0.37
C5ORF56	GBM	1.088	0.37
CCND3	GBM	1.082	0.37
CCNK	GBM	0.918	0.37
CDC16	GBM	0.93	0.37
CHST8	GBM	1.084	0.37
COL20A1	GBM	1.088	0.37
CORT	GBM	1.086	0.37
CTNND2	GBM	1.086	0.37
DICER1	GBM	0.922	0.37
FAM32A	GBM	0.93	0.37
FRG1	GBM	1.081	0.37
GLI1	GBM	0.92	0.37
GNAQ	GBM	1.08	0.37
GPR75	GBM	0.923	0.37
IER2	GBM	1.093	0.37
ILK	GBM	0.925	0.37
KIAA0174	GBM	0.915	0.37
KLF4	GBM	1.103	0.37
ANKRD65	GBM	0.916	0.37
LRRC66	GBM	1.083	0.37
LRRIQ4	GBM	1.085	0.37
LZTR1	GBM	0.918	0.37
MYH9	GBM	1.089	0.37
NPHP3	GBM	0.927	0.37
OXR1	GBM	0.915	0.37
POLR2A	GBM	1.087	0.37
POU3F4	GBM	0.927	0.37
PRR18	GBM	1.091	0.37
RFXAP	GBM	0.929	0.37
SELM	GBM	1.095	0.37
SGCB	GBM	1.091	0.37
SNX30	GBM	1.082	0.37
SPIN4	GBM	0.922	0.37
STAU2	GBM	1.089	0.37
TAF1	GBM	0.925	0.37
TCEAL2	GBM	1.087	0.37
TSSK3	GBM	0.919	0.37
USP6	GBM	0.924	0.37
VSTM2B	GBM	1.094	0.37
ZFP91	GBM	0.92	0.37
ZNF621	GBM	0.924	0.37
ZNF750	GBM	0.909	0.37
ZNHIT6	GBM	0.931	0.37
ACADSB	GBM	0.919	0.38
ADAMTS17	GBM	1.086	0.38
ARHGAP26	GBM	1.08	0.38
ATP6V0D2	GBM	1.094	0.38
BUB1B	GBM	0.921	0.38
TPGS1	GBM	0.925	0.38
SETD9	GBM	1.079	0.38
ANXA2R	GBM	1.077	0.38
C9ORF24	GBM	1.079	0.38
CRB1	GBM	0.921	0.38
CTCF	GBM	0.919	0.38
CYSLTR1	GBM	0.923	0.38
FAM167B	GBM	1.094	0.38
GALNT18	GBM	1.084	0.38
HBA1	GBM	1.088	0.38
IRF2	GBM	1.077	0.38
MALL	GBM	1.087	0.38
MBD6	GBM	1.085	0.38
MDN1	GBM	0.927	0.38
MSH2	GBM	0.922	0.38
NOL11	GBM	0.928	0.38
TENM4	GBM	1.085	0.38
PCP4L1	GBM	1.092	0.38
PIK3CA	GBM	0.92	0.38
BLOC1S6	GBM	0.92	0.38
PRRT4	GBM	0.916	0.38
PTGIR	GBM	1.091	0.38
PTP4A2	GBM	1.074	0.38
PUM1	GBM	0.932	0.38
RAB32	GBM	0.921	0.38
SRSF2	GBM	0.929	0.38
SHISA4	GBM	1.083	0.38
SLC2A12	GBM	1.085	0.38
SPINK8	GBM	0.922	0.38
TAOK1	GBM	0.922	0.38
TMEM201	GBM	1.08	0.38
TMEM44	GBM	1.092	0.38
VAMP5	GBM	1.084	0.38
YAP1	GBM	0.913	0.38
ZEB2	GBM	1.088	0.38
ZNF611	GBM	0.922	0.38
ACSF2	GBM	0.916	0.39
BCAS2	GBM	0.926	0.39
C10ORF105	GBM	1.081	0.39
CAMSAP1	GBM	1.078	0.39
CCDC144B	GBM	0.921	0.39
ECSIT	GBM	0.927	0.39
FAM159A	GBM	1.084	0.39
FAM73A	GBM	0.92	0.39
FGFR4	GBM	0.922	0.39
HIST1H2BN	GBM	0.931	0.39
KDR	GBM	0.924	0.39
KIAA0100	GBM	1.082	0.39
LSS	GBM	0.928	0.39
NLRP14	GBM	0.916	0.39
NPDC1	GBM	0.928	0.39
P2RY8	GBM	1.079	0.39
PLAG1	GBM	0.924	0.39
PPP2R1A	GBM	0.925	0.39
SCNN1D	GBM	0.924	0.39
SEPT9	GBM	1.079	0.39
SRSF3	GBM	0.928	0.39
USP48	GBM	0.932	0.39
VAV2	GBM	1.086	0.39
ZNF404	GBM	0.929	0.39
ZNF853	GBM	1.085	0.39
ACPL2	GBM	0.918	0.4
ATXN1	GBM	1.077	0.4
BRAF	GBM	1.081	0.4
MCMBP	GBM	0.921	0.4
TMEM260	GBM	0.92	0.4
C1ORF115	GBM	1.087	0.4
RBM48	GBM	1.078	0.4
CRKL	GBM	0.931	0.4
DDX6	GBM	0.927	0.4
FAM182A	GBM	0.926	0.4
FAM69A	GBM	1.079	0.4
KCNS3	GBM	1.083	0.4
CTIF	GBM	1.078	0.4
KIAA1644	GBM	1.084	0.4
KIAA1949	GBM	1.089	0.4
LPP	GBM	0.92	0.4
METTL2A	GBM	0.924	0.4
MGAT4C	GBM	0.927	0.4
MRPL34	GBM	0.928	0.4
MUSTN1	GBM	1.085	0.4
PAPD7	GBM	1.074	0.4
PARP1	GBM	0.925	0.4
PIK3R2	GBM	0.927	0.4
PSMD7	GBM	0.914	0.4
PSME4	GBM	0.927	0.4
QTRTD1	GBM	0.93	0.4
RAMP3	GBM	1.077	0.4
RBM42	GBM	0.925	0.4
RS1	GBM	1.082	0.4
SPATA22	GBM	0.929	0.4
TBX18	GBM	0.925	0.4
TIGD7	GBM	0.926	0.4
TNMD	GBM	0.918	0.4
WWTR1	GBM	1.083	0.4
ZCCHC18	GBM	0.927	0.4
ZNF233	GBM	0.921	0.4
ZNF800	GBM	1.082	0.4
ASXL1	GBM	0.936	0.41
ATP13A1	GBM	0.931	0.41
C15ORF40	GBM	1.07	0.41
VWA9	GBM	0.922	0.41
C8G	GBM	0.922	0.41
SBSPON	GBM	1.084	0.41
CDK6	GBM	1.073	0.41
CORIN	GBM	1.075	0.41
CTNNA2	GBM	1.078	0.41
ESAM	GBM	0.929	0.41
FAM166B	GBM	0.923	0.41
FAM189A1	GBM	1.085	0.41
FAM73B	GBM	0.93	0.41
FCRL6	GBM	1.091	0.41
GAD2	GBM	1.081	0.41
GIMAP2	GBM	1.074	0.41
GPKOW	GBM	1.08	0.41
IMPA2	GBM	1.089	0.41
IQCD	GBM	1.079	0.41
TRAPPC8	GBM	0.925	0.41
CEP44	GBM	0.925	0.41
KIF1A	GBM	1.081	0.41
LNP1	GBM	0.927	0.41
MFSD4	GBM	1.082	0.41
MYB	GBM	1.073	0.41
NFIC	GBM	0.934	0.41
NUP62	GBM	0.929	0.41
PCDHB13	GBM	1.072	0.41
PKIA	GBM	1.084	0.41
PMS2	GBM	1.086	0.41
POFUT2	GBM	1.081	0.41
SCRN2	GBM	1.073	0.41
SFT2D2	GBM	1.083	0.41
SLC24A2	GBM	1.079	0.41
TEX264	GBM	1.08	0.41
TFEB	GBM	1.074	0.41
TUBGCP3	GBM	0.929	0.41
ZNF57	GBM	0.931	0.41
BIRC6	GBM	0.934	0.42
C1ORF227	GBM	0.926	0.42
CD274	GBM	1.079	0.42
CD8B	GBM	1.079	0.42
CDC123	GBM	0.925	0.42
ERG	GBM	0.925	0.42
FAM126B	GBM	0.925	0.42
FAM151B	GBM	1.083	0.42
GCM1	GBM	1.081	0.42
HAUS8	GBM	0.93	0.42
HDAC2	GBM	0.928	0.42
KLHL31	GBM	0.932	0.42
KRTAP5-1	GBM	1.082	0.42
LRIG1	GBM	0.927	0.42
MCL1	GBM	1.08	0.42
PCDHA2	GBM	1.079	0.42
PDCL3	GBM	1.076	0.42
PDE7A	GBM	1.078	0.42
RAD50	GBM	1.073	0.42
SH3PXD2A	GBM	1.083	0.42
SNX20	GBM	1.076	0.42
SYNGR4	GBM	1.085	0.42
TAF1B	GBM	0.925	0.42
USP24	GBM	0.936	0.42
WDR33	GBM	0.928	0.42
ZBTB7A	GBM	1.074	0.42
ZNF484	GBM	0.921	0.42
ZNF785	GBM	0.931	0.42
ALG11	GBM	0.93	0.43
ARAF	GBM	0.931	0.43
C17ORF74	GBM	1.081	0.43
TMA16	GBM	0.93	0.43
CD28	GBM	1.08	0.43
CDNF	GBM	0.931	0.43
CSF1R	GBM	1.072	0.43
CYP20A1	GBM	0.931	0.43
DDX5	GBM	0.934	0.43
DGKZ	GBM	1.067	0.43
ETNK1	GBM	0.929	0.43
FAM153A	GBM	1.089	0.43
FAM58A	GBM	1.073	0.43
FOXD4L2	GBM	0.937	0.43
GATSL3	GBM	0.932	0.43
GTF3C5	GBM	0.932	0.43
HERPUD1	GBM	1.073	0.43
HOXA9	GBM	1.081	0.43
KRT75	GBM	1.08	0.43
NDUFS1	GBM	0.932	0.43
PBRM1	GBM	0.935	0.43
PIK3R3	GBM	0.927	0.43
PPP1R1C	GBM	1.085	0.43
PRSS55	GBM	0.931	0.43
SEC62	GBM	1.072	0.43
SLC35E4	GBM	1.081	0.43
STIP1	GBM	1.076	0.43
TMEM99	GBM	1.072	0.43
TOMM22	GBM	0.93	0.43
TYW1B	GBM	1.071	0.43
UPF2	GBM	0.933	0.43
ZBED5	GBM	0.932	0.43
ZNF182	GBM	0.932	0.43
ZNF34	GBM	0.925	0.43
ZNF680	GBM	0.915	0.43
ZNF721	GBM	0.928	0.43
ZNF782	GBM	0.936	0.43
ADAM19	GBM	1.07	0.44
ANKHD1	GBM	0.935	0.44
ATP13A4	GBM	0.934	0.44
B3GALT4	GBM	1.065	0.44
C17ORF100	GBM	1.07	0.44
C19ORF73	GBM	1.07	0.44
TMEM240	GBM	0.937	0.44
C6ORF201	GBM	0.933	0.44
C8ORF47	GBM	0.926	0.44
CAMTA1	GBM	1.08	0.44
CBFA2T3	GBM	1.074	0.44
CLCN6	GBM	1.069	0.44
COPS5	GBM	1.073	0.44
CYLD	GBM	1.068	0.44
ERBB3	GBM	1.076	0.44
FAM160A2	GBM	1.075	0.44
FRYL	GBM	0.936	0.44
GPATCH8	GBM	0.933	0.44
HEXDC	GBM	1.073	0.44
HIST1H1E	GBM	0.929	0.44
HLA-DRB5	GBM	0.927	0.44
IFT27	GBM	0.935	0.44
KCNA6	GBM	1.076	0.44
LRP2BP	GBM	0.927	0.44
LRRTM3	GBM	0.934	0.44
MAP4K4	GBM	1.073	0.44
ODF3L2	GBM	0.925	0.44
PCDHB14	GBM	1.073	0.44
PCTP	GBM	0.931	0.44
SLC1A7	GBM	1.076	0.44
SLC2A13	GBM	1.073	0.44
STAM2	GBM	0.929	0.44
THAP5	GBM	0.92	0.44
TMEM131	GBM	0.935	0.44
TMEM67	GBM	0.934	0.44
UBE2G1	GBM	1.073	0.44
ZC3H13	GBM	0.934	0.44
ZFP90	GBM	0.934	0.44
ZNF117	GBM	0.934	0.44
ZNF285	GBM	0.935	0.44
ZNF628	GBM	0.936	0.44
ZNF775	GBM	1.076	0.44
ADAT3	GBM	0.932	0.45
ADCYAP1R1	GBM	0.932	0.45
ADRB1	GBM	0.93	0.45
AKIRIN1	GBM	0.935	0.45
APOO	GBM	1.073	0.45
ATP6V0E2	GBM	1.079	0.45
BICD2	GBM	1.066	0.45
MSANTD2	GBM	0.939	0.45
C14ORF178	GBM	0.934	0.45
CA2	GBM	1.074	0.45
CAMK1G	GBM	1.076	0.45
CCDC88A	GBM	0.934	0.45
CDKN2C	GBM	0.936	0.45
CHRNA1	GBM	0.931	0.45
DCUN1D4	GBM	0.932	0.45
EVC	GBM	1.082	0.45
FAM13C	GBM	1.071	0.45
FAM69B	GBM	0.933	0.45
KDM5B	GBM	0.935	0.45
SLC25A53	GBM	0.93	0.45
PCBP1	GBM	0.934	0.45
PRDM11	GBM	1.074	0.45
PSMB8	GBM	0.934	0.45
SLC6A12	GBM	1.079	0.45
SYT9	GBM	1.069	0.45
THEMIS	GBM	1.08	0.45
TMEM125	GBM	1.069	0.45
TTBK1	GBM	1.07	0.45
UBTF	GBM	1.077	0.45
WNK2	GBM	1.076	0.45
ZBTB16	GBM	1.065	0.45
ZNF394	GBM	1.072	0.45
ZNF831	GBM	1.077	0.45
ZNF880	GBM	0.932	0.45
ACO2	GBM	0.935	0.46
ALG13	GBM	0.937	0.46
BRCA2	GBM	0.937	0.46
C1ORF86	GBM	0.938	0.46
CASKIN1	GBM	1.075	0.46
CCDC6	GBM	0.933	0.46
CHD2	GBM	0.935	0.46
CSRNP1	GBM	1.074	0.46
GNAL	GBM	1.065	0.46
LOC649330	GBM	0.938	0.46
MAP3K12	GBM	1.075	0.46
MEPCE	GBM	1.069	0.46
METTL12	GBM	0.93	0.46
MKS1	GBM	0.938	0.46
NUBP2	GBM	0.937	0.46
PIGH	GBM	0.932	0.46
PTMA	GBM	1.066	0.46
QKI	GBM	0.934	0.46
SIGLEC5	GBM	1.071	0.46
SRPK2	GBM	1.076	0.46
TMSB15B	GBM	1.066	0.46
YLPM1	GBM	0.937	0.46
ZNF17	GBM	0.936	0.46
ZNF329	GBM	0.935	0.46
ZNF334	GBM	0.936	0.46
ZNF714	GBM	0.927	0.46
ADPRHL2	GBM	1.068	0.47
AXIN1	GBM	1.069	0.47
BTG1	GBM	1.063	0.47
C2ORF73	GBM	1.074	0.47
C8ORF48	GBM	1.068	0.47
C9ORF72	GBM	1.067	0.47
CA5A	GBM	0.936	0.47
CDRT1	GBM	1.068	0.47
CHODL	GBM	1.07	0.47
CSMD3	GBM	1.069	0.47
DMBX1	GBM	1.078	0.47
ERBB2	GBM	1.078	0.47
EZR	GBM	0.937	0.47
FAM198A	GBM	1.067	0.47
FAM199X	GBM	0.936	0.47
FBLN2	GBM	1.076	0.47
FRMPD2	GBM	1.078	0.47
GPM6A	GBM	1.072	0.47
IL1RL1	GBM	1.069	0.47
KIAA1279	GBM	1.069	0.47
KIAA1731	GBM	0.94	0.47
LRRC69	GBM	1.078	0.47
MCF2L2	GBM	1.073	0.47
MED26	GBM	0.937	0.47
MFAP1	GBM	0.928	0.47
MTHFSD	GBM	0.939	0.47
NCKAP1	GBM	0.932	0.47
NFIB	GBM	0.937	0.47
PLLP	GBM	1.076	0.47
PTPN1	GBM	1.074	0.47
RANBP2	GBM	0.941	0.47
RHD	GBM	1.074	0.47
RUNX2	GBM	1.073	0.47
SLC25A14	GBM	1.065	0.47
SYCE1L	GBM	0.934	0.47
SYT15	GBM	0.94	0.47
TAS2R19	GBM	1.068	0.47
TAS2R31	GBM	0.927	0.47
TBC1D14	GBM	1.074	0.47
TECPR1	GBM	1.068	0.47
TMEM108	GBM	0.927	0.47
TSC2	GBM	0.938	0.47
WDR27	GBM	0.941	0.47
WEE2	GBM	1.069	0.47
WTAP	GBM	0.929	0.47
XRCC3	GBM	0.932	0.47
ZNF157	GBM	0.932	0.47
ZNF248	GBM	0.94	0.47
EFCAB12	GBM	1.069	0.48
APPBP2	GBM	0.936	0.48
BCL6	GBM	1.068	0.48
BRD7	GBM	0.936	0.48
C10ORF95	GBM	1.077	0.48
CDC42	GBM	1.063	0.48
COL4A1	GBM	0.928	0.48
CREB3L2	GBM	1.064	0.48
DDX42	GBM	0.942	0.48
EPHA3	GBM	0.934	0.48
H3F3A	GBM	0.941	0.48
ITPR3	GBM	1.071	0.48
KIAA1683	GBM	0.939	0.48
KRTCAP3	GBM	0.94	0.48
LRFN3	GBM	1.069	0.48
KMT2A	GBM	0.941	0.48
HNRNPU	GBM	0.94	0.48
NIPAL4	GBM	1.068	0.48
RNPEPL1	GBM	1.064	0.48
SEC24B	GBM	0.936	0.48
SNX21	GBM	1.073	0.48
TCTEX1D4	GBM	1.071	0.48
TMEM198	GBM	1.075	0.48
TMEM50A	GBM	1.063	0.48
TXNL1	GBM	1.067	0.48
VEGFA	GBM	1.07	0.48
ZNF337	GBM	0.943	0.48
ZNF48	GBM	0.938	0.48
ADO	GBM	0.937	0.49
AHSG	GBM	0.939	0.49
TMEM254	GBM	1.068	0.49
C10ORF68	GBM	0.935	0.49
C12ORF73	GBM	1.057	0.49
C19ORF44	GBM	0.938	0.49
DZANK1	GBM	0.943	0.49
C2ORF82	GBM	0.936	0.49
CAPN14	GBM	0.938	0.49
CLN5	GBM	1.06	0.49
CXORF36	GBM	0.94	0.49
DNAJB6	GBM	1.063	0.49
FAM169A	GBM	0.934	0.49
FAM198B	GBM	1.06	0.49
PIEZO1	GBM	1.069	0.49
H1FX	GBM	0.937	0.49
HMGA1	GBM	1.066	0.49
IGSF9	GBM	0.94	0.49
KCNJ6	GBM	0.943	0.49
KHDC1	GBM	1.068	0.49
KIAA0020	GBM	0.938	0.49
TESPA1	GBM	1.067	0.49
KIAA1432	GBM	0.938	0.49
LIMCH1	GBM	0.935	0.49
LY86	GBM	1.062	0.49
MAPK1	GBM	0.939	0.49
MCEE	GBM	0.941	0.49
NAGK	GBM	1.069	0.49
NEURL2	GBM	1.068	0.49
NOL4	GBM	1.072	0.49
NSUN3	GBM	0.937	0.49
NTN5	GBM	0.941	0.49
NXPH3	GBM	0.942	0.49
PCMTD1	GBM	0.935	0.49
PHLPP1	GBM	1.065	0.49
PTPRB	GBM	0.936	0.49
RGL4	GBM	1.069	0.49
SCN3A	GBM	0.941	0.49
SH3GL1	GBM	0.943	0.49
SH3RF3	GBM	1.068	0.49
SLC23A3	GBM	0.938	0.49
SLC30A3	GBM	1.073	0.49
STAT5B	GBM	1.064	0.49
SUFU	GBM	1.068	0.49
TEC	GBM	1.067	0.49
TMEM178A	GBM	0.937	0.49
TMEM206	GBM	0.939	0.49
TSPAN11	GBM	1.066	0.49
UBAP2	GBM	0.942	0.49
ZDBF2	GBM	1.066	0.49
ZNF462	GBM	0.941	0.49
ALK	GBM	1.063	0.5
ANO6	GBM	1.066	0.5
C12ORF49	GBM	1.063	0.5
CCDC135	GBM	1.063	0.5
DBP	GBM	0.934	0.5
FAM102A	GBM	1.062	0.5
FAM167A	GBM	1.062	0.5
FAM76A	GBM	0.943	0.5
FCN1	GBM	1.071	0.5
GGCX	GBM	1.068	0.5
HCAR3	GBM	0.935	0.5
IGSF21	GBM	1.059	0.5
ITM2C	GBM	1.073	0.5
LAMB2	GBM	0.939	0.5
LILRB5	GBM	1.074	0.5
LRRC4B	GBM	1.067	0.5
MEIS2	GBM	1.073	0.5
MPV17	GBM	1.061	0.5
MRPL10	GBM	1.061	0.5
MRPL2	GBM	0.938	0.5
NLRP1	GBM	1.066	0.5
ORC5	GBM	1.062	0.5
PEX5L	GBM	1.062	0.5
PLA1A	GBM	1.07	0.5
PPM1D	GBM	0.941	0.5
PRSS23	GBM	1.067	0.5
RDH14	GBM	1.061	0.5
SDHA	GBM	1.058	0.5
SCAF4	GBM	0.945	0.5
SGIP1	GBM	1.068	0.5
SH2D7	GBM	0.937	0.5
SLC5A12	GBM	0.944	0.5
SUV420H1	GBM	1.068	0.5
TAL2	GBM	1.064	0.5
TGIF1	GBM	1.061	0.5
TMCO6	GBM	1.061	0.5
TRIM38	GBM	0.94	0.5
ZNF138	GBM	0.936	0.5
ZNF574	GBM	0.939	0.5
ZNF860	GBM	0.937	0.5
C20ORF196	GBM	0.946	0.51
OARD1	GBM	0.942	0.51
C9ORF37	GBM	0.941	0.51
CHMP4B	GBM	1.064	0.51
CLEC16A	GBM	1.059	0.51
CTNNB1	GBM	1.062	0.51
DDX10	GBM	0.941	0.51
FAM179A	GBM	1.058	0.51
FAM19A2	GBM	1.063	0.51
FIP1L1	GBM	0.941	0.51
FYN	GBM	1.065	0.51
INSIG1	GBM	1.06	0.51
DNAAF1	GBM	1.062	0.51
LYPD6B	GBM	1.057	0.51
MATN2	GBM	0.942	0.51
MBNL1	GBM	0.942	0.51
NAB2	GBM	1.065	0.51
NFKBIA	GBM	1.063	0.51
NTHL1	GBM	0.941	0.51
PIK3C2B	GBM	1.062	0.51
POLD1	GBM	0.941	0.51
POT1	GBM	0.937	0.51
PTGES3	GBM	1.058	0.51
RET	GBM	1.064	0.51
SIGLEC8	GBM	1.06	0.51
SLC9C2	GBM	1.06	0.51
TAS2R5	GBM	0.944	0.51
TBR1	GBM	1.07	0.51
TOMM20L	GBM	0.942	0.51
ZFP36L2	GBM	1.064	0.51
BCL2L11	GBM	1.059	0.52
C1ORF158	GBM	1.059	0.52
C3ORF18	GBM	0.938	0.52
CADPS	GBM	1.061	0.52
CCDC22	GBM	0.94	0.52
CCDC78	GBM	1.058	0.52
CD58	GBM	1.059	0.52
CDH26	GBM	0.946	0.52
CTBP2	GBM	0.935	0.52
DSCR6	GBM	0.941	0.52
DUSP18	GBM	1.056	0.52
EIF2C3	GBM	0.944	0.52
FANCE	GBM	0.942	0.52
GRIA3	GBM	0.941	0.52
