Gene	Cancer_median	Normal_median	TSG	OG	NG
GPT2	0.174	0.875	0	0	0
PACS1	0.047	0.566	0	0	0
CISD2	?	?	0	0	0
IRX1	0.844	0.064	0	0	1
NFIC	0.897	0.352	0	0	0
AHCYL2	0.172	0.836	0	0	0
SBF2	0.154	0.888	0	0	0
ZBTB25	0.1705	0.724	0	0	0
ZBTB1	?	?	0	0	0
UBE2G2	?	?	0	0	0
MALT1	?	?	0	1	0
PGM2	?	?	0	0	1
TAPBP	0.173	0.765	0	0	0
ZBTB22	0.18	0.5	0	0	1
DNAJA2	0.159	0.886	0	0	0
MAPKAPK3	0.132	0.7245	0	0	0
PDXDC1	0.5	0.5	0	0	0
ABHD2	0.155	0.839	0	0	0
RTF1	0.839	0.334	0	0	0
KCNMB4	0.165	0.727	0	0	0
TMUB1	0.163	0.5	0	0	1
ARNT	0.891	0.384	1	1	0
SP9	0.852	0.127	0	0	1
LGALS3	0.821	0.32	0	0	0
ABHD5	0.5	0.5	0	0	0
G2E3	?	?	0	0	0
DCAF12	0.899	0.382	0	0	0
PDIK1L	0.112	0.637	0	0	0
GRAMD1A	0.5	0.5	0	0	0
RRAS2	0.5	0.5	0	0	0
NSD1	0.5	0.5	0	0	0
EXOSC2	?	?	0	0	0
NUP155	?	?	0	0	0
ELAVL1	0.5	0.5	0	0	0
PKNOX2	0.156	0.846	0	0	0
ARFGEF2	?	?	0	0	0
NOVA1	0.181	0.84	0	0	0
UBL5	?	?	0	0	0
NPAS3	0.849	0.387	0	0	0
PQLC1	0.836	0.278	0	0	0
UBE3C	0.171	0.81	0	0	0
STX18	0.1655	0.8135	0	0	0
FOXM1	?	?	0	0	0
SLC39A1	0.5	0.5	0	0	0
CREB3L4	0.887	0.37	0	0	0
CBL	0.5	0.5	1	1	0
RPL22	0.821	0.271	1	0	0
SEPW1	0.886	0.259	0	0	0
SMARCA4	0.172	0.5	1	0	0
SUPT5H	?	?	0	0	0
BUB1	?	?	0	0	0
SEMA3F	0.815	0.265	0	0	0
IFT57	0.1845	0.5	0	0	0
VPS54	?	?	0	0	0
HIRIP3	?	?	0	0	0
ZNF747	?	?	0	0	1
UPF2	0.888	0.327	0	0	0
NPC1	0.5	0.5	0	0	0
ATXN10	?	?	0	0	0
CD276	0.5	0.5	0	0	0
SMC3	?	?	0	0	0
PSMD14	0.5	0.5	0	0	0
DCAF8	?	?	0	0	0
COL16A1	0.168	0.691	0	0	0
VPS45	?	?	0	0	0
WDFY1	0.165	0.768	0	0	0
MED25	?	?	0	0	0
MBTPS1	?	?	0	0	0
RAB21	?	?	0	0	0
SLFN12	0.137	0.894	0	0	0
ST3GAL6	0.187	0.845	0	0	0
TAX1BP1	0.14900000000000002	0.693	0	0	0
ADSL	?	?	0	0	0
SMG5	0.5	0.5	0	0	0
C18ORF10	?	?	0	0	0
TIFA	0.1435	0.811	0	0	0
ZNF140	?	?	0	0	0
DCP1A	0.078	0.543	0	0	0
ADAR	0.1795	0.782	0	0	0
INO80	0.8654999999999999	0.326	0	0	0
PSAP	?	?	0	0	0
FRAT1	?	?	0	0	0
CHAC1	?	?	0	0	0
ATP6V1B2	0.1545	0.749	0	0	0
FLRT3	0.5	0.5	0	0	0
ARL5A	?	?	0	0	0
ZNF787	0.138	0.654	0	0	0
BACH2	0.162	0.79	0	0	0
ELL	0.061	0.5	1	0	0
CLCN6	0.9035	0.392	0	0	1
MTHFR	0.197	0.805	0	0	0
RDH10	0.1735	0.5	0	0	1
RPL7	?	?	0	0	0
EPOR	0.873	0.36	0	0	0
CDC42	0.8145	0.10350000000000001	0	0	0
FKBP5	0.174	0.813	0	0	0
PRH1	0.153	0.5	0	0	1
APRT	?	?	0	0	0
STAM2	0.167	0.5	0	0	1
PARP14	?	?	0	0	0
TJP2	0.148	0.825	0	0	0
RIOK2	?	?	0	0	0
PRMT7	?	?	0	0	0
RBM25	?	?	0	0	0
REPIN1	0.196	0.894	0	0	0
FAM57A	0.5	0.5	0	0	0
LENG9	?	?	0	0	1
TXNDC5	?	?	0	0	0
AP1S2	?	?	0	0	0
REEP3	0.5	0.5	0	0	0
SH2B1	0.163	0.79	0	0	0
ARF3	?	?	0	0	0
PDLIM1	?	?	0	0	0
COL13A1	0.1725	0.6	0	0	0
GOT1	?	?	0	0	0
RMND5A	0.872	0.337	0	0	0
ACAD9	?	?	0	0	0
ANKRD37	0.172	0.5	0	0	1
SMG9	?	?	0	0	1
TBX15	0.855	0.264	0	0	0
TPRG1L	0.5	0.5	0	0	1
SVEP1	0.189	0.769	0	0	0
TTC35	?	?	0	0	0
MTFR1	?	?	0	0	0
CD55	0.183	0.853	0	0	0
RNF34	?	?	0	0	0
DPY19L4	?	?	0	0	0
SLC15A4	0.166	0.859	0	0	0
RPS24	0.152	0.772	0	0	0
MRM1	?	?	0	0	0
SSR1	?	?	0	0	0
EPHA7	0.176	0.669	0	0	0
NFYC	0.166	0.691	0	0	0
NFIX	0.882	0.38	0	0	0
PLEKHH3	0.04	0.5	0	0	1
UBE2B	?	?	0	0	0
LEMD2	0.808	0.191	0	0	1
RLIM	?	?	0	0	0
GMPPA	?	?	0	0	1
CEBPG	0.161	0.715	0	0	0
RGS10	0.142	0.683	0	0	0
ZNF398	0.5	0.5	0	0	0
RNF150	0.1785	0.753	0	0	0
ZBTB34	0.821	0.153	0	0	0
RAB20	0.866	0.285	0	0	0
TNPO3	0.16999999999999998	0.837	0	0	0
PANK3	?	?	0	0	0
ZDHHC17	0.1395	0.897	0	0	0
PUF60	0.927	0.383	0	0	0
CAPN7	?	?	0	0	0
MAP3K11	?	?	0	0	0
PER2	0.879	0.348	0	0	1
SASH1	0.1685	0.898	0	0	0
SUPT16H	0.5	0.5	0	0	0
FAM189B	0.1575	0.5	0	0	1
MRPL33	0.18	0.685	0	0	0
UBR7	0.172	0.751	0	0	0
RPS23	?	?	0	0	0
KIF16B	0.5	0.5	0	0	1
MCPH1	0.15	0.762	0	0	0
AKAP11	0.1515	0.854	0	0	0
ATRX	?	?	1	0	0
RANBP3	?	?	0	0	0
PPIG	0.5	0.5	0	0	0
CETN3	?	?	0	0	0
ZDHHC7	0.1765	0.692	0	0	0
ZNF692	?	?	0	0	0
TFB1M	?	?	0	0	0
BOD1L	?	?	0	0	0
RAB7A	0.081	0.574	0	0	0
TMEM63A	0.5	0.5	0	0	0
UBE2E2	0.182	0.858	0	0	0
STK38L	0.163	0.754	0	0	0
PIGV	?	?	0	0	0
AVL9	0.1485	0.689	0	0	0
ATAD3B	?	?	0	0	0
GRWD1	0.5	0.5	0	0	0
FDX1	?	?	0	0	0
TFEB	0.84	0.327	0	1	0
NPHP3	0.1655	0.5	0	0	1
NAPEPLD	0.067	0.579	0	0	0
CUL5	?	?	0	0	0
GPD2	0.1565	0.689	0	0	0
NACC2	0.156	0.918	0	0	0
MAOA	0.124	0.5	0	0	1
COPS4	0.5	0.5	0	0	0
UBB	?	?	0	0	0
TPCN1	0.099	0.712	0	0	0
CDK5	0.8505	0.253	0	0	0
SLC4A2	0.5	0.5	0	0	1
GLCE	0.0725	0.574	0	0	0
ZNF76	0.861	0.297	0	0	0
TBCA	0.8485	0.298	0	0	0
TRIM38	0.157	0.5	0	0	1
MRPL20	?	?	0	0	0
SLCO5A1	0.142	0.815	0	0	0
INTS12	0.9335	0.5	0	0	1
TEF	0.5	0.5	0	0	0
IMPA2	0.5	0.5	0	0	1
SFT2D2	0.165	0.5	0	0	1
RBM24	0.16	0.5	0	0	1
MIF	?	?	0	0	0
ZKSCAN5	?	?	0	0	0
PEX1	?	?	0	0	1
MAML1	0.846	0.273	0	0	0
SRRT	0.123	0.901	0	0	0
NADK	0.149	0.777	0	0	0
CXXC4	0.151	0.548	0	0	0
ABL2	0.159	0.5	0	1	0
CAMLG	?	?	0	0	0
RMI1	?	?	0	0	0
HNRNPK	0.164	0.927	0	0	0
XAB2	0.5	0.5	0	0	0
GPR125	0.127	0.67	0	0	0
AGA	0.17	0.84	0	0	0
EFNA1	0.5	0.5	0	0	0
MIER2	0.5	0.5	0	0	1
LEPROTL1	0.097	0.5	1	0	0
ALDH3A2	0.146	0.734	0	0	0
C15ORF24	?	?	0	0	0
MOBKL3	?	?	0	0	0
POLG	?	?	1	0	0
SCD5	0.854	0.337	0	0	1
UFSP1	0.5	0.5	0	0	1
UNK	0.194	0.589	0	0	0
GUF1	0.174	0.824	0	0	0
FAM13B	0.186	0.855	0	0	0
CROT	0.174	0.935	0	0	0
KCTD20	?	?	0	0	0
ESCO1	0.5	0.5	0	0	0
IGF2R	0.8214999999999999	0.335	0	0	0
IPO13	?	?	0	0	0
CAPNS1	?	?	0	0	0
FAM123B	0.881	0.369	0	0	0
SGOL1	0.853	0.249	0	0	0
ZNF8	0.8394999999999999	0.222	0	0	0
GSTA4	0.861	0.265	0	0	0
USP20	0.5	0.5	0	0	0
LAMB2	0.5	0.5	0	0	1
PHF6	0.127	0.5	1	0	0
DDX20	0.1625	0.848	0	0	0
NUFIP1	?	?	0	0	0
LRDD	0.104	0.604	0	0	0
CDT1	?	?	0	0	0
PPP3CB	0.5	0.5	0	0	0
CTH	0.5	0.5	0	0	0
PDZD9	?	?	0	0	0
NAA25	0.101	0.767	0	0	0
CHD9	0.845	0.264	0	0	0
IREB2	0.5	0.5	0	0	0
TMEM9B	?	?	0	0	0
LRPPRC	0.5	0.5	0	0	0
RIOK3	?	?	0	0	0
APPL1	0.046	0.561	0	0	0
SEC62	?	?	0	0	0
ACAP2	0.144	0.829	0	0	0
MYL9	?	?	0	0	0
SUPV3L1	?	?	0	0	0
ZNF644	?	?	0	0	0
MRAS	0.164	0.736	0	0	0
TRIP6	0.904	0.393	0	0	0
COL4A2	0.148	0.704	0	0	0
COL4A1	0.15	0.761	0	0	0
NAPB	0.15	0.853	0	0	0
RAD54L2	0.5	0.5	0	0	0
ARID3B	?	?	0	0	0
GGPS1	0.851	0.117	0	0	0
ARID4B	0.169	0.704	0	0	0
HIP1R	0.17099999999999999	0.5	0	0	1
KLHL24	0.153	0.71	0	0	0
DGKA	0.117	0.676	0	0	0
CD151	0.037	0.539	0	0	0
GPBP1L1	0.5	0.5	0	0	0
TMEM69	?	?	0	0	0
MMP15	?	?	0	0	0
NCLN	0.5	0.5	0	0	0
MCRS1	?	?	0	0	0
SNX21	0.17	0.5	0	0	1
FMR1	0.848	0.265	0	0	0
CISD1	?	?	0	0	0
IPMK	0.5	0.5	0	0	0
SSX2IP	0.5	0.5	0	0	0
CFL2	0.845	0.259	0	0	0
CRK	0.853	0.396	0	0	0
PCNXL3	0.5	0.5	0	0	1
SNX7	0.5	0.5	0	0	0
LAPTM4B	0.097	0.637	0	0	0
METTL11A	0.806	0.166	0	0	0
CCNH	0.1565	0.7849999999999999	0	0	0
COPS8	0.174	0.745	0	0	0
ABCB10	0.5	0.5	0	0	0
SAMD1	?	?	0	0	1
OPN3	0.168	0.851	0	0	0
HSPB8	0.14	0.86	0	0	0
DTX4	0.828	0.242	0	0	0
IL1RAP	?	?	0	0	0
QTRTD1	0.17	0.5	0	0	1
SP4	0.865	0.341	0	0	0
PIK3C2B	0.5	0.5	0	0	0
SEPSECS	?	?	0	0	0
SLC4A11	0.18	0.5	0	0	1
WDR4	?	?	0	0	0
WDR75	?	?	0	0	1
LMCD1	0.85	0.298	0	0	0
TFG	?	?	0	0	0
ARPC1A	0.1965	0.548	0	0	0
RNF7	?	?	0	0	0
MKRN1	0.151	0.892	0	0	0
FUZ	0.85	0.037	0	0	1
ORAI3	0.088	0.593	0	0	0
FOXN3	0.172	0.793	0	0	0
CAPRIN2	0.167	0.714	0	0	0
BPGM	0.1925	0.5	0	0	1
RAB9A	?	?	0	0	0
MBD1	0.89	0.236	0	0	0
RRM1	?	?	0	0	0
C19ORF28	0.829	0.271	0	0	0
PRKD1	0.182	0.765	0	0	0
EARS2	?	?	0	0	0
PYGL	0.906	0.397	0	0	0
HSPA13	?	?	0	0	0
DNAJA3	0.167	0.819	0	0	0
SNAP47	0.162	0.712	0	0	0
ETV4	0.825	0.065	0	1	0
TMEM8A	0.053	0.584	0	0	0
POLE3	?	?	0	0	0
DLST	?	?	0	0	0
TBC1D22A	0.955	0.44	0	0	0
TMEM237	0.5	0.5	0	0	0
MIB1	0.17149999999999999	0.5	0	0	0
TIMMDC1	0.193	0.716	0	0	0
DAZAP2	0.837	0.193	0	0	0
MITF	0.1585	0.5	0	1	0
HYOU1	?	?	0	0	0
NAA50	0.929	0.376	0	0	0
ATP6V1A	?	?	0	0	0
PEMT	0.1565	0.776	0	0	0
NDUFC2	?	?	0	0	0
SAP130	?	?	0	0	0
ATP6V1H	0.9045000000000001	0.398	0	0	0
FANCC	0.166	0.5	1	0	0
TM9SF1	?	?	0	0	0
SMNDC1	?	?	0	0	0
ZNF667	0.147	0.908	0	0	0
NR1D2	0.158	0.8240000000000001	0	0	0
CDC5L	?	?	0	0	0
FRS2	0.816	0.292	0	0	0
UBE4B	0.076	0.592	0	0	0
CBR4	0.873	0.339	0	0	1
ZFYVE28	0.154	0.85	0	0	0
PGP	0.5	0.5	0	0	0
SEC23A	0.5	0.5	0	0	0
GFPT2	0.1685	0.736	0	0	0
NEURL4	0.8385	0.28500000000000003	0	0	1
RIOK1	0.1745	0.8	0	0	0
PSMD11	?	?	0	0	0
MICALL1	?	?	0	0	0
MOBKL1A	0.152	0.861	0	0	0
NDEL1	0.902	0.313	0	0	0
CAMTA2	0.155	0.676	0	0	0
ADI1	?	?	0	0	0
WDR6	0.171	0.776	0	0	0
FADD	?	?	0	0	0
ZNF260	?	?	0	0	0
LOXL2	0.82	0.28	0	0	0
YPEL2	0.834	0.344	0	0	0
ADAM15	0.8160000000000001	0.305	0	0	0
PAPD4	?	?	0	0	0
RNF2	0.147	0.697	0	0	0
RBM5	?	?	0	0	0
PELO	?	?	0	0	0
DDAH1	0.85	0.321	0	0	1
ZNF202	?	?	0	0	0
TMEFF2	0.198	0.755	0	0	0
PHKA2	0.5	0.5	0	0	0
DNAJC5	0.888	0.357	0	0	0
FAM126A	0.168	0.878	0	0	0
LYN	0.85	0.311	0	0	0
RIPK4	0.885	0.294	0	0	0
C14ORF93	?	?	0	0	0
EPB41L4A	0.153	0.823	0	0	0
PNPLA2	0.184	0.697	0	0	0
LIF	0.156	0.872	0	0	0
FOXD2	0.895	0.373	0	0	0
CSRP2BP	?	?	0	0	0
NUF2	?	?	0	0	0
UBA6	?	?	0	0	0
GOLGA1	?	?	0	0	0
WDR33	?	?	0	0	0
JAK1	0.88	0.352	1	1	0
OSTC	?	?	0	0	1
INPP5E	0.5	0.5	0	0	0
PSRC1	0.171	0.5	0	0	1
FDPS	0.87	0.355	0	0	0
P4HA2	0.853	0.206	0	0	0
TMOD3	0.14200000000000002	0.73	0	0	0
BTBD9	0.156	0.748	0	0	0
C9ORF5	0.8935	0.342	0	0	0
RPUSD4	?	?	0	0	0
NR6A1	0.153	0.73	0	0	0
RASSF4	0.114	0.638	0	0	0
FAM55C	?	?	0	0	0
MAP3K4	?	?	0	0	0
RGS17	0.122	0.67	0	0	0
TMTC4	0.153	0.8945000000000001	0	0	0
ATP5L	?	?	0	0	0
POU3F3	0.846	0.246	0	0	0
NQO1	?	?	0	0	0
FBXO45	0.5	0.5	0	0	0
NID1	0.1915	0.646	0	0	0
BRD1	0.169	0.788	0	0	0
C4ORF14	?	?	0	0	0
POLR2B	0.166	0.821	0	0	0
MAP2K7	?	?	0	0	0
DAG1	0.906	0.392	0	0	0
PHC3	0.144	0.8	0	0	0
BNIP3L	0.146	0.701	0	0	0
TMEM19	0.166	0.5	0	0	1
AKAP12	0.16	0.836	0	0	0
PARP1	0.5	0.5	0	0	0
SNAPC3	?	?	0	0	0
STAT1	?	?	0	0	0
PDE3B	0.116	0.636	0	0	0
LAMP1	0.172	0.923	0	0	0
SLC30A9	?	?	0	0	0
MFGE8	?	?	0	0	0
PSPC1	?	?	0	0	0
ANKRD52	0.933	0.424	0	0	0
TEX10	0.5	0.5	0	0	0
MFF	0.5	0.5	0	0	0
CDH13	0.147	0.803	0	0	0
BOK	?	?	0	0	0
C3ORF64	0.903	0.379	0	0	0
DIMT1L	?	?	0	0	0
COL27A1	0.194	0.738	0	0	0
COPB1	0.5	0.5	0	0	0
AIFM1	0.15	0.708	0	0	0
KBTBD6	0.5	0.5	0	0	0
TP53I3	0.166	0.871	0	0	0
TMEM214	?	?	0	0	0
SCAF1	?	?	0	0	0
RRAS	0.0945	0.616	0	0	0
DHX33	?	?	0	0	0
NES	0.191	0.5	0	0	1
ABCF2	0.5	0.5	0	0	0
RHBDD3	?	?	0	0	0
EWSR1	?	?	0	1	0
ANXA4	0.1225	0.674	0	0	0
FAM120B	0.917	0.406	0	0	0
SLC4A4	0.179	0.8029999999999999	0	0	0
ARPP19	0.14450000000000002	0.908	0	0	0
PODXL	0.16599999999999998	0.7304999999999999	0	0	0
WBP11	?	?	0	0	0
MCU	0.17149999999999999	0.653	0	0	0
FHDC1	0.177	0.775	0	0	0
DDHD2	0.137	0.715	0	0	0
SLC2A13	0.167	0.5	0	0	1
FBXW2	0.5	0.5	0	0	0
HM13	0.153	0.738	0	0	0
LZTR1	0.172	0.5	1	0	0
CSNK1G3	?	?	0	0	0
ISCA1	?	?	0	0	0
SYCE1L	?	?	0	0	1
MPHOSPH8	?	?	0	0	0
REXO2	0.5	0.5	0	0	0
TUFM	?	?	0	0	0
NEO1	0.5	0.5	0	0	0
TCIRG1	0.122	0.733	0	0	0
COBRA1	?	?	0	0	0
DLG5	0.16	0.71	0	0	0
C1ORF31	?	?	0	0	0
UBE2G1	0.5	0.5	0	0	0
HSPB1	?	?	0	0	0
GTF2E2	0.082	0.611	0	0	0
NBPF1	0.174	0.813	0	0	0
NUP98	0.165	0.5	0	1	0
HEBP2	?	?	0	0	1
GNAS	0.833	0.3	0	1	0
ATAD2	0.159	0.864	0	0	0
CDK1	?	?	0	0	0
FAM69A	0.92	0.408	0	0	0
POLR2L	0.159	0.733	0	0	0
TSPAN4	0.172	0.796	0	0	0
ZNHIT6	0.14450000000000002	0.5	0	0	1
AASDH	?	?	0	0	0
SUPT3H	0.5	0.5	0	0	0
TWF1	?	?	0	0	0
HIST1H1E	?	?	0	0	0
HIST1H2BD	?	?	0	0	0
ZNF213	0.5	0.5	0	0	1
SNX24	0.917	0.404	0	0	0
KCTD5	0.5	0.5	0	0	0
TMEM39A	?	?	0	0	0
TOMM40	?	?	0	0	0
ECT2	0.5	0.5	0	0	0
C19ORF20	0.1765	0.6635	0	0	0
PPM1J	0.448	0.5	0	0	0
RPS26	?	?	0	0	0
SNX30	0.163	0.5	0	0	1
SARS	?	?	0	0	0
GSTP1	0.828	0.184	0	0	0
FER1L5	0.5	0.5	0	0	0
NBN	0.801	0.103	1	0	0
TTC17	?	?	0	0	0
SDR39U1	?	?	0	0	0
NT5DC3	?	?	0	0	0
ATP5A1	?	?	0	0	0
CREB5	0.144	0.736	0	0	0
PPA2	?	?	0	0	1
USP10	0.152	0.755	0	0	0
ALDH9A1	?	?	0	0	0
RCL1	0.885	0.344	0	0	0
INF2	0.184	0.693	0	0	0
RHOT1	?	?	0	0	0
ME2	?	?	0	0	0
LRRK1	0.168	0.805	0	0	0
MRPS23	?	?	0	0	0
PLA2G12A	?	?	0	0	1
PNPLA8	?	?	0	0	0
ALDH6A1	0.16	0.907	0	0	0
KLHL9	?	?	0	0	0
NXF1	?	?	0	0	0
MADD	0.5	0.5	0	0	0
NDNF	0.826	0.05	0	0	1
SPATA2	0.1015	0.5	0	0	0
TBC1D23	0.119	0.67	0	0	0
ARSB	0.14400000000000002	0.77	0	0	0
TWSG1	0.5	0.5	0	0	0
ZNF282	0.13	0.758	0	0	0
FBXO42	0.5	0.5	0	0	0
AGAP1	0.1795	0.868	0	0	0
SAMM50	0.5	0.5	0	0	1
PDF	0.124	0.687	0	0	0
TSG101	?	?	0	0	0
C19ORF6	0.885	0.357	0	0	0
NEU1	0.179	0.601	0	0	0
PLEKHJ1	?	?	0	0	0
SF3A2	0.5	0.5	0	0	0
TMEM135	?	?	0	0	0
IFITM1	0.864	0.219	0	0	0
TRMT61B	?	?	0	0	1
ORAI1	0.5	0.5	0	0	0
ZNF160	0.158	0.906	0	0	0
FBLN5	0.842	0.11	0	0	0
NBL1	0.156	0.813	0	0	0
DYNLL2	?	?	0	0	0
NLK	0.9065000000000001	0.394	0	0	0
ZC3H11A	?	?	0	0	0
TUFT1	0.153	0.5	0	0	1
DRAM1	0.138	0.71	0	0	0
SEPT8	0.5	0.5	0	0	0
PRR5L	0.163	0.775	0	0	0
LMBR1L	?	?	0	0	0
APLF	0.154	0.905	0	0	0
MIA3	0.16799999999999998	0.5	0	0	0
NPM3	?	?	0	0	0
RBL2	?	?	0	0	0
STARD3NL	0.813	0.265	0	0	0
PIK3R4	?	?	0	0	0
PRIM2	0.1555	0.735	0	0	0
BRAF	?	?	0	1	0
ORMDL3	?	?	0	0	0
SOCS7	0.5	0.5	0	0	0
SIVA1	?	?	0	0	0
BACE2	0.153	0.831	0	0	0
RPS16	0.09	0.595	0	0	0
SETX	?	?	0	0	0
SEC24C	0.91	0.353	0	0	0
PPARA	?	?	0	0	0
CHPT1	0.5	0.5	0	0	0
PHYH	0.173	0.852	0	0	0
FUT10	?	?	0	0	1
RTKN	0.801	0.382	0	0	0
TBKBP1	0.857	0.292	0	0	1
DNAJC10	0.5	0.5	0	0	0
RPL18A	?	?	0	0	0
AKAP8L	?	?	0	0	0
TOMM7	0.15000000000000002	0.5	0	0	1
IQGAP1	0.847	0.338	0	0	0
RILPL1	0.954	0.452	0	0	0
TMEM41B	?	?	0	0	0
TMEM111	0.1575	0.761	0	0	0
SMS	0.162	0.778	0	0	0
PARP2	?	?	0	0	0
RAB3GAP2	0.148	0.919	0	0	0
EXOSC4	?	?	0	0	0
TMEM170B	?	?	0	0	0
PHC1	0.1525	0.843	0	0	0
REXO4	?	?	0	0	0
CSNK1D	0.105	0.612	0	0	0
ZNF248	?	?	0	0	1
EIF6	0.16849999999999998	0.8985000000000001	0	0	0
GXYLT1	?	?	0	0	0
ADCY6	0.5	0.5	0	0	0
NDFIP1	?	?	0	0	0
MTF1	0.5	0.5	0	0	0
TRDMT1	?	?	0	0	0
UBA2	0.911	0.398	0	0	0
ARNTL2	0.156	0.801	0	0	0
CENPBD1	?	?	0	0	0
EIF3M	0.1945	0.695	0	0	0
EPS15	0.5	0.5	1	0	0
RAD51AP1	?	?	0	0	0
HSPA1L	0.092	0.622	0	0	0
HSPA1A	0.8785000000000001	0.225	0	0	0
GTF2B	?	?	0	0	0
DLX1	0.852	0.259	0	0	0
KATNAL1	0.168	0.5	0	0	1
PRKACA	0.49850000000000005	0.5	0	1	0
TARDBP	?	?	0	0	0
TMEM147	?	?	0	0	0
SCML1	0.852	0.26	0	0	0
KIAA0415	0.9484999999999999	0.428	0	0	0
DNAJB12	0.5	0.5	0	0	0
EFEMP2	0.193	0.972	0	0	0
GPAA1	?	?	0	0	0
EHD2	0.185	0.901	0	0	0
CNP	0.871	0.421	0	0	0
GYPC	0.154	0.815	0	0	0
RNF5	?	?	0	0	0
AGPAT1	0.095	0.6045	0	0	0
PRTG	0.1485	0.873	0	0	0
SLITRK5	0.8605	0.165	0	0	0
DBNL	0.848	0.294	0	0	0
ZFP64	0.857	0.101	0	0	0
BMF	0.8474999999999999	0.154	0	0	0
SLC39A8	0.5	0.5	0	0	0
SLC7A6	0.156	0.749	0	0	0
MPV17L2	?	?	0	0	1
GPR161	0.8425	0.318	0	0	0
PRMT3	0.1425	0.67	0	0	0
ZNF133	?	?	0	0	0
CCNF	?	?	0	0	0
CAMK1D	0.129	0.77	0	0	0
ZCCHC8	?	?	0	0	0
ASXL2	0.888	0.273	1	0	0
SENP1	?	?	0	0	0
POU3F2	0.838	0.028	0	0	0
GLRX3	?	?	0	0	0
SNX3	0.14350000000000002	0.939	0	0	0
PLK1	0.5	0.5	0	0	0
PIAS3	?	?	0	0	0
TSC1	0.19	0.5	1	0	0
NCAPG	0.83	0.168	0	0	0
DCAF16	?	?	0	0	1
VPS37C	0.159	0.681	0	0	0
POR	0.1705	0.792	0	0	0
SON	?	?	0	0	0
GART	0.5	0.5	0	0	0
ZSCAN22	?	?	0	0	0
TMEM161B	0.1785	0.74	0	0	0
PSIP1	?	?	0	1	0
AFG3L2	0.5	0.5	0	0	0
SHPRH	0.1915	0.895	0	0	0
CREM	0.141	0.5	0	0	1
GDF11	0.5	0.5	0	0	1
GATA2	0.882	0.273	0	1	0
RGL1	0.151	0.761	0	0	0
ARPC5	0.891	0.353	0	0	0
HYAL2	0.853	0.272	0	0	0
POLR3E	?	?	0	0	0
HTATSF1	?	?	0	0	1
FGD1	0.8965000000000001	0.365	0	0	1
CEP97	?	?	0	0	0
TOLLIP	0.9624999999999999	0.401	0	0	0
XPOT	0.1505	0.5	0	0	0
CINP	?	?	0	0	0
VPS4B	?	?	0	0	0
NCEH1	0.847	0.322	0	0	0
RAB4B	0.5	0.5	0	0	0
STIM1	0.846	0.205	0	0	0
LIN7C	0.5	0.5	0	0	0
MED28	?	?	0	0	0
MXRA7	0.817	0.041	0	0	0
METAP1	0.8434999999999999	0.285	0	0	0
FRG1	?	?	0	0	0
ATP5I	?	?	0	0	0
MTR	?	?	0	0	0
PRKAG2	0.157	0.806	0	0	0
TRPC4	0.82	0.276	0	0	0
CHPF2	0.834	0.096	0	0	1
RIC8A	?	?	0	0	0
BET1L	0.165	0.725	0	0	0
SESTD1	?	?	0	0	1
TCF21	0.847	0.288	0	0	0
ATRN	?	?	0	0	0
IGFBP2	0.5	0.5	0	0	0
ULK1	0.1605	0.7585	0	0	0
PCCA	0.158	0.762	0	0	0
CAPZA2	0.1545	0.858	0	0	0
VAMP2	?	?	0	0	1
AURKAIP1	?	?	0	0	0
STOML1	0.813	0.178	0	0	0
PML	0.128	0.5	1	0	0
CASP7	?	?	0	0	0
TBL1X	?	?	0	0	0
TM4SF1	0.1485	0.907	0	0	0
MYST2	0.163	0.907	0	0	0
NDUFAF4	0.161	0.68	0	0	0
SLC43A1	0.841	0.102	0	0	0
LANCL1	0.5	0.5	0	0	0
SUZ12	?	?	1	1	0
SAMD8	0.144	0.793	0	0	0
FABP5	0.824	0.092	0	0	0
TMEM150A	0.5	0.5	0	0	0
KATNA1	0.5	0.5	0	0	0
CDCA7	0.1295	0.906	0	0	0
STX12	0.5	0.5	0	0	0
REEP5	?	?	0	0	0
ZNF606	0.5	0.5	0	0	1
RP9	?	?	0	0	0
EIF3D	0.823	0.241	0	0	0
XYLT2	?	?	0	0	0
ZBTB16	0.145	0.5	1	0	0
PSMF1	0.8405	0.165	0	0	0
RNF122	0.5	0.5	0	0	0
NT5C2	0.813	0.295	0	1	0
C5ORF28	0.1475	0.784	0	0	0
GPR108	0.5	0.5	0	0	1
ZFP82	0.184	0.5	0	0	1
DIP2B	0.1745	0.699	0	0	0
SPPL2A	?	?	0	0	0
CCDC109B	0.17149999999999999	0.5	0	0	1
HTR7	0.12	0.915	0	0	0
LTBP4	0.851	0.375	0	0	0
TERF2IP	0.16	0.901	0	0	0
KARS	0.5	0.5	0	0	0
BRF1	0.1575	0.654	0	0	0
SMIM4	0.162	0.5	0	0	1
LRIG2	?	?	0	0	0
STAT5B	0.8314999999999999	0.153	1	1	0
DGCR8	?	?	0	1	0
UBE2A	0.153	0.781	0	0	0
TMED4	?	?	0	0	0
ZIC2	0.8605	0.28500000000000003	0	0	0
ELAVL2	0.184	0.778	0	0	0
PPP2R3A	?	?	0	0	0
GPX1	0.118	0.605	0	0	0
KLHL22	?	?	0	0	0
SETD1A	?	?	0	0	0
STX4	0.5	0.5	0	0	0
UEVLD	?	?	0	0	0
ARHGAP24	0.84	0.386	0	0	0
