Gene	Cell_proliferation_rate	TSG	OG	NG
HINT1	-0.2726755	0	0	0
DPY19L1	NA	0	0	0
PSMD3	-2.1807897499999997	0	0	0
RAB5B	-0.207082	0	0	0
ADAMTS15	-0.102678875	0	0	0
HES4	-0.665691	0	0	0
SGMS2	NA	0	0	0
DIAPH3	NA	0	0	0
FARP1	-0.567036375	0	0	0
DDX5	-2.168331625	0	1	0
CEP95	NA	0	0	0
GFRA1	-1.386649791665	0	0	0
GPSM2	-0.64812225	0	0	0
ANKRD32	NA	0	0	0
SPSB2	NA	0	0	1
TMEM167B	NA	0	0	1
ENSA	-1.1555102499999998	0	0	0
TMF1	-1.122807375	0	0	0
CBFB	-0.6355053749999999	1	0	0
C11ORF24	-1.9469803749999999	0	0	0
PRKRIR	-1.081191375	0	0	0
SRP9	-1.0529133750000002	0	0	0
COPG	NA	0	0	0
FNBP1L	NA	0	0	0
VOPP1	NA	0	0	0
KCNMA1	-0.22784937500000002	0	0	0
RPS4X	-3.2649906250000003	0	0	0
CD9	-0.3163565	0	0	0
USF1	-0.6740057500000001	0	0	0
HJURP	NA	0	0	0
PTPN2	-1.378028208335	0	0	0
C2ORF29	NA	0	0	0
RPLP2	NA	0	0	0
PHGDH	-1.46787825	0	0	0
UFM1	-0.542179125	0	0	0
ARMC8	NA	0	0	0
BMP6	-0.822410375	0	0	0
LDHB	-0.737194125	0	0	0
STAMBPL1	-0.952984375	0	0	0
DEGS1	-0.4083	0	0	0
RPS29	-3.2844914999999997	0	0	0
FOSL1	-1.494111625	0	0	0
RNF38	-0.10267562499999999	0	0	0
ZCCHC9	-1.01328825	0	0	0
SDPR	NA	0	0	0
FKBP14	-0.090361125	0	0	0
PLEKHA8	NA	0	0	0
DNAJC27	-0.89844375	0	0	1
NEDD4	-0.56100075	0	0	0
MED8	0.06858966666665	0	0	0
KATNB1	-0.074049	0	0	0
ADD1	-0.185207625	0	0	0
C21ORF59	NA	0	0	1
PLEKHB2	-3.298559875	0	0	0
EIF2C2	NA	0	0	0
ABCC1	-0.29703175000000004	0	0	0
TMEM187	NA	0	0	1
HCFC1	-0.309119875	0	0	0
SYNJ2	-0.08388025	0	0	0
PFDN6	-0.7739343750000001	0	0	0
SCYL3	-1.015082125	0	0	0
MARCH3	NA	0	0	0
GTF3C1	-0.4277491666665	0	0	0
FOXQ1	-0.9297662916664999	0	0	0
LUZP1	NA	0	0	0
XYLT1	0.7053687500000001	0	0	0
SHMT2	0.012122875	0	0	0
ZNF529	-0.982626125	0	0	1
CMTM3	NA	0	0	0
HIST1H1D	-0.051666875	0	0	0
HSPA4L	NA	0	0	0
BAG6	-0.696017875	0	0	0
ZNF326	NA	0	0	0
DCTN6	NA	0	0	0
RBBP7	-0.8160936249999999	0	0	0
VDR	0.224975875	0	0	0
PIK3IP1	NA	0	0	0
COQ10B	-0.9323026249999999	0	0	0
BNC1	-0.536389875	0	0	0
STAT3	-0.8727717500000001	0	1	0
PPIL4	0.55761325	0	0	0
ANGPT1	-0.748679375	0	0	0
CCNO	NA	0	0	0
RPS2	NA	0	0	0
ITGB5	-0.2270717083335	0	0	0
MDFIC	-0.1439125	0	0	0
CEP192	NA	0	0	0
RORB	-0.7480119166665	0	0	0
ECI2	-0.710353625	0	0	1
SEC14L1	0.080091875	0	0	0
MTHFD1L	-0.31718599999999997	0	0	0
HCFC2	-1.386888125	0	0	0
RPL34	-1.36292875	0	0	0
AKAP9	0.27514649999999996	0	0	0
DIAPH2	0.3279615	0	0	0
RER1	NA	0	0	0
TIMM13	NA	0	0	1
HOXA6	-0.024938375	0	0	0
NRSN2	NA	0	0	0
RAN	-3.604376125	0	0	0
RBFA	NA	0	0	0
KIAA0430	-0.20373887499999999	0	0	1
ADARB1	-1.431203625	0	0	0
EIF2S3	NA	0	0	0
RAB23	-0.903225375	0	0	0
RPN1	-0.06634324999999999	0	0	0
CSE1L	-2.0560797500000003	0	0	0
RPL11	NA	0	0	0
C14ORF147	NA	0	0	0
SLC7A1	-0.6360954999999999	0	0	0
GSG2	-0.081336625	0	0	0
SNX2	-0.6265983749999999	0	0	0
LDB2	-0.72173575	0	0	0
SF3B5	-2.48988575	0	0	0
CCM2	-0.134227125	0	0	0
EML4	NA	0	0	0
TM2D2	NA	0	0	0
ADAM9	-0.16453066666650001	0	0	0
KHDRBS3	NA	0	0	0
TAF1	0.29592700000000005	0	0	0
SIM1	-0.18732425	0	0	0
MXRA8	NA	0	0	0
NFYB	-1.420016125	0	0	0
MBD3	-0.6295807499999999	0	0	0
SWAP70	-1.269411125	0	0	0
STT3A	-3.298559875	0	0	0
CLN8	-0.6026502499999999	0	0	0
RIMKLB	NA	0	0	1
INPP5K	-0.147931875	0	0	0
C1ORF93	NA	0	0	0
ATAD1	NA	0	0	0
RAB28	-0.120917	0	0	0
ZNRD1	-0.927145625	0	0	0
IWS1	NA	0	0	0
MXD4	-0.80182675	0	0	0
CHMP2B	NA	0	0	1
CCDC90B	-0.441510625	0	0	0
GDF15	0.036274125000000004	0	0	0
ADPGK	-0.191264375	0	0	0
TRAPPC6B	NA	0	0	0
COG1	NA	0	0	1
ZNF395	NA	0	0	0
TM2D3	NA	0	0	0
C21ORF63	NA	0	0	0
GNPAT	0.727332125	0	0	0
GXYLT2	NA	0	0	0
PLEKHA1	NA	0	0	0
P4HTM	-0.9012685	0	0	0
PCBP2	-2.4501673750000004	0	0	0
SSU72	-3.298559875	0	0	0
TRIP13	-2.016620625	0	0	0
C3ORF23	NA	0	0	0
RRS1	NA	0	0	0
ADHFE1	-0.19933225	0	0	0
TNFRSF21	-0.397172125	0	0	0
ATF6	-1.2476885	0	0	0
PAIP2	NA	0	0	0
PAK2	-0.39793025	0	0	0
DCLK2	-0.583104625	0	0	1
SUN2	NA	0	0	0
PDS5A	NA	0	0	0
LRP12	-1.2145777500000001	0	0	0
MBOAT2	-0.49111775	0	0	0
RBX1	-1.9533749999999999	0	0	0
TCF7L1	-0.44111	0	0	0
PTGR1	-0.563552	0	0	0
FASTK	-0.93044175	0	0	0
TBC1D8	-0.30768275	0	0	0
SCARF2	-1.274074	0	0	0
INSIG2	NA	0	0	1
BRCA1	-0.354975375	1	0	0
TPI1	-0.7298894166665	0	0	0
LRP4	0.20899562500000002	0	0	0
AGAP3	-0.7158365	0	0	0
LARP6	NA	0	0	0
MAEA	NA	0	0	0
ZDHHC2	NA	0	0	0
CTNNAL1	NA	0	0	0
COX18	-3.298559875	0	0	0
MRPS30	NA	0	0	0
POLR1B	-1.317155375	0	0	0
RNPEPL1	-0.61189925	0	0	1
EHD4	-0.4547405	0	0	0
TAF12	-0.26208224999999996	0	0	0
KIF2A	NA	0	0	0
STRADA	-0.8400587500000001	0	0	0
SC5DL	NA	0	0	0
CEP120	NA	0	0	0
CYP4V2	NA	0	0	0
TBC1D9	0.32769025	0	0	0
CSTF3	0.399401	0	0	0
GRPEL1	NA	0	0	0
SRM	-1.065867875	0	0	0
GPT2	-0.0927455	0	0	0
PACS1	NA	0	0	0
CISD2	NA	0	0	0
IRX1	-0.23802075	0	0	0
NFIC	-0.188897	0	0	0
AHCYL2	-0.849383125	0	0	0
SBF2	-0.955239125	0	0	0
ZBTB25	-0.729698	0	0	0
ZBTB1	-0.7369945	0	0	0
UBE2G2	-0.3330305	0	0	0
MALT1	0.22062325	0	1	0
PGM2	-0.16589025000000002	0	0	1
TAPBP	NA	0	0	0
ZBTB22	-0.699896375	0	0	1
DNAJA2	0.31707625	0	0	0
MAPKAPK3	0.03411375	0	0	0
PDXDC1	NA	0	0	0
ABHD2	0.213237	0	0	0
RTF1	-1.999683875	0	0	0
KCNMB4	-0.782277	0	0	0
TMUB1	-0.36065475	0	0	1
ARNT	-0.803766	1	1	0
SP9	NA	0	0	1
LGALS3	-0.1629705416665	0	0	0
ABHD5	0.3343997916665	0	0	0
G2E3	-0.8171295	0	0	0
DCAF12	NA	0	0	0
PDIK1L	-0.47146062499999997	0	0	0
GRAMD1A	NA	0	0	0
RRAS2	-0.5327703749999999	0	0	0
NSD1	-1.1735365	0	0	0
EXOSC2	-1.668997	0	0	0
NUP155	-1.2076415	0	0	0
ELAVL1	-0.902844	0	0	0
PKNOX2	-0.45858299999999996	0	0	0
ARFGEF2	-0.10267799999999999	0	0	0
NOVA1	-0.232001	0	0	0
UBL5	-0.09743874999999999	0	0	0
NPAS3	-0.080898	0	0	0
PQLC1	NA	0	0	0
UBE3C	-0.485484	0	0	0
STX18	NA	0	0	0
FOXM1	-1.073879	0	0	0
SLC39A1	-0.010943125000000001	0	0	0
CREB3L4	-0.901919625	0	0	0
CBL	0.334972625	1	1	0
RPL22	0.16891499999999998	1	0	0
SEPW1	NA	0	0	0
SMARCA4	-0.462583625	1	0	0
SUPT5H	-1.69204925	0	0	0
BUB1	-0.433190375	0	0	0
SEMA3F	-0.92610525	0	0	0
IFT57	-1.091623875	0	0	0
VPS54	NA	0	0	0
HIRIP3	NA	0	0	0
ZNF747	-0.38121787500000004	0	0	1
UPF2	NA	0	0	0
NPC1	-1.329426	0	0	0
ATXN10	-1.327009125	0	0	0
CD276	NA	0	0	0
SMC3	NA	0	0	0
PSMD14	-1.332588791665	0	0	0
DCAF8	NA	0	0	0
COL16A1	-0.9064595	0	0	0
VPS45	NA	0	0	0
WDFY1	NA	0	0	0
MED25	-1.0688357499999999	0	0	0
MBTPS1	-1.160594125	0	0	0
RAB21	-0.589893	0	0	0
SLFN12	NA	0	0	0
ST3GAL6	-0.3790025416665	0	0	0
TAX1BP1	NA	0	0	0
ADSL	-0.33402512500000003	0	0	0
SMG5	NA	0	0	0
C18ORF10	NA	0	0	0
TIFA	NA	0	0	0
ZNF140	-0.7194260833335	0	0	0
DCP1A	0.081841375	0	0	0
ADAR	-0.8916275	0	0	0
INO80	-0.706015125	0	0	0
PSAP	-1.504422375	0	0	0
FRAT1	-0.6624578750000001	0	0	0
CHAC1	NA	0	0	0
ATP6V1B2	-0.864437625	0	0	0
FLRT3	NA	0	0	0
ARL5A	NA	0	0	0
ZNF787	-0.10116575	0	0	0
BACH2	-0.9430808749999999	0	0	0
ELL	-0.49319087500000003	1	0	0
CLCN6	-0.8772847500000001	0	0	1
MTHFR	0.10178662499999999	0	0	0
RDH10	0.643010125	0	0	0
RPL7	-3.01465975	0	0	0
EPOR	-0.9556473750000001	0	0	0
CDC42	-1.3127416250000001	0	0	0
FKBP5	-0.165992875	0	0	0
PRH1	-0.098179375	0	0	1
APRT	-0.501935625	0	0	0
STAM2	-0.687864375	0	0	1
PARP14	-0.382324375	0	0	0
TJP2	-1.3745699999999998	0	0	0
RIOK2	-0.87545925	0	0	0
PRMT7	-0.9959935	0	0	0
RBM25	-1.3869785000000001	0	0	0
REPIN1	0.22289662500000001	0	0	0
FAM57A	NA	0	0	0
LENG9	-0.506881125	0	0	1
TXNDC5	-0.6957665	0	0	0
AP1S2	-0.6331618750000001	0	0	0
REEP3	NA	0	0	0
SH2B1	NA	0	0	0
ARF3	-0.769913125	0	0	0
PDLIM1	NA	0	0	0
COL13A1	-0.014257249999999999	0	0	0
GOT1	-0.040812	0	0	0
RMND5A	-0.6761109999999999	0	0	0
ACAD9	-0.2960065	0	0	0
ANKRD37	-0.39239325	0	0	1
SMG9	-0.1533304583335	0	0	1
TBX15	-1.092417	0	0	0
TPRG1L	NA	0	0	1
SVEP1	NA	0	0	0
TTC35	NA	0	0	0
MTFR1	NA	0	0	0
CD55	-0.81280975	0	0	0
RNF34	-0.7373931250000001	0	0	0
DPY19L4	NA	0	0	0
SLC15A4	-0.042016874999999995	0	0	0
RPS24	NA	0	0	0
MRM1	NA	0	0	0
SSR1	-1.868866375	0	0	0
EPHA7	-0.641634	0	0	0
NFYC	-0.7579060416665	0	0	0
NFIX	-0.613395625	0	0	0
PLEKHH3	NA	0	0	1
UBE2B	-0.19929249999999998	0	0	0
LEMD2	NA	0	0	1
RLIM	-0.525607375	0	0	0
GMPPA	NA	0	0	1
CEBPG	-1.4544328750000002	0	0	0
RGS10	0.849156	0	0	0
ZNF398	-0.546816625	0	0	0
RNF150	NA	0	0	0
ZBTB34	NA	0	0	0
RAB20	-1.1330161250000002	0	0	0
TNPO3	-0.41035512500000004	0	0	0
PANK3	0.085131875	0	0	0
ZDHHC17	NA	0	0	0
PUF60	-1.82749925	0	0	0
CAPN7	0.4401295	0	0	0
MAP3K11	-0.539355375	0	0	0
PER2	0.083059125	0	0	0
SASH1	NA	0	0	0
SUPT16H	-1.426189458335	0	0	0
FAM189B	NA	0	0	1
MRPL33	NA	0	0	0
UBR7	0.10731750000000001	0	0	0
RPS23	-3.298559875	0	0	0
KIF16B	-0.651836125	0	0	1
MCPH1	0.135831	0	0	0
AKAP11	-0.580158	0	0	0
ATRX	-0.9311361250000001	1	0	0
RANBP3	-0.40148075	0	0	0
PPIG	0.006645375	0	0	0
CETN3	-0.999361125	0	0	0
ZDHHC7	NA	0	0	0
ZNF692	-1.1257155	0	0	0
TFB1M	-1.65330375	0	0	0
BOD1L	NA	0	0	0
RAB7A	0.06800962499999999	0	0	0
TMEM63A	NA	0	0	0
UBE2E2	0.144877	0	0	0
STK38L	0.2150746666665	0	0	0
PIGV	NA	0	0	0
AVL9	-0.9323026249999999	0	0	0
ATAD3B	NA	0	0	0
GRWD1	NA	0	0	0
FDX1	-0.411172625	0	0	0
TFEB	-1.7560514999999999	0	1	0
NPHP3	NA	0	0	1
NAPEPLD	0.0572255	0	0	0
CUL5	-0.021910625	0	0	0
GPD2	-1.7223465	0	0	0
NACC2	NA	0	0	0
MAOA	-1.815668	0	0	1
COPS4	NA	0	0	0
UBB	-2.9856947500000004	0	0	0
TPCN1	0.633378625	0	0	0
CDK5	-0.43167125	0	0	0
SLC4A2	-1.0898093750000002	0	0	1
GLCE	-0.419288875	0	0	0
ZNF76	-1.0404875	0	0	0
TBCA	-3.298559875	0	0	0
TRIM38	-0.132010625	0	0	1
MRPL20	NA	0	0	0
SLCO5A1	-0.7273797500000001	0	0	0
INTS12	-0.8432395	0	0	0
TEF	0.22418262500000002	0	0	0
IMPA2	-0.45959787500000004	0	0	1
SFT2D2	NA	0	0	1
RBM24	-0.86734825	0	0	1
MIF	0.59988975	0	0	0
ZKSCAN5	-1.5802844999999999	0	0	0
PEX1	-0.309494	0	0	1
MAML1	-1.53622975	0	0	0
SRRT	-1.75651475	0	0	0
NADK	-0.279158625	0	0	0
CXXC4	NA	0	0	0
ABL2	-0.9125322499999999	0	1	0
CAMLG	0.46904987499999995	0	0	0
RMI1	NA	0	0	0
HNRNPK	NA	0	0	0
XAB2	-1.7647132499999998	0	0	0
GPR125	NA	0	0	0
AGA	-0.330384625	0	0	0
EFNA1	-0.023226375	0	0	0
MIER2	NA	0	0	1
LEPROTL1	-0.7914490000000001	1	0	0
ALDH3A2	-0.20891274999999998	0	0	0
C15ORF24	NA	0	0	0
MOBKL3	NA	0	0	0
POLG	-0.570889875	1	0	0
SCD5	-0.572736125	0	0	0
UFSP1	NA	0	0	1
UNK	NA	0	0	0
GUF1	NA	0	0	0
FAM13B	-0.46471462500000005	0	0	0
CROT	0.19157775	0	0	0
KCTD20	-3.298559875	0	0	0
ESCO1	-0.569374125	0	0	0
IGF2R	-0.5098281250000001	0	0	0
IPO13	NA	0	0	0
CAPNS1	-1.839838375	0	0	0
FAM123B	NA	0	0	0
SGOL1	-1.64239975	0	0	0
ZNF8	-1.06029225	0	0	0
GSTA4	NA	0	0	0
USP20	-0.47883787499999997	0	0	0
LAMB2	NA	0	0	1
PHF6	-0.29896175	1	0	0
DDX20	-0.13595137499999999	0	0	0
NUFIP1	NA	0	0	0
LRDD	NA	0	0	0
CDT1	-2.363630708335	0	0	0
PPP3CB	-0.5407113750000001	0	0	0
CTH	-0.120673375	0	0	0
PDZD9	NA	0	0	0
NAA25	-0.0098725	0	0	0
CHD9	0.304039375	0	0	0
IREB2	-0.607273	0	0	0
TMEM9B	NA	0	0	0
LRPPRC	-0.616916125	0	0	0
RIOK3	-0.48634125	0	0	0
APPL1	-1.571312125	0	0	0
SEC62	-0.5442755	0	0	0
ACAP2	NA	0	0	0
MYL9	-0.187784625	0	0	0
SUPV3L1	-1.331573125	0	0	0
ZNF644	NA	0	0	0
MRAS	0.5727895000000001	0	0	0
TRIP6	-1.509940625	0	0	0
COL4A2	-0.402380125	0	0	0
COL4A1	NA	0	0	0
NAPB	0.42732749999999997	0	0	0
RAD54L2	NA	0	0	0
ARID3B	NA	0	0	0
GGPS1	-1.65867825	0	0	0
ARID4B	NA	0	0	0
HIP1R	NA	0	0	1
KLHL24	NA	0	0	0
DGKA	-0.055202749999999995	0	0	0
CD151	-1.915424	0	0	0
GPBP1L1	NA	0	0	0
TMEM69	NA	0	0	0
MMP15	-0.069534875	0	0	0
NCLN	-0.67576825	0	0	0
MCRS1	NA	0	0	0
SNX21	-0.04718425	0	0	1
FMR1	0.41671925	0	0	0
CISD1	NA	0	0	0
IPMK	0.206398	0	0	0
SSX2IP	NA	0	0	0
CFL2	0.116194875	0	0	0
CRK	-0.020752625	0	0	0
PCNXL3	NA	0	0	1
SNX7	NA	0	0	0
LAPTM4B	NA	0	0	0
METTL11A	NA	0	0	0
CCNH	-0.587796625	0	0	0
COPS8	-1.96472625	0	0	0
ABCB10	0.695077875	0	0	0
SAMD1	NA	0	0	1
OPN3	-0.0442115	0	0	0
HSPB8	-0.36228375	0	0	0
DTX4	NA	0	0	0
IL1RAP	-0.253554625	0	0	0
QTRTD1	-1.4539279999999999	0	0	1
SP4	-0.96399725	0	0	0
PIK3C2B	-0.80373175	0	0	0
SEPSECS	NA	0	0	0
SLC4A11	-1.2240155	0	0	1
WDR4	NA	0	0	0
WDR75	NA	0	0	0
LMCD1	NA	0	0	0
TFG	0.033762875	0	0	0
ARPC1A	-0.960727	0	0	0
RNF7	-0.805178375	0	0	0
MKRN1	-0.73812825	0	0	0
FUZ	NA	0	0	1
ORAI3	NA	0	0	0
FOXN3	-0.5897352499999999	0	0	0
CAPRIN2	NA	0	0	0
BPGM	0.324307875	0	0	1
RAB9A	-0.0082285	0	0	0
MBD1	-0.111047375	0	0	0
RRM1	-2.23954025	0	0	0
C19ORF28	NA	0	0	0
PRKD1	-0.177999875	0	0	0
EARS2	NA	0	0	0
PYGL	NA	0	0	0
HSPA13	NA	0	0	0
DNAJA3	-0.0522535	0	0	0
SNAP47	NA	0	0	0
ETV4	-0.993387	0	1	0
TMEM8A	NA	0	0	0
POLE3	-1.016212125	0	0	0
DLST	-0.48918825	0	0	0
TBC1D22A	-3.298559875	0	0	0
TMEM237	NA	0	0	0
MIB1	-0.42684137499999997	0	0	0
TIMMDC1	NA	0	0	0
DAZAP2	NA	0	0	0
MITF	-0.268169125	0	1	0
HYOU1	-0.508478	0	0	0
NAA50	NA	0	0	0
ATP6V1A	-0.63935575	0	0	0
PEMT	-0.037510875	0	0	0
NDUFC2	-0.8870554583335	0	0	0
SAP130	NA	0	0	0
ATP6V1H	-1.02831225	0	0	0
FANCC	-0.3863355	1	0	0
TM9SF1	-0.07797612500000001	0	0	0
SMNDC1	-0.707920375	0	0	0
ZNF667	-0.198717625	0	0	0
NR1D2	-0.096539375	0	0	0
CDC5L	-2.2369994999999996	0	0	0
FRS2	0.29352374999999997	0	0	0
UBE4B	-1.264790125	0	0	0
CBR4	-1.734166375	0	0	1
ZFYVE28	NA	0	0	0
PGP	-0.543829875	0	0	0
SEC23A	-1.0685	0	0	0
GFPT2	0.126080125	0	0	0
NEURL4	NA	0	0	1
RIOK1	-0.438917875	0	0	0
PSMD11	-2.4741033750000003	0	0	0
MICALL1	NA	0	0	0
MOBKL1A	NA	0	0	0
NDEL1	NA	0	0	0
CAMTA2	NA	0	0	0
ADI1	-0.40889425	0	0	0
WDR6	NA	0	0	0
FADD	-0.29406187500000003	0	0	0
ZNF260	-0.933739875	0	0	0
LOXL2	-1.7583752499999998	0	0	0
YPEL2	-0.169692375	0	0	0
ADAM15	-0.3269775416665	0	0	0
PAPD4	NA	0	0	0
RNF2	0.180631875	0	0	0
RBM5	-0.9279835000000001	0	0	0
PELO	NA	0	0	0
DDAH1	-0.61871875	0	0	1
ZNF202	-0.371143875	0	0	0
TMEFF2	-1.615993375	0	0	0
PHKA2	-0.35394800000000004	0	0	0
DNAJC5	NA	0	0	0
FAM126A	NA	0	0	0
LYN	-0.45081525	0	0	0
RIPK4	-0.214449125	0	0	0
C14ORF93	-0.2587545	0	0	0
EPB41L4A	-1.441523	0	0	0
PNPLA2	-0.379036625	0	0	0
LIF	0.40496675	0	0	0
FOXD2	-0.23845212500000001	0	0	0
CSRP2BP	-0.0263385	0	0	0
NUF2	NA	0	0	0
UBA6	-1.206674875	0	0	0
GOLGA1	NA	0	0	0
WDR33	-1.322214625	0	0	0
JAK1	-1.628230625	1	1	0
OSTC	NA	0	0	1
INPP5E	-0.375260125	0	0	0
PSRC1	NA	0	0	1
FDPS	-1.4661753750000002	0	0	0
P4HA2	-1.0748211250000002	0	0	0
TMOD3	-0.542698625	0	0	0
BTBD9	NA	0	0	0
C9ORF5	NA	0	0	0
RPUSD4	NA	0	0	0
NR6A1	-0.99511875	0	0	0
RASSF4	NA	0	0	0
FAM55C	NA	0	0	0
MAP3K4	-0.5423729166665	0	0	0
RGS17	-1.7912055	0	0	0
TMTC4	NA	0	0	0
ATP5L	-0.7726400833335001	0	0	0
POU3F3	-1.330321	0	0	0
NQO1	-0.526040125	0	0	0
FBXO45	NA	0	0	0
NID1	-0.06970175	0	0	0
BRD1	-0.7764187499999999	0	0	0
C4ORF14	NA	0	0	0
POLR2B	-0.62211325	0	0	0
MAP2K7	-0.49634612499999997	0	0	0
DAG1	-0.5404577500000001	0	0	0
PHC3	-0.9323026249999999	0	0	0
BNIP3L	0.1177915	0	0	0
TMEM19	NA	0	0	1
AKAP12	-0.398531125	0	0	0
PARP1	-0.835725625	0	0	0
SNAPC3	-1.2342413749999999	0	0	0
STAT1	-1.188193791665	0	0	0
PDE3B	-0.355239375	0	0	0
LAMP1	-0.8493675	0	0	0
SLC30A9	-0.6412335	0	0	0
MFGE8	-0.5933081250000001	0	0	0
PSPC1	NA	0	0	0
ANKRD52	NA	0	0	0
TEX10	NA	0	0	0
MFF	NA	0	0	0
CDH13	-0.488113625	0	0	0
BOK	-0.53497125	0	0	0
C3ORF64	NA	0	0	0
DIMT1L	NA	0	0	0
COL27A1	-0.859863625	0	0	0
COPB1	NA	0	0	0
AIFM1	-0.37660499999999997	0	0	0
KBTBD6	NA	0	0	0
TP53I3	NA	0	0	0
TMEM214	NA	0	0	0
SCAF1	NA	0	0	0
RRAS	-0.49979250000000003	0	0	0
DHX33	-0.27073075	0	0	0
NES	-0.793715	0	0	0
ABCF2	-0.5682447500000001	0	0	0
RHBDD3	0.02722525	0	0	0
EWSR1	-1.01578275	0	1	0
ANXA4	0.012379874999999999	0	0	0
FAM120B	NA	0	0	0
SLC4A4	-0.940983	0	0	0
ARPP19	NA	0	0	0
PODXL	NA	0	0	0
WBP11	-3.403046375	0	0	0
MCU	NA	0	0	0
FHDC1	0.23871862500000002	0	0	0
DDHD2	-1.354383875	0	0	0
SLC2A13	-0.66198775	0	0	1
FBXW2	-1.037981291665	0	0	0
HM13	-1.139564958335	0	0	0
LZTR1	NA	1	0	0
CSNK1G3	-1.1366749999999999	0	0	0
ISCA1	NA	0	0	0
SYCE1L	NA	0	0	1
MPHOSPH8	NA	0	0	0
REXO2	-1.96009775	0	0	0
TUFM	NA	0	0	0
NEO1	NA	0	0	0
TCIRG1	-0.521414125	0	0	0
COBRA1	NA	0	0	0
DLG5	-1.39295725	0	0	0
C1ORF31	NA	0	0	0
UBE2G1	-0.120400375	0	0	0
HSPB1	-0.611107125	0	0	0
GTF2E2	-1.1012395	0	0	0
NBPF1	NA	0	0	0
NUP98	-0.9831510416665	0	1	0
HEBP2	NA	0	0	1
GNAS	-0.46959799999999996	0	1	0
ATAD2	NA	0	0	0
CDK1	-0.38435175	0	0	0
FAM69A	NA	0	0	0
POLR2L	-0.932792125	0	0	0
TSPAN4	NA	0	0	0
ZNHIT6	NA	0	0	1
AASDH	-1.02178425	0	0	0
SUPT3H	0.132102875	0	0	0
TWF1	-0.96821725	0	0	0
HIST1H1E	NA	0	0	0
HIST1H2BD	-0.47228499999999995	0	0	0
ZNF213	0.0627495	0	0	1
SNX24	NA	0	0	0
KCTD5	-0.131334	0	0	0
TMEM39A	NA	0	0	0
TOMM40	-1.305257625	0	0	0
ECT2	-1.8737275	0	0	0
C19ORF20	NA	0	0	0
PPM1J	-0.16084175	0	0	0
RPS26	NA	0	0	0
SNX30	NA	0	0	1
SARS	-1.1166414166649998	0	0	0
GSTP1	-0.16736137499999998	0	0	0
FER1L5	NA	0	0	0
NBN	-0.8856005	1	0	0
TTC17	NA	0	0	0
SDR39U1	NA	0	0	0
NT5DC3	-1.26209625	0	0	0
ATP5A1	-0.9107762500000001	0	0	0
CREB5	-0.60399275	0	0	0
PPA2	0.48766224999999996	0	0	1
USP10	-0.16196112499999998	0	0	0
ALDH9A1	0.7689652083335	0	0	0
RCL1	-0.262823625	0	0	0
INF2	NA	0	0	0
RHOT1	-0.833272375	0	0	0
ME2	-1.182033125	0	0	0
LRRK1	-0.032909625	0	0	0
MRPS23	NA	0	0	0
PLA2G12A	-0.090319625	0	0	1
PNPLA8	0.051484125	0	0	0
ALDH6A1	-1.252431625	0	0	0
KLHL9	-0.347631875	0	0	0
NXF1	-2.8430325	0	0	0
MADD	-0.020304625	0	0	0
NDNF	NA	0	0	1
SPATA2	NA	0	0	0
TBC1D23	NA	0	0	0
ARSB	-0.8998511250000001	0	0	0
TWSG1	NA	0	0	0
ZNF282	-0.0012605	0	0	0
FBXO42	NA	0	0	0
AGAP1	NA	0	0	0
SAMM50	NA	0	0	1
PDF	0.245234625	0	0	0
TSG101	-0.6858425	0	0	0
C19ORF6	NA	0	0	0
NEU1	-0.6997312499999999	0	0	0
PLEKHJ1	NA	0	0	0
SF3A2	-2.5057702500000003	0	0	0
TMEM135	NA	0	0	0
IFITM1	-0.17619612499999998	0	0	0
TRMT61B	NA	0	0	1
ORAI1	NA	0	0	0
ZNF160	-1.147623125	0	0	0
FBLN5	-1.02069425	0	0	0
NBL1	0.112378	0	0	0
DYNLL2	-0.83590175	0	0	0
NLK	-0.7919452499999999	0	0	0
ZC3H11A	NA	0	0	0
TUFT1	-0.9392225000000001	0	0	1
DRAM1	NA	0	0	0
SEPT8	NA	0	0	0
PRR5L	NA	0	0	0
LMBR1L	-1.100512875	0	0	0
APLF	NA	0	0	0
MIA3	NA	0	0	0
NPM3	NA	0	0	0
RBL2	0.085910125	0	0	0
STARD3NL	NA	0	0	0
PIK3R4	-1.375627125	0	0	0
PRIM2	-1.191979291665	0	0	0
BRAF	-0.9118489999999999	0	1	0
ORMDL3	NA	0	0	0
SOCS7	-3.298559875	0	0	0
SIVA1	NA	0	0	0
BACE2	-0.7485858333335	0	0	0
RPS16	-1.769541625	0	0	0
SETX	-0.586837375	0	0	0
SEC24C	-0.226996	0	0	0
PPARA	-0.726876375	0	0	0
CHPT1	-0.33198675	0	0	0
PHYH	-0.9015617499999999	0	0	0
FUT10	0.16411925	0	0	1
RTKN	-0.3010155	0	0	0
TBKBP1	NA	0	0	1
DNAJC10	-1.150265	0	0	0
RPL18A	NA	0	0	0
AKAP8L	-1.676229208335	0	0	0
TOMM7	NA	0	0	1
IQGAP1	-2.037007875	0	0	0
RILPL1	NA	0	0	0
TMEM41B	NA	0	0	0
TMEM111	NA	0	0	0
SMS	-0.4470145	0	0	0
PARP2	-0.0323815	0	0	0
RAB3GAP2	-1.0398260000000001	0	0	0
EXOSC4	-1.2298106249999998	0	0	0
TMEM170B	NA	0	0	0
PHC1	NA	0	0	0
