Gene	noncoding_mutation_rate	TSG	OG	NG
PPAPDC2	2.31E-06	0	0	1
EIF2C3	1.92E-06	0	0	0
C9ORF89	1.95E-06	0	0	1
UPF3A	NA	0	0	0
CAMTA1	2.00E-06	1	0	0
GJC1	2.33E-06	0	0	0
ZNF184	5.00E-06	0	0	0
MICAL1	2.17E-06	0	0	0
RPS3	1.99E-06	0	0	0
LYST	3.04E-06	0	0	0
SLC25A36	3.37E-06	0	0	0
MRPS2	3.63E-06	0	0	0
ANKRD28	2.26E-06	0	0	0
PPP1R2	6.39E-06	0	0	0
RPL5	2.04E-06	1	0	0
ZFP161	5.98E-06	0	0	0
ARL8A	2.24E-06	0	0	1
ZNF652	2.74E-06	0	0	0
PRR24	NA	0	0	0
TCF3	2.37E-06	1	1	0
ACBD3	2.28E-06	0	0	0
ZC3H13	2.86E-06	0	0	0
PGD	1.40E-06	0	0	0
RNF13	2.54E-06	0	0	0
OTUD7B	4.59E-06	0	0	0
ARHGAP22	NA	0	0	0
DYNLRB1	2.24E-06	0	0	0
CRIP2	1.45E-05	0	0	0
ACVR2B	2.13E-06	0	0	0
CDK8	3.02E-06	0	0	0
GTF3C5	2.56E-06	0	0	1
LRP11	2.33E-06	0	0	0
TMEM138	2.20E-06	0	0	0
ASCC3	4.01E-06	0	0	0
SPG7	NA	0	0	0
MTMR10	2.90E-06	0	0	0
ACVR1B	NA	0	0	0
ABI2	1.91E-06	0	0	0
CNOT3	5.65E-06	1	0	0
TATDN2	2.31E-06	0	0	0
ZNF192	4.35E-06	0	0	0
TNFRSF19	2.95E-06	0	0	0
SP2	2.47E-06	0	0	0
CBX8	2.74E-06	0	0	0
SRSF2	NA	0	1	0
MFSD11	2.47E-06	0	0	0
RPL23A	2.19E-06	0	0	0
RAB34	2.19E-06	0	0	0
ETHE1	3.52E-06	0	0	0
GBE1	4.39E-06	0	0	0
PIK3R2	2.53E-06	0	0	0
CLPX	2.15E-06	0	0	0
NDUFAF3	1.83E-06	0	0	1
DALRD3	1.83E-06	0	0	1
ANKLE2	NA	0	0	0
TMEM50B	2.11E-06	0	0	0
CCBL2	2.04E-06	0	0	0
USP42	3.10E-06	0	0	0
JMJD1C	3.04E-06	0	0	0
NIPA2	7.26E-06	0	0	0
PTHLH	2.67E-06	0	0	0
RNF40	2.09E-06	0	0	0
ACBD6	2.63E-06	0	0	0
TYMP	NA	0	0	0
ACLY	2.48E-06	0	0	0
TXLNA	1.74E-06	0	0	0
ZNF148	3.33E-06	0	0	0
MCART1	2.32E-06	0	0	0
SGK196	4.59E-06	0	0	0
RPL32	1.99E-06	0	0	0
WDR43	2.10E-06	0	0	0
FKBP4	3.22E-06	0	0	0
CLPTM1	2.68E-06	0	0	0
LMAN1	3.09E-06	0	0	0
UBXN4	2.85E-06	0	0	0
LIPG	2.41E-06	0	0	0
YIPF2	2.15E-06	0	0	0
MAP2K5	1.96E-06	0	0	0
RNF114	2.47E-06	0	0	0
DDI2	1.69E-06	0	0	0
SLC35D1	2.68E-06	0	0	0
N4BP1	3.83E-06	0	0	0
B3GNT5	NA	0	0	0
BAI2	1.87E-06	0	0	0
EXTL3	1.82E-06	0	0	0
STRN	2.24E-06	0	0	0
ESYT1	2.49E-06	0	0	0
PPAP2A	2.38E-06	0	0	0
IFITM3	3.14E-06	0	0	0
RFTN1	2.74E-06	0	0	0
CNPY3	2.23E-06	0	0	0
WIBG	2.83E-06	0	0	0
XRN1	2.62E-06	0	0	0
FAR1	2.76E-06	0	0	0
CAMSAP1	3.09E-06	0	0	0
FOXH1	3.56E-06	0	0	0
COTL1	1.96E-06	0	0	0
DOCK7	2.22E-06	0	0	0
GNPNAT1	2.51E-06	0	0	0
ATP6V0D1	1.57E-06	0	0	0
TNKS	2.62E-06	0	0	0
PRC1	2.77E-06	0	0	0
PPRC1	1.68E-06	0	0	0
SAR1A	1.84E-06	0	0	0
ARHGAP17	3.33E-06	0	0	0
GTF2F2	2.56E-06	0	0	0
DDX54	2.96E-06	0	0	0
TMEM134	3.61E-06	0	0	0
RIMS2	5.55E-06	0	0	0
CHERP	2.39E-06	0	0	0
ITGA4	3.10E-06	0	0	0
RELA	2.04E-06	0	0	0
TXNDC11	2.02E-06	0	0	0
SF3B14	1.98E-06	0	0	0
B4GALT5	2.43E-06	0	0	0
UBE2J1	1.86E-06	0	0	0
LBX2	2.11E-06	0	0	0
LPCAT4	2.83E-06	0	0	0
TAOK1	2.14E-06	0	0	0
PIAS1	2.10E-06	0	0	0
ILF2	3.02E-06	0	0	0
ITPR2	2.49E-06	0	0	0
HNRNPM	3.26E-06	0	0	0
SNX25	1.91E-06	0	0	0
COX7A2L	2.09E-06	0	0	0
SELT	2.77E-06	0	0	0
YARS2	3.65E-06	0	0	0
MKNK2	2.52E-06	0	0	0
WHAMM	2.83E-06	0	0	0
GMNN	2.65E-06	0	0	0
PEX11B	NA	0	0	0
LSM14B	3.67E-06	0	0	0
MMP2	2.91E-06	0	0	0
USP12	2.66E-06	0	0	0
PLCD1	1.90E-06	0	0	0
KDM3B	1.83E-06	0	0	0
TTBK2	1.99E-06	0	0	0
MTMR2	2.21E-06	0	0	0
CCT3	2.45E-06	0	0	0
VPS26A	1.82E-06	0	0	0
PSMB10	1.67E-06	0	0	0
PTK7	2.19E-06	0	0	0
PIF1	2.20E-06	0	0	0
GPN3	2.41E-06	0	0	0
HN1	2.52E-06	0	0	0
ZC3H7B	2.28E-06	0	0	0
WWP1	5.92E-06	0	0	0
PDE6D	2.72E-06	0	0	0
C17ORF49	2.35E-06	0	0	1
RNASEK	2.35E-06	0	0	0
RBCK1	3.00E-06	0	0	0
CCDC59	3.96E-06	0	0	0
CERK	2.71E-06	0	0	0
SLC41A1	2.67E-06	0	0	1
MTHFD2	2.03E-06	0	0	0
RAD51	1.93E-06	0	0	0
SLC35F2	2.91E-06	0	0	0
MBD6	2.25E-06	0	0	0
DDIT3	2.25E-06	0	1	0
PCYT1A	5.71E-06	0	0	0
ATP6V0B	1.86E-06	0	0	0
PLEKHF1	5.35E-06	0	0	0
NCOA7	2.92E-06	0	0	0
MKI67	3.83E-06	0	0	0
GFPT1	1.95E-06	0	0	0
AKIRIN1	2.44E-06	0	0	0
CRABP2	2.78E-06	0	0	0
CKAP2	3.26E-06	0	0	0
HELLS	2.31E-06	0	0	0
AHSA2	2.34E-06	0	0	0
AKAP1	2.46E-06	0	0	0
ADAMTS12	5.37E-06	0	0	0
SLC43A2	2.37E-06	0	0	0
UBR2	2.31E-06	0	0	0
TALDO1	2.81E-06	0	0	0
RNF111	NA	0	0	0
PABPN1	2.15E-06	0	0	0
KDM3A	2.73E-06	0	0	0
PPM1M	1.65E-06	0	0	0
XIAP	3.48E-06	0	0	0
VPS13B	3.44E-06	0	0	0
RNF6	3.15E-06	0	0	0
TBC1D10A	1.86E-06	0	0	0
NTN4	2.59E-06	0	0	0
MAP3K3	2.14E-06	0	0	0
E2F8	2.85E-06	0	0	0
ZMPSTE24	2.17E-06	0	0	0
TMEM189-UBE2V1	2.48E-06	0	0	0
ZBED4	NA	0	0	0
MAFF	2.13E-06	0	0	0
ZNF41	2.63E-06	0	0	1
DSCR3	2.30E-06	0	0	0
IFNGR2	2.09E-06	0	0	0
SPIRE1	2.64E-06	0	0	0
ZNF584	3.05E-06	0	0	0
ATP5E	3.57E-06	0	0	0
LRRC58	2.85E-06	0	0	0
ZNF638	2.86E-06	0	0	0
ICAM5	2.25E-06	0	0	0
SLC25A30	2.65E-06	0	0	0
ZNF345	4.13E-06	0	0	0
GTPBP4	3.85E-06	0	0	0
CCDC85B	2.04E-06	0	0	0
FIBP	2.04E-06	0	0	0
PRMT2	NA	0	0	0
TOMM20	2.85E-06	0	0	0
CRTAP	2.15E-06	0	0	1
PDIA4	2.97E-06	0	0	0
GLIS1	2.10E-06	0	0	0
NEMF	NA	0	0	0
ZNF281	3.26E-06	0	0	0
CMPK1	2.39E-06	0	0	0
BANP	4.13E-06	0	0	0
CHMP1A	NA	0	0	0
ZNF574	2.28E-06	0	0	1
MXD1	1.81E-06	0	0	0
SNX14	4.46E-06	0	0	0
DAXX	2.78E-06	1	1	0
OGFRL1	3.84E-06	0	0	1
TBK1	2.67E-06	0	0	0
TUBB2A	2.18E-06	0	0	0
KIAA0776	5.08E-06	0	0	0
RGS4	4.41E-06	0	0	0
CAMKK2	2.71E-06	0	0	0
SNX9	1.87E-06	0	0	0
TRAF6	3.75E-06	0	0	0
DNAJC25	NA	0	0	0
DYNLT1	2.49E-06	0	0	0
LASS6	2.21E-06	0	0	0
IDH1	3.38E-06	0	1	0
HOXA5	3.15E-06	0	0	0
MDN1	2.06E-06	0	0	0
SQRDL	3.09E-06	0	0	0
SPAST	2.42E-06	0	0	0
UBAP1	2.03E-06	0	0	0
ZNF131	3.47E-06	0	0	0
SIX2	2.49E-06	0	1	0
HIGD1A	2.01E-06	0	0	0
RHOG	4.97E-06	0	0	0
PBX2	2.46E-06	0	0	0
PTPN6	2.89E-06	1	0	0
SAMD4B	2.55E-06	0	0	0
TRAPPC10	2.72E-06	0	0	0
ATP6V0C	2.04E-06	0	0	0
MVD	8.05E-06	0	0	0
NAPA	2.74E-06	0	0	0
LRRC16A	2.64E-06	0	0	0
DMXL2	2.26E-06	0	0	0
PSMD7	3.34E-06	0	0	0
PDIA3	2.23E-06	0	0	0
SNRPB	2.65E-06	0	0	0
UBE2L6	3.20E-06	0	0	0
ZMYM3	3.07E-06	1	0	0
GCAT	2.16E-06	0	0	0
LYSMD3	3.16E-06	0	0	0
THBS2	4.22E-06	0	0	0
XPO6	3.98E-06	0	0	0
NSMAF	4.05E-06	0	0	0
RBFOX2	NA	0	0	0
CFDP1	2.75E-06	0	0	0
ZNF34	3.60E-06	0	0	1
SLC25A1	3.11E-06	0	0	0
CCBE1	3.31E-06	0	0	0
NAA60	NA	0	0	0
PIAS2	3.03E-06	0	0	0
DPY19L3	4.01E-06	0	0	0
BMP1	2.13E-06	0	0	0
CADM1	4.37E-06	0	0	0
DOHH	2.60E-06	0	0	0
NOL3	1.56E-06	0	0	0
MSX2	3.33E-06	0	0	0
RHOBTB1	2.23E-06	0	0	0
C18ORF54	3.41E-06	0	0	1
SYPL1	2.72E-06	0	0	0
ACADM	5.73E-06	0	0	0
TGFBR1	2.93E-06	0	0	0
LRRC59	1.90E-06	0	0	0
MDP1	2.23E-06	0	0	0
SYNJ1	2.19E-06	0	0	0
TMEM158	1.67E-06	0	0	0
RBMX	3.14E-06	0	0	0
PPP2R1B	1.80E-06	0	0	0
ASB1	2.44E-06	0	0	0
C3ORF21	4.68E-06	0	0	0
ALDH7A1	2.06E-06	0	0	0
KDELR2	NA	0	0	0
FKBP2	2.17E-06	0	0	0
CCNT1	2.49E-06	0	0	0
NNT	5.25E-06	0	0	0
MBD2	3.74E-06	0	0	0
NANP	5.85E-06	0	0	0
SLC1A3	3.12E-06	0	0	0
CDK9	2.00E-06	0	0	0
STK39	2.61E-06	0	0	0
ORC2	NA	0	0	0
RSL1D1	2.10E-06	0	0	0
MAPK14	2.08E-06	0	0	0
H1F0	2.16E-06	0	0	0
C13ORF15	2.57E-06	0	0	0
PARP4	3.05E-06	0	0	0
EML6	NA	0	0	0
TGFBRAP1	3.16E-06	0	0	0
OSGIN2	4.85E-06	0	0	0
STAU2	3.18E-06	0	0	0
CD46	3.07E-06	0	0	0
RAC1	NA	0	1	0
STAT2	2.33E-06	0	0	0
NDFIP2	3.32E-06	0	0	0
ZAK	2.21E-06	0	0	0
ADRBK1	2.96E-06	0	0	0
FBXL20	2.37E-06	0	0	0
CCT4	2.26E-06	0	0	0
UTP3	3.02E-06	0	0	0
RAB11FIP2	3.05E-06	0	0	0
CCNJ	1.92E-06	0	0	0
CCNA2	3.39E-06	0	0	0
TRPM7	2.45E-06	0	0	0
HDAC4	2.83E-06	0	0	0
MORC3	2.31E-06	0	0	0
PPP1R14B	2.17E-06	0	0	0
RALB	2.12E-06	0	0	0
EHMT1	NA	0	0	0
TOMM6	NA	0	0	0
LOC100128731	NA	0	0	0
ROR1	2.10E-06	0	0	0
RPS14	1.63E-06	0	0	0
UCKL1	NA	0	0	0
MYO18A	2.17E-06	0	0	0
FRMD5	2.23E-06	0	0	0
LRRC37B2	NA	0	0	0
HINT1	2.44E-06	0	0	0
DPY19L1	5.94E-06	0	0	0
PSMD3	2.09E-06	0	0	0
RAB5B	2.75E-06	0	0	0
ADAMTS15	2.75E-06	0	0	0
HES4	4.48E-06	0	0	0
SGMS2	2.73E-06	0	0	0
DIAPH3	3.49E-06	0	0	0
FARP1	2.50E-06	0	0	0
DDX5	2.69E-06	0	1	0
CEP95	NA	0	0	0
GFRA1	4.78E-06	0	0	0
GPSM2	1.98E-06	0	0	0
ANKRD32	2.69E-06	0	0	0
SPSB2	2.66E-06	0	0	1
TMEM167B	1.75E-06	0	0	1
ENSA	2.71E-06	0	0	0
TMF1	3.14E-06	0	0	0
CBFB	1.60E-06	1	0	0
C11ORF24	3.66E-06	0	0	0
PRKRIR	2.02E-06	0	0	0
SRP9	2.36E-06	0	0	0
COPG	2.52E-06	0	0	0
FNBP1L	1.72E-06	0	0	0
VOPP1	4.06E-06	0	0	0
KCNMA1	2.78E-06	0	0	0
RPS4X	2.79E-06	0	0	0
CD9	2.76E-06	0	0	0
USF1	3.26E-06	0	0	0
HJURP	2.56E-06	0	0	0
PTPN2	2.67E-06	0	0	0
C2ORF29	2.30E-06	0	0	0
RPLP2	2.71E-06	0	0	0
PHGDH	3.00E-06	0	0	0
UFM1	3.85E-06	0	0	0
ARMC8	3.54E-06	0	0	0
BMP6	2.73E-06	0	0	0
LDHB	4.37E-06	0	0	0
STAMBPL1	1.88E-06	0	0	0
DEGS1	3.27E-06	0	0	0
RPS29	2.93E-06	0	0	0
FOSL1	2.04E-06	0	0	0
RNF38	2.25E-06	0	0	0
ZCCHC9	2.47E-06	0	0	0
SDPR	3.21E-06	0	0	0
FKBP14	2.53E-06	0	0	0
PLEKHA8	2.52E-06	0	0	0
DNAJC27	1.80E-06	0	0	1
NEDD4	2.75E-06	0	0	0
MED8	1.61E-06	0	0	0
KATNB1	1.63E-06	0	0	0
ADD1	1.87E-06	0	0	0
C21ORF59	2.24E-06	0	0	1
PLEKHB2	4.98E-06	0	0	0
EIF2C2	2.75E-06	0	0	0
ABCC1	3.33E-06	0	0	0
TMEM187	2.70E-06	0	0	1
HCFC1	2.70E-06	0	0	0
SYNJ2	2.09E-06	0	0	0
PFDN6	2.78E-06	0	0	0
SCYL3	3.77E-06	0	0	0
MARCH3	2.05E-06	0	0	0
GTF3C1	3.00E-06	0	0	0
FOXQ1	2.85E-06	0	0	0
LUZP1	NA	0	0	0
XYLT1	3.93E-06	0	0	0
SHMT2	2.18E-06	0	0	0
ZNF529	3.72E-06	0	0	1
CMTM3	2.07E-06	0	0	0
HIST1H1D	4.00E-06	0	0	0
HSPA4L	3.40E-06	0	0	0
BAG6	NA	0	0	0
ZNF326	2.39E-06	0	0	0
DCTN6	2.08E-06	0	0	0
RBBP7	2.33E-06	0	0	0
VDR	2.45E-06	0	0	0
PIK3IP1	2.08E-06	0	0	0
COQ10B	2.74E-06	0	0	0
BNC1	3.42E-06	0	0	0
STAT3	2.09E-06	0	1	0
PPIL4	2.31E-06	0	0	0
ANGPT1	5.59E-06	0	0	0
CCNO	2.43E-06	0	0	0
RPS2	2.04E-06	0	0	0
ITGB5	2.86E-06	0	0	0
MDFIC	4.39E-06	0	0	0
CEP192	2.78E-06	0	0	0
RORB	4.13E-06	0	0	0
ECI2	NA	0	0	1
SEC14L1	2.72E-06	0	0	0
MTHFD1L	2.69E-06	0	0	0
HCFC2	2.74E-06	0	0	0
RPL34	2.95E-06	0	0	0
AKAP9	2.91E-06	0	0	0
DIAPH2	3.20E-06	0	0	0
RER1	3.75E-06	0	0	0
TIMM13	2.73E-06	0	0	1
HOXA6	3.15E-06	0	0	0
NRSN2	3.02E-06	0	0	0
RAN	5.48E-06	0	0	0
RBFA	NA	0	0	0
KIAA0430	3.45E-06	0	0	1
ADARB1	3.12E-06	0	0	0
EIF2S3	2.13E-06	0	0	0
RAB23	5.74E-06	0	0	0
RPN1	2.49E-06	0	0	0
CSE1L	2.58E-06	0	0	0
RPL11	1.87E-06	0	0	0
C14ORF147	2.47E-06	0	0	0
SLC7A1	3.41E-06	0	0	0
GSG2	NA	0	0	0
SNX2	2.60E-06	0	0	0
LDB2	4.21E-06	0	0	0
SF3B5	2.35E-06	0	0	0
CCM2	2.92E-06	0	0	0
EML4	2.23E-06	0	0	0
TM2D2	2.82E-06	0	0	0
ADAM9	2.87E-06	0	0	0
KHDRBS3	6.40E-06	0	0	0
TAF1	3.00E-06	0	0	0
SIM1	4.05E-06	0	0	0
MXRA8	3.40E-06	0	0	0
NFYB	2.72E-06	0	0	0
MBD3	2.37E-06	0	0	0
SWAP70	2.21E-06	0	0	0
STT3A	2.71E-06	0	0	0
CLN8	5.69E-06	0	0	0
RIMKLB	5.22E-06	0	0	1
INPP5K	2.54E-06	0	0	0
C1ORF93	3.87E-06	0	0	0
ATAD1	2.00E-06	0	0	0
RAB28	3.66E-06	0	0	0
ZNRD1	2.97E-06	0	0	0
IWS1	2.16E-06	0	0	0
MXD4	1.84E-06	0	0	0
CHMP2B	5.49E-06	0	0	1
CCDC90B	2.82E-06	0	0	0
GDF15	2.37E-06	0	0	0
ADPGK	2.31E-06	0	0	0
TRAPPC6B	3.80E-06	0	0	0
COG1	2.52E-06	0	0	1
ZNF395	1.77E-06	0	0	0
TM2D3	NA	0	0	0
C21ORF63	2.27E-06	0	0	0
GNPAT	2.85E-06	0	0	0
GXYLT2	2.73E-06	0	0	0
PLEKHA1	2.29E-06	0	0	0
P4HTM	1.83E-06	0	0	0
PCBP2	2.48E-06	0	0	0
SSU72	2.69E-06	0	0	0
TRIP13	5.89E-06	0	0	0
C3ORF23	2.14E-06	0	0	0
RRS1	3.31E-06	0	0	0
ADHFE1	3.31E-06	0	0	0
TNFRSF21	3.01E-06	0	0	0
ATF6	3.35E-06	0	0	0
PAIP2	1.75E-06	0	0	0
PAK2	3.66E-06	0	0	0
DCLK2	2.70E-06	0	0	1
SUN2	2.26E-06	0	0	0
PDS5A	2.42E-06	0	0	0
LRP12	6.69E-06	0	0	0
MBOAT2	2.02E-06	0	0	0
RBX1	2.26E-06	0	0	0
TCF7L1	1.98E-06	0	0	0
PTGR1	2.27E-06	0	0	0
FASTK	2.71E-06	0	0	0
TBC1D8	2.37E-06	0	0	0
SCARF2	4.58E-06	0	0	0
INSIG2	4.90E-06	0	0	1
BRCA1	2.17E-06	1	0	0
TPI1	2.66E-06	0	0	0
LRP4	1.99E-06	0	0	0
AGAP3	2.65E-06	0	0	0
LARP6	2.38E-06	0	0	0
MAEA	2.80E-06	0	0	0
ZDHHC2	2.53E-06	0	0	0
CTNNAL1	2.19E-06	0	0	0
COX18	3.18E-06	0	0	0
MRPS30	9.30E-06	0	0	0
POLR1B	2.85E-06	0	0	0
RNPEPL1	2.79E-06	0	0	1
EHD4	1.79E-06	0	0	0
TAF12	1.69E-06	0	0	0
KIF2A	3.24E-06	0	0	0
STRADA	2.16E-06	0	0	0
SC5DL	3.14E-06	0	0	0
CEP120	2.07E-06	0	0	0
CYP4V2	3.20E-06	0	0	0
TBC1D9	2.97E-06	0	0	0
CSTF3	2.67E-06	0	0	0
GRPEL1	2.22E-06	0	0	0
SRM	1.84E-06	0	0	0
GPT2	4.58E-06	0	0	0
PACS1	2.00E-06	0	0	0
CISD2	3.23E-06	0	0	0
IRX1	8.86E-06	0	0	0
NFIC	2.61E-06	0	0	0
AHCYL2	2.10E-06	0	0	0
SBF2	2.18E-06	0	0	0
ZBTB25	1.88E-06	0	0	0
ZBTB1	1.88E-06	0	0	0
UBE2G2	2.93E-06	0	0	0
MALT1	2.31E-06	0	1	0
PGM2	2.94E-06	0	0	1
TAPBP	2.78E-06	0	0	0
ZBTB22	2.78E-06	0	0	1
DNAJA2	4.18E-06	0	0	0
MAPKAPK3	1.90E-06	0	0	0
PDXDC1	4.07E-06	0	0	0
ABHD2	2.76E-06	0	0	0
RTF1	NA	0	0	0
KCNMB4	3.57E-06	0	0	0
TMUB1	2.71E-06	0	0	1
ARNT	2.60E-06	1	1	0
SP9	NA	0	0	1
LGALS3	2.06E-06	0	0	0
ABHD5	2.28E-06	0	0	0
G2E3	3.08E-06	0	0	0
DCAF12	2.06E-06	0	0	0
PDIK1L	1.54E-06	0	0	0
GRAMD1A	2.44E-06	0	0	0
RRAS2	3.10E-06	0	0	0
NSD1	2.76E-06	0	0	0
EXOSC2	2.40E-06	0	0	0
NUP155	3.19E-06	0	0	0
ELAVL1	2.54E-06	0	0	0
PKNOX2	2.79E-06	0	0	0
ARFGEF2	2.67E-06	0	0	0
NOVA1	6.33E-06	0	0	0
UBL5	2.80E-06	0	0	0
NPAS3	3.29E-06	0	0	0
PQLC1	NA	0	0	0
UBE3C	3.91E-06	0	0	0
STX18	3.65E-06	0	0	0
FOXM1	3.22E-06	0	0	0
SLC39A1	2.73E-06	0	0	0
CREB3L4	2.73E-06	0	0	0
CBL	2.20E-06	1	1	0
RPL22	2.24E-06	1	0	0
SEPW1	2.76E-06	0	0	0
SMARCA4	2.16E-06	1	0	0
SUPT5H	2.54E-06	0	0	0
BUB1	NA	0	0	0
SEMA3F	1.52E-06	0	0	0
IFT57	3.02E-06	0	0	0
VPS54	2.05E-06	0	0	0
HIRIP3	NA	0	0	0
ZNF747	2.01E-06	0	0	1
UPF2	2.65E-06	0	0	0
NPC1	2.02E-06	0	0	0
ATXN10	2.04E-06	0	0	0
CD276	2.53E-06	0	0	0
SMC3	2.08E-06	0	0	0
PSMD14	3.24E-06	0	0	0
DCAF8	3.02E-06	0	0	0
COL16A1	1.88E-06	0	0	0
VPS45	3.98E-06	0	0	0
WDFY1	2.89E-06	0	0	0
MED25	2.74E-06	0	0	0
MBTPS1	2.52E-06	0	0	0
RAB21	3.85E-06	0	0	0
SLFN12	2.81E-06	0	0	0
ST3GAL6	4.92E-06	0	0	0
TAX1BP1	2.87E-06	0	0	0
ADSL	2.30E-06	0	0	0
SMG5	2.43E-06	0	0	0
C18ORF10	2.80E-06	0	0	0
TIFA	3.46E-06	0	0	0
ZNF140	NA	0	0	0
DCP1A	1.76E-06	0	0	0
ADAR	2.63E-06	0	0	0
INO80	1.91E-06	0	0	0
PSAP	1.79E-06	0	0	0
FRAT1	1.90E-06	0	0	0
CHAC1	1.92E-06	0	0	0
ATP6V1B2	3.08E-06	0	0	0
FLRT3	NA	0	0	0
ARL5A	2.14E-06	0	0	0
ZNF787	4.12E-06	0	0	0
BACH2	2.48E-06	0	0	0
ELL	2.23E-06	1	0	0
CLCN6	2.07E-06	0	0	1
MTHFR	2.07E-06	0	0	0
RDH10	3.44E-06	0	0	0
RPL7	3.44E-06	0	0	0
EPOR	2.34E-06	0	0	0
CDC42	1.99E-06	0	0	0
FKBP5	2.16E-06	0	0	0
PRH1	NA	0	0	1
APRT	9.27E-06	0	0	0
STAM2	2.13E-06	0	0	1
PARP14	2.64E-06	0	0	0
TJP2	2.55E-06	0	0	0
RIOK2	2.55E-06	0	0	0
PRMT7	1.79E-06	0	0	0
RBM25	2.70E-06	0	0	0
REPIN1	4.35E-06	0	0	0
FAM57A	3.47E-06	0	0	0
LENG9	5.48E-06	0	0	1
TXNDC5	2.76E-06	0	0	0
AP1S2	2.47E-06	0	0	0
REEP3	3.19E-06	0	0	0
SH2B1	5.39E-06	0	0	0
ARF3	2.41E-06	0	0	0
PDLIM1	2.37E-06	0	0	0
COL13A1	1.83E-06	0	0	0
GOT1	2.89E-06	0	0	0
RMND5A	4.65E-06	0	0	0
ACAD9	2.48E-06	0	0	0
ANKRD37	2.03E-06	0	0	1
SMG9	NA	0	0	1
TBX15	3.39E-06	0	0	0
TPRG1L	2.24E-06	0	0	1
SVEP1	2.88E-06	0	0	0
TTC35	4.99E-06	0	0	0
MTFR1	4.24E-06	0	0	0
CD55	2.97E-06	0	0	0
RNF34	2.70E-06	0	0	0
DPY19L4	2.83E-06	0	0	0
SLC15A4	9.01E-06	0	0	0
RPS24	2.21E-06	0	0	0
MRM1	2.60E-06	0	0	0
SSR1	2.73E-06	0	0	0
EPHA7	5.43E-06	0	0	0
NFYC	2.10E-06	0	0	0
NFIX	2.82E-06	0	0	0
PLEKHH3	2.08E-06	0	0	1
UBE2B	1.63E-06	0	0	0
LEMD2	2.56E-06	0	0	1
RLIM	3.40E-06	0	0	0
GMPPA	2.41E-06	0	0	1
CEBPG	2.83E-06	0	0	0
RGS10	2.11E-06	0	0	0
ZNF398	2.94E-06	0	0	0
RNF150	3.34E-06	0	0	0
ZBTB34	2.41E-06	0	0	0
RAB20	3.12E-06	0	0	0
TNPO3	2.50E-06	0	0	0
PANK3	2.78E-06	0	0	0
ZDHHC17	3.12E-06	0	0	0
PUF60	3.42E-06	0	0	0
CAPN7	2.29E-06	0	0	0
MAP3K11	2.03E-06	0	0	0
PER2	2.34E-06	0	0	0
SASH1	2.92E-06	0	0	0
SUPT16H	2.97E-06	0	0	0
FAM189B	2.30E-06	0	0	1
MRPL33	1.82E-06	0	0	0
UBR7	2.65E-06	0	0	0
RPS23	2.50E-06	0	0	0
KIF16B	3.93E-06	0	0	1
MCPH1	4.22E-06	0	0	0
AKAP11	2.77E-06	0	0	0
ATRX	2.65E-06	1	0	0
RANBP3	2.71E-06	0	0	0
PPIG	2.33E-06	0	0	0
CETN3	3.44E-06	0	0	0
ZDHHC7	2.37E-06	0	0	0
ZNF692	NA	0	0	0
TFB1M	3.01E-06	0	0	0
BOD1L	3.74E-06	0	0	0
RAB7A	2.49E-06	0	0	0
TMEM63A	2.29E-06	0	0	0
UBE2E2	2.95E-06	0	0	0
STK38L	2.49E-06	0	0	0
PIGV	1.70E-06	0	0	0
AVL9	4.02E-06	0	0	0
ATAD3B	2.78E-06	0	0	0
GRWD1	2.77E-06	0	0	0
FDX1	2.66E-06	0	0	0
TFEB	2.40E-06	0	1	0
NPHP3	3.38E-06	0	0	1
NAPEPLD	4.55E-06	0	0	0
CUL5	2.68E-06	0	0	0
GPD2	3.03E-06	0	0	0
NACC2	2.87E-06	0	0	0
MAOA	2.45E-06	0	0	1
COPS4	1.95E-06	0	0	0
UBB	2.72E-06	0	0	0
TPCN1	3.05E-06	0	0	0
CDK5	2.71E-06	0	0	0
SLC4A2	2.71E-06	0	0	1
GLCE	2.34E-06	0	0	0
ZNF76	2.27E-06	0	0	0
TBCA	2.54E-06	0	0	0
TRIM38	3.07E-06	0	0	1
MRPL20	3.05E-06	0	0	0
SLCO5A1	4.69E-06	0	0	0
INTS12	2.02E-06	0	0	0
TEF	2.30E-06	0	0	0
IMPA2	3.26E-06	0	0	1
SFT2D2	2.88E-06	0	0	1
RBM24	2.84E-06	0	0	1
MIF	3.07E-06	0	0	0
ZKSCAN5	2.56E-06	0	0	0
PEX1	2.58E-06	0	0	1
MAML1	3.09E-06	0	0	0
SRRT	3.13E-06	0	0	0
NADK	2.51E-06	0	0	0
CXXC4	4.50E-06	0	0	0
ABL2	3.34E-06	0	1	0
CAMLG	1.67E-06	0	0	0
RMI1	2.54E-06	0	0	0
HNRNPK	2.53E-06	0	0	0
XAB2	2.46E-06	0	0	0
GPR125	4.35E-06	0	0	0
AGA	5.30E-06	0	0	0
EFNA1	2.35E-06	0	0	0
MIER2	4.74E-06	0	0	1
LEPROTL1	2.13E-06	1	0	0
ALDH3A2	2.34E-06	0	0	0
C15ORF24	3.05E-06	0	0	0
MOBKL3	2.86E-06	0	0	0
POLG	2.64E-06	1	0	0
SCD5	2.00E-06	0	0	0
UFSP1	3.13E-06	0	0	1
UNK	2.17E-06	0	0	0
