Gene	Missense_entropy
VMA21	0.080261
RABEP2	0.035959
RNF8	0.121673
GGH	0.089619
HECA	0.106396
FAM3C	0.064584
SMO	0.480193
CISH	0.048086
ZNF224	0.082563
TMEM128	0.745951
NMT2	0.085718
PDK2	0.066859
HIST1H4J	0.049774
PARD3B	0.123213
BVES	0.072164
CTSL1	0.127239
C3ORF26	0.099825
SLC35B2	0.044457
DLAT	0.083553
LNX2	0.053357
POLR1D	0.032375
TERF1	0.072583
C19ORF26	0.122924
CCR10	0.04699
POLG2	0.138358
MAGEH1	0.097758
LIG4	0.080622
HDAC6	0.074509
MMD	0.042155
CRYZL1	0.038522
ITSN1	0.08529
ZFYVE9	0.068784
PPOX	0.059749
INO80B	0.060888
WBP1	0.076015
ZNF280D	0.057347
RIN1	0.175287
HBXIP	0.050039
GDF6	0.128743
EDEM2	0.114646
SLU7	0.051972
PTTG1	0.039755
ABHD8	0.082736
MEOX2	0.148133
PRDM15	0.086857
RILPL2	0.03625
RASD1	0.047705
RNF169	0.172619
DNAJC7	0.095079
NKIRAS2	0.047874
DZIP1L	0.134327
ZNF77	0.031058
SULF2	0.124515
G6PC3	0.086383
ACP6	0.185406
UNKL	0.101975
C17ORF42	0.173906
SC65	0
TOMM5	0.033269
ZBTB12	0.057854
COQ5	0.1222
IDH3A	0.042437
MYL6B	0.03625
MLPH	0.404239
ABHD4	0.115755
RBM17	0.055492
BFAR	0.040744
PARN	0.637323
DECR1	0.136445
USP28	0.102103
ZNF165	0.079028
SDF2L1	0.039755
ANKS1A	0.057106
TAF11	0.09655
AIG1	0.064584
TIMM22	0.101746
FGFBP3	0.03793
OLFML3	0.093264
NDUFB2	0.042437
HADHB	0.222381
HADHA	0.060351
SLC36A4	0.03709
IKBIP	0.068642
APAF1	0.06942
COASY	0.07576
EYA3	0.044109
PPIL1	0.173354
GM2A	0.092424
HOMER3	0.05332
WTIP	0.0347
COX16	0.05755
ATG4C	0.096542
NUDT11	0.023427
MRPS5	0.087941
PLEKHA3	0.033269
FKBP7	0.032375
GOSR2	0.131811
ZNF331	0.097787
KDELC2	0.06685
MCAM	0.13679
UFSP2	0.079515
RAB4A	0.163653
HMGB3	0.063311
DDX42	0.056483
CCDC47	0.053483
MOCOS	0.109202
FAM65B	0.10341
SCRIB	0.07715
NFX1	0.076182
CCL27	0.03625
ISOC1	0.069232
MCC	0.191083
S1PR3	0.090112
MFAP2	0.055901
PAM	0.085519
EBPL	0.276262
EREG	0.067869
CEP55	0.076818
ENTPD6	0.063751
GPATCH3	0.058348
ZNF550	0.108932
CBARA1	0.046222
ZNF512	0.151339
TRPC1	0.0873
TMEM205	0.157517
ZNF12	0.060414
AK5	0.094098
CENPJ	0.077972
TTLL12	0.056256
DCTD	0.143694
ZNF780A	0.286273
RUFY1	0.065698
FKBP9	0.112925
C14ORF169	0.0
TMEM98	0.047995
SERPINB6	0.0623
BC043620	0
DEPDC1	0.127504
ATRIP	0.036678
ICT1	0.056297
INPP4A	0.117483
TBX20	0.078173
NAA40	0.133332
LAMTOR1	0.022105
TROAP	0.169187
PKN1	0.06236
TMEM194B	0.011573
PDCD6	0.080835
SERTAD4	0.070318
SYNC	0.045569
ACTR8	0.059813
PTS	0.063809
B4GALT6	0.073143
VTA1	0.04819
TECPR1	0.051189
ARVCF	0.084209
MYLK	0.130599
UBOX5	0.048308
HOXA13	0.078504
CST3	0.0
ABCA5	0.066351
TMEM39B	0.084368
NLRC5	0.058892
MLF2	0.083679
NAPG	0.179963
ZNF234	0.074888
SEMA6C	0.094298
LIN9	0.142469
ZNF44	0.045303
DHX36	0.066298
BBS4	0.069199
PAQR8	0.092621
EAPP	0.053946
XPA	0.039755
PPARD	0.128347
THY1	0.057605
SH2D5	0.156026
NIPA1	0.016493
SDAD1	0.070465
ACSS1	0.059747
CDK2AP2	0.057923
PITPNM1	0.087153
KIT	2.555365
CABIN1	0.059318
KLHL20	0.07731
SF3B2	0.072092
TCP1	0.019527
MRPL18	0.073061
PRKRIP1	0.073146
HIBADH	0.040529
ZNF397	0.023903
HDDC3	0.031945
UNC45A	0.045713
FBXO3	0.10917
COX5A	0.149459
NCOA6	0.090607
TUBE1	0.059729
SYNRG	0.008424
CKAP5	0.074693
CDHR4	0.129975
EXOSC3	0.016493
ZNF785	0.048331
THADA	0.063008
WNT9A	0.132002
ZNF688	0.106454
CAPN5	0.093301
SGCB	0.040529
TAF7	0.095893
ZNF614	0.148627
DNAJC2	0.041551
PSMC2	0.18545
NDUFB6	0.018896
PITX1	0.036795
IAH1	0.11278
FAM171B	0.08795
CPT1C	0.106085
DOLPP1	0.108334
VPS11	0.018021
ARL2BP	0.042437
ZNF337	0.083336
GBF1	0.102624
GNL2	0.087085
ZNF575	0.05918
NRG2	0.149152
DHX57	0.072374
STK11IP	0.099255
INHBC	0.140395
CH25H	0.081768
HIATL2	0.028513
ATP10A	0.190016
PISD	0.085892
KIAA0564	0.060751
PRICKLE3	0.060946
SLC2A11	0.058926
GLTSCR2	0.114846
CDADC1	0.100426
RWDD3	0.125071
OLA1	0.04819
TRAPPC9	0.101985
ZNF643	0.157099
TSPYL2	0.069382
HOXC8	0.110248
F11R	0.048213
TNFSF9	0.047275
C14ORF118	0.078504
DCAF4	0.050768
DNAJB11	0.051573
TBCCD1	0.088886
CENPV	0.476113
ZNF432	0.236079
C20ORF3	0.03793
C14ORF166	0.030717
HAT1	0.048541
ZFP62	0.041127
RBM34	0.081213
RPE	0.07041
PRR13	0.033269
ODF2	0.119285
RNGTT	0.080106
JKAMP	0.04025
C14ORF149	0.052747
CDH6	0.191511
MLLT1	0.067484
FAM58A	0.028513
IFT88	0.074067
AGRN	0.074836
PSMD1	0.058961
CARS2	0.181579
PGGT1B	0.059452
CTBS	0.028513
RNF170	0.037355
HOOK3	0.057053
ZNF75D	0.057208
ZNF449	0.07963
ZNF613	0.069315
NEIL1	0.160828
ECE1	0.096929
ZNF26	0.059639
RHBDF2	0.057984
PRPF8	0.110002
NBPF15	0.01092
HIST1H3D	0.187059
HIST1H2BF	0.226014
HIST1H2AD	0.115952
SUCLG2	0.136612
CTNNBIP1	0.0
ZC3H3	0.093806
C10ORF57	0.0
WBP5	0.054501
HSPA12A	0.10118
ZNF552	0.121599
N4BP2L1	0.066194
SMARCD1	0.080086
GAS2L3	0.079179
C11ORF83	0.055901
POP4	0.135075
SLC25A23	0.072332
DNTTIP2	0.034499
HAUS3	0.024297
BLOC1S1	0.06953
XPO4	0.068218
WDTC1	0.0786
GABARAPL2	0.033269
MRPL35	0.088217
MXD3	0.024913
EMILIN1	0.119127
CEBPA	0.292561
RNF207	0.161524
RTTN	0.077929
RPP14	0.043891
CTSZ	0.077376
GALNT5	0.100149
ISOC2	0.031525
RNPEP	0.069712
GPS2	0.073061
BLOC1S2	0.06871
GPX4	0.025727
INTS1	0.05207
EXO1	0.142653
TEX264	0.111587
POMT1	0.067357
KCNG1	0.103867
EIF2C4	0.072213
DKK2	0.294594
ZNF790	0.0655
CNOT10	0.136392
PRSS12	0.056638
ZNF826	0
OSBPL1A	0.08785
C14ORF132	0.0
ABLIM3	0.175114
PGF	0.208334
CUTA	0.050484
NDUFA10	0.098885
TOMM34	0.060192
NDUFS5	0.018896
GABRE	0.170512
VPS72	0.093452
PLIN3	0.128336
FNTB	0.045201
BMS1	0.159326
ZNF467	0.066755
NDUFB8	0.066169
C12ORF11	0.080471
FGFR1OP2	0.116305
NCOA4	0.077251
ZNF696	0.041768
AP3D1	0.075692
HIST1H1B	0.14389
LYPLA1	0.075167
RBM38	0.042155
PIGK	0.060888
DFNA5	0.075931
SNRPC	0.156044
OVOL1	0.068359
C20ORF30	0.203292
DOK1	0.062912
CYB5B	0.066221
PRDX2	0.027206
HGF	0.204442
MRPS9	0.039755
ARMCX1	0.086913
ZNF33A	0.081355
PSMB4	0.094448
AKAP17A	0.096202
CALHM2	0.028929
COX7A2	0.249171
KIF2C	0.128736
TSPAN31	0.090596
BCDIN3D	0.061598
SFT2D3	0.03625
AP1M1	0.089826
TCHP	0.047797
CDKL3	0.119938
SPECC1L	0.119272
CXADR	0.060808
WNT2	0.109918
ILVBL	0.048442
HEXB	0.205408
DGAT1	0.091577
ATG12	0.017224
AP3S1	0.267455
TRAF2	0.090888
PIGB	0.079382
HIATL1	0.060744
C7ORF50	0.099714
INSR	0.086751
KRR1	0.086213
ACP2	0.190356
ZCWPW1	0.088278
MEPCE	0.072218
CA12	0.056937
ETV7	0.059714
PDCL	0.160717
ACTL6A	0.100052
CHID1	0.045034
CHMP6	0.095961
MCTS1	0.058197
C2ORF18	0.053204
BDKRB2	0.131249
ZNF438	0.102413
CPT2	0.066071
ZNF765	0.11872
SLC16A13	0.106486
ZNF23	0.098927
ARPC1B	0.088963
ZMYM4	0.081939
NRBF2	0.051769
ATG14	0.079706
FAM110B	0.187649
PPP1CA	0.121476
SNF8	0.056117
MFN2	0.090701
ITM2C	0.078654
GYG1	0.022969
C22ORF32	0.033269
ERAP1	0.077115
FOXA1	0.501098
ZNF24	0.051531
MBTD1	0.041884
UTP18	0.047931
ATG5	0.100853
HPS6	0.033616
ROBO2	0.160815
TSHZ2	0.190294
GLYCTK	0.04253
ZNF347	0.08954
ZNF428	0.326721
PSEN1	0.080589
RNF24	0.063262
GPR173	0.079781
TMEM41A	0.043891
SGK3	0.073313
USP37	0.049401
RQCD1	0.574602
FAM40A	0.064548
AES	0.031945
SLC9A6	0.063262
KCNC3	0.058137
AGL	0.076704
AKR1B1	0.058117
CYLD	0.061713
ROGDI	0.040726
CHIC1	0.248457
HAS3	0.06097
MED27	0.026011
ST13	0.06458
XPNPEP3	0.046551
USP30	0.081941
RPS6KB2	0.113542
CENPH	0.579187
DDX11	0.449744
ZNF20	0.044787
CENPB	0.138756
SEL1L3	0.089735
ZNF823	0.040817
ZNF585B	0.114801
ZNF566	0.103039
ZNF75A	0.126468
SALL4	0.09714
MSRB2	0.052325
INCENP	0.063203
TRAP1	0.083547
SLC9A5	0.072035
PPP5C	0.049676
MAD1L1	0.117404
BBS9	0.113876
CSTB	0.054115
ATP6V0E2	0.016493
KIF18A	0.04769
METTL15	0.103342
POLR3H	0.070105
TUT1	0.097071
SLC30A4	0.056069
SDHAF1	0.0
CLINT1	0.094022
RFX1	0.064552
PMS2L3	0.059213
LRRC28	0.101971
TTC23	0.048398
SLC12A6	0.061554
RALGAPB	0.076822
CYP2R1	0.03585
LRRC34	0.124384
TMEM33	0.024148
POLR3B	0.123493
C19ORF12	0.092649
DIS3L	0.066087
ELOF1	0.052291
ZNF793	0.128584
CXCL2	0.03625
MAP1S	0.132502
SLC9A8	0.096705
ABHD10	0.028513
MAGT1	0.121679
BLMH	0.245469
RAVER2	0.028657
RHOJ	0.104305
B3GALTL	0.135744
ERBB3	0.795765
ST6GALNAC6	0.089427
EIF5B	0.078974
TXNDC9	0.088702
NDUFS2	0.087691
MRPS18A	0.071151
TSEN15	0.103271
AIDA	0.062363
BROX	0.095846
ENOSF1	0.074432
VPS36	0.091719
TMEM192	0.069663
APH1B	0.174306
LOC283922	0
C14ORF159	0.062684
KIFC1	0.074122
PHLPP2	0.107584
SBF1	0.114313
PAPOLG	0.068839
PHF20	0.118279
ZNF323	0.065541
RALGAPA2	0.085362
RPUSD2	0.083002
DCAKD	0.077797
ZNF513	0.148781
TPP1	0.067415
GNL3L	0.099482
ZBTB24	0.048768
ZNF480	0.101833
AKR1A1	0.029576
VAMP3	0.0
C1ORF43	0.092469
UBAP2L	0.109956
UQCRQ	0.033269
SFN	0.023427
ELOVL4	0.072426
ZNF304	0.074575
RAD54B	0.052133
GOT2	0.164037
ZNF215	0.10834
MRPS24	0.100134
TRIM65	0.129589
DHX29	0.076469
SKIV2L2	0.097201
CASP2	0.149855
SRC	0.098239
ERMAP	0.099593
OSGEPL1	0.02545
ZFAT	0.166219
MND1	0.026595
GRM8	0.16318
EPB41L5	0.071221
MRS2	0.043891
CEP164	0.0847
PTTG3	0
SCN9A	0.141431
OPHN1	0.075567
SNRPB2	0.017224
MRGPRF	0.134039
DLD	0.044512
SPATA7	0.099725
NUDC	0.05635
EPHB6	0.049232
HOXC6	0.063815
PPIF	0.121417
FAM134A	0.043088
CNPPD1	0.076182
IFIH1	0.226589
IMAA	0
DENR	0.052291
VHL	0.714092
DOPEY2	0.074246
LYSMD4	0.156399
EMILIN2	0.123801
USP27X	0.044403
DAGLB	0.076624
ZNF507	0.076991
NT5DC1	0.052899
MPHOSPH6	0.017224
ABCF3	0.097626
CDS1	0.128998
PANK4	0.116432
PELP1	0.056041
EDC4	0.160696
HYAL3	0.159612
MRPS33	0.050484
WDYHV1	0.154467
FMNL1	0.060923
INADL	0.095514
LSM4	0.043891
PFDN1	0.041738
NBEA	0.108769
LRFN4	0.07917
DHRS7	0.056297
P2RY1	0.102456
RABAC1	0.030717
SH3BP1	0.028513
ZER1	0.070273
ZDHHC20	0.063688
PITX3	0.043891
ZNF571	0.071592
SURF6	0.18397
CHFR	0.0915
MTCH2	0.169162
ZNF846	0.052192
GGN	0.1202
ALDH4A1	0.126407
INPP5F	0.056327
MYST1	0.247976
GGCX	0.200486
VANGL1	0.070243
TMEM55B	0.037583
SLC25A19	0.066693
DPM2	0.028513
TRAF3	0.116038
SCCPDH	0.064727
PCK2	0.081408
POLD2	0.029797
SYAP1	0.062335
TRPC3	0.158764
GLE1	0.089537
BTBD19	0.054115
PAN2	0.056346
SPAG16	0.140912
ZNF764	0.138734
GNG2	0.252466
NFKBID	0.136822
RPL17	0.099626
PPID	0.032594
RINT1	0.076889
GRHPR	0.110681
NHEDC2	0.12579
TAF2	0.081889
GLT25D1	0.031525
RBM23	0.069851
GK	0.061817
GLYR1	0.083775
UBN1	0.065062
TRMT12	0.197953
PSMB8	0.085402
TRIM22	0.098824
SPIN4	0.058197
CCNC	0.041329
EYA4	0.118332
HEATR1	0.08397
GPC4	0.11926
TBC1D7	0.22684
SLC50A1	0.171802
PRKAB1	0.061186
AUH	0.064413
VAT1	0.071004
RCAN3	0.096822
LIMA1	0.046667
GADD45GIP1	0.060836
EDC3	0.030327
TM2D1	0.100378
INTS3	0.106596
ACTR3B	0.230277
ZFYVE1	0.063318
PSMB5	0.07053
TSPAN12	0.102218
TTC16	0.088178
DGKD	0.087332
KCNK1	0.092469
ATAD5	0.079371
SNRNP48	0.069358
ST7L	0.053186
CAPZA1	0.074093
ZNF223	0.057593
FADS3	0.064535
YIPF6	0.080083
TAF1A	0.066693
TERF2	0.015203
ZNF180	0.076453
DEDD2	0.067491
ZNF526	0.070322
PRICKLE2	0.103775
RNF141	0.035203
IKBKB	0.193679
NOP2	0.055818
POLR2K	0.026595
ZDHHC18	0.094651
SPAG6	0.072803
DUSP18	0.108095
SLC35A3	0.045155
LAMTOR3	0.030717
KCTD6	0.048728
PEX6	0.176177
LYPD6	0.047705
GDI1	0.085849
PNPLA3	0.150631
GFI1	0.129721
SLC25A44	0.082395
WNK4	0.08095
AP4S1	0.054115
STRN3	0.164394
MANSC1	0.043232
SLC9A7	0.086791
ZNF628	0.152074
NETO1	0.177037
OSTM1	0.105673
KCNK2	0.124793
SUCLA2	0.060467
DYM	0.080826
CD58	0.263794
STK3	0.061315
FAM171A1	0.131125
DIXDC1	0.044027
BAGE	0
CTTNBP2	0.101682
AQP11	0.029576
BIN3	0.028513
DTNB	0.072321
SENP7	0.137289
RG9MTD1	0.02545
PM20D2	0.042437
NDUFA5	0.107195
IL1RAPL1	0.097421
HAUS6	0.035294
VAX2	0.133804
SNCAIP	0.160911
ZNF259	0.039755
NDUFS8	0.060192
VSIG10	0.04185
DDX52	0.022747
ZNF470	0.131141
EIF3H	0.060896
RASGEF1B	0.098468
CRYL1	0.0632
TESK2	0.0579
PAK1	0.08939
NDUFS6	0.020922
MRPL36	0.088999
SLC35A1	0.018448
POC1A	0.056145
HMGN3	0.023427
NUDT16L1	0.243871
DPM3	0.0
NTPCR	0.121172
ASMTL	0.063083
PRDM2	0.082058
ZCCHC24	0.056226
HDDC2	0.067197
ZNF808	0.066716
ZNF446	0.059086
METTL14	0.294521
RPS15	0.390312
EVC2	0.136846
POLD1	0.132052
NKAP	0.139814
ATP7A	0.085951
PHACTR4	0.066545
SLC22A5	0.078413
HMOX1	0.095862
VBP1	0.038283
RAET1G	0.093187
MAGIX	0.077792
LMNB2	0.04599
LPHN1	0.069395
PRPF40B	0.070145
RASGRF2	0.153271
MERTK	0.087882
MFSD2A	0.05761
HIST1H4K	0.21492
TSPAN13	0.041738
ANKRD36	0.311555
ZSCAN12	0.048308
RNF208	0.085054
HINT3	0.043891
TIMM10	0.0
CLCN2	0.133098
POLR2H	0.081266
CENPA	0.134916
TMEM25	0.108537
DNM1L	0.083896
CHCHD2	0.045425
RAB40B	0.122258
CPPED1	0.09816
MTO1	0.13276
IFT74	0.077479
LYRM7	0.0
AMBRA1	0.09352
MFSD5	0.074105
NPLOC4	0.095136
CRLF3	0.072306
AMZ2	0.19064
ME1	0.080944
ZNF546	0.065657
XKR8	0.0
MAGOH	0.203476
NANS	0.063275
ZSCAN2	0.049379
CUL2	0.06938
SMCR7	0.065709
FLII	0.065287
FKBP10	0.341972
TNFRSF10A	0.089806
GHR	0.121152
NFU1	0.090112
QARS	0.060414
PLEKHM1P	0
EVC	0.088562
TAF4B	0.120378
ZWILCH	0.061273
RPL4	0.056284
DCAF13	0.105488
NEK4	0.06909
SLC25A32	0.235764
GPR157	0.048728
FAM160A2	0.084697
TGFB1I1	0.066281
FUNDC2	0.057544
PYROXD1	0.022421
CYP2U1	0.077514
ARRB2	0.094424
SSB	0.018896
OPA3	0.076258
C20ORF108	0.023427
ADNP2	0.05729
CREBL2	0.088702
ACER2	0.127865
C16ORF45	0.047275
ERO1LB	0.091583
RPL15	0.063809
NKIRAS1	0.016493
SHOX2	0.090448
SNRNP27	0.182724
TMEM110	0.039755
ZNF579	0.049819
ZNF461	0.083957
EXOC2	0.071625
DHX35	0.068439
EIF2S1	0.113586
ATP6V1D	0.049601
EPS15L1	0.079645
COG7	0.061523
TRAF3IP1	0.117223
SCAMP2	0.072332
VDAC3	0.117535
RPL38	0.056633
ITFG2	0.077107
TPK1	0.062626
LUC7L	0.175469
GTPBP8	0.0347
LACTB	0.110869
CTPS2	0.077759
SLC35A5	0.192075
ATG3	0.068739
C7ORF44	0.043891
NDUFB4	0.077664
ZNF121	0.008517
PIGU	0.060925
TSC22D3	0.140379
POLR3A	0.074699
YIF1A	0.047275
DPP4	0.065183
TBC1D19	0.082816
COQ2	0.020922
RNF14	0.09826
ANO6	0.060186
PLEKHA9	0
ADRBK2	0.101723
ACTR5	0.063532
PPIH	0.054115
NRAS	3.178052
HAX1	0.048086
ULK2	0.075353
BAX	0.088349
TTC15	0.084863
TSSC1	0.047204
ADAMTS7	0.174354
NUDT15	0.081885
DCP1B	0.366609
SMARCB1	0.499229
MRI1	0.022421
EFCAB6	0.132216
MOSPD3	0.062363
PDE1C	0.168988
RASL11A	0.05741
ACN9	0.041059
FN3KRP	0.053971
WDR19	0.057233
GPATCH1	0.06216
PHF11	0.0
TBC1D8B	0.100705
ZNF430	0.248341
C9ORF23	0.059305
NCS1	0.05635
KREMEN1	0.074
PACRGL	0.123175
MCM6	0.042983
CRY2	0.130569
PPP1R13B	0.054687
CACNB4	0.109648
NAA20	0.0347
TBC1D24	0.036663
SELS	0
HIST1H4B	0.160255
WIPF2	0.137617
LSM10	0.148249
RPF1	0.035719
SNX6	0.067352
TBC1D1	0.077734
ERI1	0.023427
SSH3	0.124525
KHNYN	0.130304
NQO2	0.037073
FAM173A	0.056751
RBM42	0.106253
ELP3	0.15188
KBTBD8	0.076581
TBC1D17	0.048875
AKT1S1	0.052023
NDE1	0.070215
PID1	0.170304
TMEM164	0.061095
SYS1	0.118699
DUSP11	0.083002
HS3ST1	0.168358
ZNF711	0.119188
ZIC3	0.165827
PEG10	0.134493
MRPS31	0.046133
LIAS	0.074093
RPL9	0.05489
UCHL3	0.038522
SFI1	0.067985
COMMD6	0.10644
CYTH2	0.112202
PIGS	0.051029
FAM32A	0.024913
FLOT1	0.025727
TFPI2	0.261179
TSEN2	0.041059
C10ORF26	0.051927
CANT1	0.143393
GPR63	0.078336
ATP6AP2	0.061053
PHF14	0.095682
RRP1	0.115569
NEIL2	0.060808
CENPW	0.051383
COX6A1	0.133767
RFX5	0.074466
CTU1	0.074088
FBXO22	0.088243
DHDDS	0.104464
SPTLC1	0.099532
IP6K1	0.055492
ACY1	0.012507
KIAA1826	0.095663
LMOD1	0.067083
TMEM219	0.069065
ZNF317	0.074961
BTRC	0.158958
SYDE1	0.094474
ZNF195	0.057002
PVR	0.106036
HOXB6	0.065541
IRAK1	0.050604
ZNF625	0.099908
SEPX1	0.0
PLCXD2	0.143212
PLRG1	0.065648
C2ORF3	0.225224
KIAA1609	0.127488
XRCC2	0.076897
ZNF219	0.108946
TLR4	0.170262
COPG2	0.029947
TXNDC15	0.049379
MTX3	0.064584
EFS	0.070997
NGFRAP1	0.139065
PARVA	0.088441
MOBKL2C	0.069065
TAF5	0.048155
MRPL9	0.029213
SLC25A13	0.13491
COX19	0.026595
FAM82B	0.041059
MTOR	0.327945
TDRKH	0.129615
ZNF768	0.066461
PPFIBP2	0.046086
COG2	0.095226
EPN2	0.082925
RPS27	0.054115
USP14	0.051926
AGTRAP	0.134528
LTBP3	0.136047
SGCE	0.078379
CLSTN3	0.103619
SGOL2	0.067437
URGCP	0.076012
PTPMT1	0.046222
UBA3	0.069065
GRASP	0.029213
GPR114	0.045582
ATP5G3	0.03793
STOML2	0.099141
TSPAN9	0.07781
HIST1H2BO	0.07196
HIST1H2AM	0.062346
AURKB	0.100816
EDF1	0.074865
RPS19BP1	0.026595
LSM12	0.020922
PCID2	0.048398
CUL4A	0.042983
C4ORF52	0.0
GFER	0.03625
LMBRD1	0.102113
TRMT11	0.090328
FBXL4	0.059069
HIRA	0.081228
MRPL40	0.035203
NCAM1	0.107409
PLEKHM1	0.056875
ADC	0.12583
ZNF205	0.115302
A4GALT	0.090365
DPY19L2	0.271306
VPS33B	0.05429
C6ORF165	0.102718
FAM73B	0.088018
PHB	0.076392
DSN1	0.098958
ZSCAN23	0.06159
MEX3D	0.088702
ZNF669	0.120532
RAD54L	0.083538
RNFT1	0.05306
CDK5R1	0.056334
HAGHL	0.088773
PARP6	0.086741
PITPNA	0.037355
ACOT7L	0
N4BP2	0.069613
ZKSCAN4	0.04199
C17ORF57	0.119081
ZNF132	0.061584
GUCY1A3	0.115597
TMEM222	0.061598
SLC25A5	0.374629
SNRPD1	0.048728
ZNF266	0.06658
ARMCX3	0.054921
DUSP3	0.076965
TMEM179B	0.024148
E2F6	0.072789
TONSL	0.100211
DNA2	0.101252
MMGT1	0.084078
PLCB1	0.138198
ZNF548	0.05674
DPY19L2P2	0
ATP6V1F	0.083002
TRPT1	0.184748
USP39	0.046785
SH3BGR	0.124879
RANBP6	0.153482
RAD52	0.054178
SNTA1	0.061838
SLC25A17	0.069235
WASF1	0.068952
CDC40	0.042966
RPS6KA4	0.122847
ASPDH	0.099633
PIGN	0.033674
KIAA1468	0.098986
NUDCD2	0.066221
HMMR	0.299958
C7ORF63	0.088836
SLIT3	0.114762
C9ORF156	0.065501
ALG13	0.087023
PHLDA3	0.154369
STAMBP	0.084085
AHCY	0.079214
FUK	0.116702
TICAM1	0.086902
FOXO4	0.09334
DDX60L	0.058845
FAM98B	0.106308
ANKIB1	0.067021
KRIT1	0.128293
RFT1	0.050558
VSIG10L	0.069087
NDUFV3	0.090674
UPRT	0.09333
HEATR3	0.060068
ZNF175	0.056342
SNRPE	0.041738
IKBKE	0.134347
FARP2	0.061647
HIST1H3J	0.105179
RHBDD2	0.052937
ZNF573	0.145852
NOB1	0.021696
HYI	0.030717
GTPBP3	0.121846
ANO8	0.075951
IDUA	0.16377
SHFM1	0.12415
MLST8	0.080411
FANCA	0.161634
DLL4	0.083474
IPO11	0.06695
PTPLA	0.045954
TECR	0.209775
FARSA	0.126676
APBA1	0.091865
COPS7B	0.057544
PLK1S1	0.04635
CDC16	0.05635
PPARGC1A	0.117525
PRR3	0.039755
GNL1	0.055738
PFDN4	0.023427
SH3RF2	0.202027
C17ORF81	0.029576
CTDNEP1	0.030717
TYK2	0.588322
CDAN1	0.079905
TSLP	0.091842
TIAM1	0.097116
CAP2	0.101481
MBNL1	0.133616
MLKL	0.06277
FTSJD1	0.103662
MOXD1	0.081358
GRIA3	0.129842
ZNF780B	0.072584
UNC13B	0.131455
ZNF253	0.213763
TTLL11	0.05457
DHRS12	0.027845
KIAA0195	0.064115
MARS	0.080734
COL4A3BP	0.102363
POLK	0.011808
LMO3	0.079204
TMEM184C	0.024148
TELO2	0.176496
ADPRHL2	0.093142
POMGNT1	0.065316
ZNF193	0.059452
ANGPTL2	0.045499
TAB3	0.146494
RIF1	0.042533
ZNF276	0.116857
C16ORF7	0.076377
FAM192A	0.076015
RSPRY1	0.104057
SCN8A	0.064028
ZNF45	0.055345
DNPEP	0.05677
MMACHC	0.091718
TP53I13	0.100564
C4ORF32	0.163746
LTN1	0.068595
ZNF3	0.082981
PRKAG1	0.127108
SHISA5	0.062579
MEIG1	0.028513
PSMB7	0.03625
B4GALT7	0.071059
PPP2R5D	0.093684
TXN2	0.047454
ARFGAP3	0.064896
GATAD1	0.064548
TMEM48	0.056182
SDHC	0.042793
RELT	0.076412
ZNF70	0.121955
ZNF498	0.07687
ZFP28	0.093527
ZFAND2B	0.039007
B3GNT1	0.069065
BRMS1	0.092725
PFKFB4	0.044512
BRCA2	0.144257
AQR	0.079052
KIF3C	0.088534
ZNF594	0.047732
PTGR2	0.03625
YKT6	0.028513
TUBGCP5	0.017224
ICMT	0.030717
C11ORF75	0.0
CCT7	0.070933
PRADC1	0.063061
TCERG1	0.075325
DNAJC19	0.031945
ANO10	0.064521
PPP2R5C	0.084655
COX7B	0.251667
TLE2	0.037233
RANGRF	0.091595
CORIN	0.091546
TTC30B	0.048768
PIN4	0.0
LYPD3	0.084003
LIMCH1	0.114575
NDC80	0.058147
METTL4	0.07229
TMEM223	0.109567
CHD8	0.140242
CLSPN	0.069911
IFT52	0.065896
MTIF2	0.065065
ZNF596	0.012116
HDHD1A	0
ZNF646	0.107949
ZNF668	0.246389
RCAN1	0.14409
CMC1	0.0
ADCY3	0.082635
ENDOD1	0.028109
RABGAP1	0.069893
ITFG3	0.089084
NOD1	0.113845
C1QBP	0.042793
C5ORF42	0.095613
B9D2	0.065205
PEAR1	0.116342
ETFA	0.027845
GPN2	0.019365
SLC16A14	0.221158
EIF2AK4	0.08233
CXCR7	0.128283
ZFAND1	0.042155
TTC33	0.081922
EIF2A	0.170382
SERP1	0.134362
RFC3	0.068868
PCMTD2	0.134863
FLAD1	0.11507
APBB1	0.088229
GON4L	0.052535
NFATC2IP	0.023427
COX17	0.0
NUP107	0.080854
CLCC1	0.071548
OBFC2B	0.052291
RNF41	0.080919
GALNTL4	0.089983
SH3D19	0.060152
CXCL1	0.043891
DNAJC4	0.052747
SERPINB9	0.034499
CCNB2	0.086542
RTKN2	0.083105
DBF4	0.089902
SLC25A40	0.075024
ATG7	0.04905
YIPF4	0.171496
MLX	0.157404
CRCP	0.039755
MKL2	0.047669
ANGPTL4	0.289505
KIAA1009	0.055272
NOL9	0.091238
ZNF761	0.194485
MYO1D	0.109071
PFN4	0.144714
PAQR3	0.050656
GEMIN8	0.065337
PAQR4	0.048728
COQ6	0.075136
ZNF101	0.083264
BUB1B	0.072204
LCLAT1	0.125971
ZNF226	0.010621
C16ORF62	0.102876
ANAPC1	0.194337
PLBD2	0.080326
BRK1	0.0
MADCAM1	0.633706
ALKBH3	0.163181
DISC1	0.155594
FBXO10	0.078135
MED30	0.038824
OVCA2	0.0
