Gene	TSG_probability	Rank_DORGE_TSG	OG_probability	Rank_DORGE_OG	pval_TSG_TUSON	qval_TSG_TUSON	pval_OG_TUSON	qval_OG_TUSON	Rank_TUSON_TSG	Rank_TUSON_OG	category_TSG	category_OG	by	pval_TSG_2020plus	qval_TSG_2020plus	pval_OG_2020plus	qval_OG_2020plus	Rank_2020plus_TSG	Rank_2020plus_OG
SLC4A2	0.00219526743479124	15228	0.0673653921290729	4059	0.405892982779942	0.95838100960166	0.0611693548848287	0.183830699779142	8663	7077	Other	Other	Gene	0.098490874	0.912108981	0.038142196	0.665384615	1929	1006
GLCE	0.0535245125048391	5257	0.0188098407588411	7394	0.548108866419454	0.95838100960166	0.16045164920289	0.364246639653343	10003	9354	Other	Other	Gene	0.300479433	0.930786542	0.406140016	0.901087876	5523	8022
ZNF76	0.0007744378980697	17583	0.0061077292281306	10972	0.94843999387185	0.95838100960166	0.743291100678355	0.871076833545349	16690	17948	Other	Other	Gene	0.510721874	0.934650967	0.500550259	0.920048067	9613	9681
TBCA	0.0552676366061535	5172	0.00602488311133587	11020	0.706259307405678	0.95838100960166	0.889936540039074	0.912470281448168	11577	18939	Other	Other	Gene	0.35977118	0.930786542	0.35171343	0.880723056	6713	7120
TRIM38	0.167347175957909	2832	0.00348080502735973	12835	0.94494500747411	0.95838100960166	0.729223157562656	0.862965223619056	16140	17777	Other	Other	Gene	0.437624625	0.930786542	0.280272405	0.852427506	8294	5889
MRPL20	0.0349897668110616	6453	0.0232632857752095	6763	0.175465942446546	0.58709132364241	0.0951129061366962	0.254086221597628	6321	7954	Other	Other	Gene	0.650809044	0.937424468	0.22961046	0.829625984	12175	4942
SLCO5A1	0.00469639164754393	12872	0.00385518008297088	12509	0.00382255654527868	0.0321955958195033	0.000422731611711223	0.00384794752335084	2519	2337	Other	Other	Gene	0.809773904	0.946505906	0.61928085	0.95263996	14945	11624
INTS12	0.137693040898785	3180	0.10108000270218	3250	0.0806615918722363	0.34225763863112	0.0262142687357969	0.0988847322519199	4995	5638	Other	Other	Gene	0.025704168	0.713239437	0.010318714	0.52320442	652	352
TEF	0.0295880044548109	6946	0.141744255589351	2668	0.934036279162058	0.95838100960166	0.705259949641461	0.848246557933617	15105	17506	Other	Other	Gene	0.699705802	0.94123122	0.720828112	0.971474473	13049	13127
IMPA2	0.00223057872047019	15193	0.00640444523610997	10799	0.954250279184651	0.95838100960166	0.78894698248926	0.903901889879221	17902	18353	Other	Other	Gene	0.251876873	0.930786542	0.35171343	0.880723056	4594	7121
SFT2D2	0.157297222978762	2950	0.0114348054832667	8832	0.936495323501461	0.95838100960166	0.568064096098201	0.769981414907231	15270	15566	Other	Other	Gene	0.544903296	0.934650967	0.58233179	0.934572003	10214	11043
RBM24	0.00873161678648084	10806	0.0253985881646988	6491	0.950258691745345	0.95838100960166	0.401567674205747	0.647032557251437	17045	13126	Other	Other	Gene	0.867376737	0.949922434	0.123317897	0.764179608	16047	2891
MIF	0.00129378278548478	16618	0.00353105660144353	12781	0.609737310634147	0.95838100960166	0.318156614221124	0.563604563341751	10591	11958	Other	Other	Gene	0.200730046	0.930786542	0.331980387	0.870127088	3694	6761
ZKSCAN5	0.0840726506285455	4223	0.000989724450410271	16267	0.835235925221878	0.95838100960166	0.545822539291866	0.757518072799947	13154	15208	Other	Other	Gene	0.285502588	0.930786542	0.500550259	0.920048067	5191	9682
PEX1	0.00747305032845312	11303	0.0100043538741723	9280	0.295221330890385	0.822194689136947	0.147435376375176	0.345349503934615	7578	9069	Other	Other	Gene	0.026248978	0.713239437	0.35171343	0.880723056	662	7122
MAML1	0.0162134355754798	8717	0.813897543628893	491	0.95838100960166	0.95838100960166	0.00783619182519258	0.0395784336579826	18742	4212	Other	Other	Gene	0.300479433	0.930786542	0.110798148	0.755460624	5524	2636
SRRT	0.0470466411017422	5580	0.0636071276753781	4172	0.0186681161741954	0.11401515837086	0.00377575150516558	0.0224616105035102	3477	3576	Other	Other	Gene	0.034611822	0.7617506	0.037068919	0.665384615	819	985
NADK	0.00855506940724827	10879	0.0164895818269482	7736	0.796913028307404	0.95838100960166	0.272704647906894	0.513328842526278	12640	11257	Other	Other	Gene	0.251876873	0.930786542	0.062925633	0.703839122	4595	1600
CXXC4	0.00413592529070293	13285	0.010760977450786	9036	0.95838100960166	0.95838100960166	0.796676156255193	0.909091368407513	18743	18427	Other	Other	Gene	0.239515118	0.930786542	0.720828112	0.971474473	4362	13128
ABL2	0.385285245541737	1550	0.351286977169175	1415	5.24928909868406e-12	3.03135776162218e-10	1.64168827115897e-09	6.16489551870373e-08	368	566	Other	Core CGC-OG	Gene	0.122484337	0.925947282	0.014257695	0.554244306	2359	461
CAMLG	0.0292921166863809	6979	0.0162358260907374	7792	0.944183862712919	0.95838100960166	0.608885747276261	0.792109059139795	16018	16209	Other	Other	Gene	0.838267502	0.946505906	0.372105693	0.886207344	15381	7473
RMI1	0.174394661162246	2769	0.0379933319808067	5425	0.178867608824862	0.593967566845721	0.0848249717482544	0.233471366957318	6369	7722	Other	Other	Gene	0.341340234	0.930786542	0.531609916	0.927449862	6295	10198
HNRNPK	0.913777653431793	299	0.239918060577762	1861	0.500452210143941	0.95838100960166	0.0999426643949838	0.263418448707505	9561	8061	Other	Other	Gene	0.159302642	0.930786542	0.034279488	0.664413939	2957	920
XAB2	0.0525624122803842	5293	0.185323852244646	2198	0.143494964099696	0.513321561720727	0.00273235698380219	0.0173750507215281	5920	3347	Other	Other	Gene	0.245562517	0.930786542	0.457455734	0.910299219	4474	8937
GPR125	0.287909208324677	1976	0.0269028630460547	6321	2.82347364093597e-05	0.000474324793981145	5.81656819696699e-06	9.77486212217425e-05	1264	1266	Other	Other	Gene	0.838267502	0.946505906	0.457455734	0.910299219	15382	8938
AGA	0.00902145434614066	10690	0.000144872042112593	18779	0.297463173863243	0.825129233513647	0.154392261744599	0.355509842307946	7606	9222	Other	Other	Gene	0.047845274	0.824600939	0.515587034	0.922108545	1048	9929
EFNA1	0.00430141121850207	13162	0.10978650754764	3094	0.378459366609516	0.952215906070134	0.0597246802033629	0.180649142718731	8378	7032	Other	Other	Gene	0.753685644	0.946505906	0.638670662	0.953926276	13992	11825
MIER2	0.0432887946650877	5831	0.0214077364392306	7014	0.386268026296437	0.95838100960166	0.123793315410505	0.307377273139414	8451	8555	Other	Other	Gene	0.163339689	0.930786542	0.296366113	0.859483554	3022	6176
LEPROTL1	0.198049110402524	2550	0.0621644770135507	4209	0.839641428262088	0.95838100960166	0.622708239879967	0.799981303647568	13217	16409	CGC-TSG	Other	Gene	0.604990466	0.937424468	0.699013893	0.967820774	11234	12854
ALDH3A2	0.0583919024124446	5034	0.00332943008145382	12996	0.571084721557197	0.95838100960166	0.289963038800278	0.532290006357264	10246	11542	Other	Other	Gene	0.650809044	0.937424468	0.564728957	0.931237086	12176	10762
C15ORF24	0.0568442009500836	5108	0.0275669327483865	6261	0.16093529298798	0.555679814595816	0.110679093226838	0.283060585402146	6127	8308	Other	Other	Gene	NA	NA	NA	NA	18150	18150
MOBKL3	0.0306386631007006	6853	0.00117572823924487	15896	0.787914945747027	0.95838100960166	0.537084620482592	0.751904354369855	12529	15077	Other	Other	Gene	NA	NA	NA	NA	18151	18151
POLG	0.0161812294425475	8724	0.0135271549235449	8313	0.0264639608425678	0.149422507046708	0.00413835753116459	0.0241534540212507	3760	3645	CGC-TSG	Other	Gene	0.510721874	0.934650967	0.243154454	0.83704051	9614	5188
SCD5	0.0358957784117349	6374	0.0412401494774498	5235	0.103463240839699	0.407372172774048	0.0281976862456579	0.104661992023816	5381	5730	Other	Other	Gene	0.350286026	0.930786542	0.865360937	0.980384111	6497	15474
UFSP1	0.00146034144949358	16308	0.00564797096117111	11243	0.948768813586027	0.95838100960166	0.189571653612046	0.408294549794338	16756	9856	Other	Other	Gene	0.233816399	0.930786542	0.678539907	0.958193568	4254	12521
UNK	0.0722784053637654	4550	0.541619096502285	928	0.887831736664813	0.95838100960166	0.268198589594264	0.508184576352852	13951	11183	Other	Other	Gene	0.064353037	0.864411557	0.052388995	0.693200549	1331	1348
GUF1	0.0362042486442521	6349	0.000440829302249878	17692	0.316194091264027	0.85537385943191	0.202105633398388	0.426197138798875	7799	10066	Other	Other	Gene	0.195505312	0.930786542	0.720828112	0.971474473	3589	13129
FAM13B	0.767054012714979	591	0.221043051149656	1963	1.53522682528462e-05	0.000274447553858976	2.04605055433752e-06	3.86176184786344e-05	1188	1128	Other	Other	Gene	0.316311632	0.930786542	0.243154454	0.83704051	5875	5189
CROT	0.044183034116115	5774	0.000149246818090714	18759	0.788721870133879	0.95838100960166	0.49759940324175	0.725255051595903	12550	14493	Other	Other	Gene	0.17643149	0.930786542	0.58233179	0.934572003	3240	11044
KCTD20	0.0989252226480321	3845	0.0188030863640414	7395	0.296871702453235	0.824376645573059	0.128377756685373	0.314845968258575	7599	8661	Other	Other	Gene	0.155461727	0.930786542	0.485982021	0.916396137	2891	9434
ESCO1	0.10505773748218	3721	0.121821002153715	2898	0.665506538565114	0.95838100960166	0.304012216553136	0.548938408792349	11133	11734	Other	Other	Gene	0.092231	0.910650888	0.485982021	0.916396137	1819	9435
IGF2R	0.0711330648897859	4578	0.0892487377191167	3486	5.15826271334213e-05	0.000807029516583021	3.50065995093489e-05	0.000473021958747442	1358	1574	Other	Other	Gene	0.233816399	0.930786542	0.016333424	0.579883946	4255	508
IPO13	0.456102140469738	1336	0.0488204392695398	4776	0.9558430467995	0.95838100960166	0.653333125626088	0.81970534467536	18251	16796	Other	Other	Gene	0.437624625	0.930786542	0.039144647	0.665384615	8295	1045
CAPNS1	0.0684934630469507	4663	0.00882038848913829	9683	0.938216576731885	0.95838100960166	0.558284218634469	0.764407788657836	15400	15412	Other	Other	Gene	0.134442931	0.930786542	0.28828657	0.855675938	2549	6023
FAM123B	0.679344802711654	780	0.709961186124709	642	0.0012381061216878	0.0124977751525558	0.000164969520219959	0.0017555213742536	2103	1999	Other	Other	Gene	NA	NA	NA	NA	18152	18152
SGOL1	0.0848497055872867	4210	0.00376142147185985	12604	0.855992506189791	0.95838100960166	0.159661766820477	0.362926777432759	13446	9342	Other	Other	Gene	0.838267502	0.946505906	0.658567148	0.955799794	15383	12186
ZNF8	0.0431707044348425	5839	0.000507042982355919	17507	0.723569496588621	0.95838100960166	0.155807941181776	0.357423987365966	11777	9257	Other	Other	Gene	0.838267502	0.946505906	0.564728957	0.931237086	15384	10763
GSTA4	0.00772386956687204	11186	0.00258938741329947	13754	0.386195011948639	0.95838100960166	0.120686283846645	0.301974600837162	8450	8490	Other	Other	Gene	0.413440479	0.930786542	0.002413511	0.30979021	7800	139
USP20	0.177048164248004	2747	0.0841494097067905	3603	0.752527132897563	0.95838100960166	0.291358445717073	0.534069429658934	12079	11559	Other	Other	Gene	0.206036502	0.930786542	0.011359303	0.53875969	3757	381
LAMB2	0.0271423414314516	7202	0.0573707291138046	4374	5.6712055959762e-06	0.000112207725203953	7.03206198427406e-06	0.000116069875153289	1074	1289	Other	Other	Gene	0.245562517	0.930786542	0.042288205	0.665384615	4475	1121
PHF6	0.99622967223054	97	0.999548962129068	93	2.22430708052024e-14	1.68675300992191e-12	2.25571416491512e-12	1.44345384805334e-10	280	333	CGC-TSG	Other	Gene	0.00069191	0.109482759	0.638670662	0.953926276	116	11826
DDX20	0.410710614528819	1460	0.0197254847599124	7248	0.356263667648014	0.918971155233154	0.03369169270924	0.118745663238703	8172	6035	Other	Other	Gene	0.233816399	0.930786542	0.023236175	0.617221418	4256	678
NUFIP1	0.191724528298646	2614	0.00841739134027088	9858	0.499789228509677	0.95838100960166	0.211165025763462	0.43812116493576	9556	10230	Other	Other	Gene	0.155461727	0.930786542	0.12011441	0.761554404	2892	2832
LRDD	0.0703469817998266	4607	0.00124947850598523	15739	0.544464061645607	0.95838100960166	0.633383123730156	0.807542721632463	9965	16531	Other	Other	Gene	NA	NA	NA	NA	18153	18153
CDT1	0.00965288783398786	10477	0.0207738608095906	7106	0.811803104930599	0.95838100960166	0.539027001391562	0.75343564267975	12822	15100	Other	Other	Gene	0.324412966	0.930786542	0.471255789	0.912244252	6048	9176
PPP3CB	0.0167723170567838	8622	0.72589931405093	619	0.000531712881708479	0.00611110843575559	0.00149022341777287	0.0107498885610433	1848	2950	Other	Other	Gene	0.494693544	0.934070569	0.264821575	0.845062587	9317	5602
CTH	0.105621184096658	3708	0.0117130533411755	8753	0.549128100858841	0.95838100960166	0.268246380782121	0.50822793607585	10015	11184	Other	Other	Gene	0.171931354	0.930786542	0.216763825	0.821536238	3166	4693
PDZD9	0.0021972550106305	15227	0.00398385216353836	12396	0.216884262010423	0.674979807095092	0.110633492745207	0.283011896387469	6786	8306	Other	Other	Gene	0.627518387	0.937424468	0.500550259	0.920048067	11707	9683
NAA25	0.855138967396086	419	0.48605045166668	1048	3.59582000685025e-06	7.46816067504599e-05	8.70477871674119e-08	2.30422521335451e-06	1023	804	Other	Other	Gene	0.001149551	0.152898551	0.457455734	0.910299219	138	8939
CHD9	0.081332730799387	4297	0.287551945316636	1644	8.13572916839579e-06	0.000155903105080347	5.56639030917576e-05	0.000695684522570242	1109	1702	Other	Other	Gene	0.098490874	0.912108981	0.133892672	0.767280674	1930	3111
IREB2	0.0310051580737365	6816	0.169526620188995	2366	0.0194227255691025	0.117733842145376	0.00609596267431903	0.0326497028886614	3502	3972	Other	Other	Gene	0.100533914	0.913967311	0.005758649	0.451417004	1969	232
TMEM9B	0.0646198717876088	4787	0.0213355056317102	7020	0.725127930285144	0.95838100960166	0.337646791978754	0.584952478884169	11790	12224	Other	Other	Gene	0.838267502	0.946505906	0.902789431	0.980384111	15385	16185
LRPPRC	0.564630553900551	1057	0.118213571451427	2952	0.440720410121397	0.95838100960166	0.0406869836177845	0.135893249829368	8968	6368	Other	Other	Gene	0.045273767	0.813111546	0.054987742	0.693200549	1008	1412
RIOK3	0.176605974802498	2751	0.278287344713502	1679	0.102763078351115	0.405439443914812	0.00787266996311447	0.0397250116609061	5370	4215	Other	Other	Gene	0.401808771	0.930786542	0.199008445	0.813360053	7574	4377
APPL1	0.00575234335842314	12160	0.0369783316422613	5492	0.495118937909702	0.95838100960166	0.259455118356455	0.497733074281087	9507	11045	Other	Other	Gene	0.148155816	0.930786542	0.042288205	0.665384615	2773	1122
SEC62	0.631609746874689	901	0.543157313935885	921	0.582235227316399	0.95838100960166	0.196944174573114	0.419290979716103	10340	9971	Other	Other	Gene	0.604990466	0.937424468	0.28828657	0.855675938	11235	6024
ACAP2	0.0200082491074594	8074	0.0315067952459251	5899	2.15253668057174e-05	0.000372308475051163	0.000166780669445548	0.0017734178069936	1228	2001	Other	Other	Gene	0.292824843	0.930786542	0.515587034	0.922108545	5391	9930
MYL9	0.127903661995422	3320	0.0267498778450888	6348	0.771708824461033	0.95838100960166	0.333618793810955	0.580525972193101	12312	12171	Other	Other	Gene	0.584015255	0.937424468	0.58233179	0.934572003	10947	11045
SUPV3L1	0.44623004306575	1355	0.0165652759565682	7719	0.76859567189572	0.95838100960166	0.424545866950606	0.667156923219061	12265	13443	Other	Other	Gene	0.564211387	0.934919202	0.216763825	0.821536238	10608	4694
ZNF644	0.484184816873283	1269	0.115829868803824	2998	0.00667538670449112	0.0503525009861951	0.00465870957243479	0.0264092690287345	2814	3753	Other	Other	Gene	0.180762735	0.930786542	0.457455734	0.910299219	3335	8940
MRAS	0.0860337997361756	4170	0.00819513538715662	9949	0.812232492866235	0.95838100960166	0.274073041212034	0.514658357307577	12825	11283	Other	Other	Gene	0.809773904	0.946505906	0.331980387	0.870127088	14946	6762
TRIP6	0.0358376409206284	6386	0.0698511593755404	3987	0.750153086016737	0.95838100960166	0.277512955302936	0.519036076086247	12058	11330	Other	Other	Gene	0.029855625	0.722002635	0.07202942	0.720490463	746	1789
COL4A2	0.0629724493842374	4845	0.183617014909486	2216	0.00588111710014192	0.0455711724679724	0.00162687285286344	0.011482952508005	2739	3015	Other	Other	Gene	0.233816399	0.930786542	0.009201852	0.522190202	4257	317
COL4A1	0.657060187788416	834	0.782628143361412	527	2.99404422091489e-16	3.83705946815635e-14	3.10465870771021e-14	2.90163036853495e-12	165	228	Other	Other	Gene	0.151702533	0.930786542	0.043356034	0.665384615	2832	1151
NAPB	0.0237478881453528	7592	0.000423799103320374	17741	0.472967449245734	0.95838100960166	0.314477723216958	0.559926955550648	9298	11899	Other	Other	Gene	0.163339689	0.930786542	0.372105693	0.886207344	3023	7474
RAD54L2	0.0827261913029963	4255	0.00992956749814512	9298	0.69401417594456	0.95838100960166	0.279955532453112	0.521810322856527	11452	11369	Other	Other	Gene	0.092231	0.910650888	0.418191229	0.903472222	1820	8234
ARID3B	0.000606036580902818	17969	0.0268797435548704	6327	0.949187096957022	0.95838100960166	0.559945643121272	0.765698627303547	16837	15429	Other	Other	Gene	0.401808771	0.930786542	0.58233179	0.934572003	7575	11046
GGPS1	0.414163310479239	1448	0.169096748232303	2373	0.94414008684933	0.95838100960166	0.548922591743336	0.759226073372282	16009	15256	Other	Other	Gene	0.002783983	0.260714286	0.805290112	0.980179045	196	14540
ARID4B	0.815417404866581	495	0.32853496848928	1501	0.00894342584280765	0.0636099670508639	0.0204287297269148	0.081995818751333	2985	5298	Other	Other	Gene	7.08e-05	0.022033898	0.658567148	0.955799794	58	12187
HIP1R	0.00618624647992738	11944	0.0116205200595807	8780	0.95014110308274	0.95838100960166	0.709610166161927	0.851028986421911	17027	17556	Other	Other	Gene	0.437624625	0.930786542	0.076169981	0.723818437	8296	1883
KLHL24	0.00978603653277129	10428	0.002263690268426	14122	0.915698474374124	0.95838100960166	0.427230374579736	0.669942751631437	14481	13472	Other	Other	Gene	0.245562517	0.930786542	0.485982021	0.916396137	4476	9436
DGKA	0.0539799995879846	5232	0.03190493950606	5856	0.786139074482998	0.95838100960166	0.396598228354191	0.642373235724522	12503	13057	Other	Other	Gene	0.25815854	0.930786542	0.243154454	0.83704051	4714	5190
CD151	0.00118851193831556	16809	0.000694903514769646	16996	0.8761247206813	0.95838100960166	0.719331644859131	0.856739307201773	13736	17674	Other	Other	Gene	0.131332062	0.930786542	0.126771997	0.765931534	2502	2960
GPBP1L1	0.617727292892863	937	0.430978559366502	1179	0.11632362940212	0.440929478227668	0.0672313845423099	0.19738682463655	5587	7244	Other	Other	Gene	0.72621629	0.941296519	0.383110869	0.888551933	13520	7686
TMEM69	0.00248909886325135	14893	0.00610654525813608	10974	0.602821503555854	0.95838100960166	0.197790315047855	0.420341265053103	10527	9988	Other	Other	Gene	0.781520022	0.946505906	0.937226914	0.980384111	14351	16964
MMP15	0.00237312418233477	15018	0.00782651459938884	10124	0.479968199804976	0.95838100960166	0.0873666357729358	0.238766465878068	9363	7776	Other	Other	Gene	0.838267502	0.946505906	0.564728957	0.931237086	15386	10764
NCLN	0.00829895542261305	10959	0.033533358833338	5737	0.941099069030256	0.95838100960166	0.519651482552214	0.739745703901738	15660	14831	Other	Other	Gene	0.028629801	0.713994565	0.28828657	0.855675938	724	6025
MCRS1	0.0590681091918468	5012	0.0988074037354773	3293	0.0013014407718428	0.0130382705252459	0.00116575739595674	0.00884025777595809	2119	2806	Other	Other	Gene	0.066826478	0.864411557	0.331980387	0.870127088	1394	6763
SNX21	0.0142189958178128	9162	0.0114039602321031	8844	0.315029901583553	0.853819411572679	0.062798589028137	0.18770867353073	7784	7116	Other	Other	Gene	0.308281122	0.930786542	0.762413511	0.973841336	5727	13840
FMR1	0.00916445322674163	10635	0.465767194154876	1106	1.51754836271876e-05	0.000272429975241567	2.80747283983302e-06	5.15727920206912e-05	1183	1159	Other	Other	Gene	0.390411332	0.930786542	0.08224462	0.723818437	7365	2030
CISD1	0.00379476186090774	13594	0.0025087662662699	13847	0.728110382496371	0.95838100960166	0.17004638842959	0.379029130862567	11823	9528	Other	Other	Gene	0.544903296	0.934650967	0.341743394	0.878775567	10215	6975
IPMK	0.159113029435678	2919	0.0808763478543929	3688	0.499307848100031	0.95838100960166	0.220375894949118	0.450152410417058	9553	10387	Other	Other	Gene	0.72621629	0.941296519	0.88426042	0.980384111	13521	15898
SSX2IP	0.0607678372622718	4946	0.0311214670311533	5935	0.0154316051048027	0.0981476391645024	0.0101927191774689	0.0484922199045959	3338	4471	Other	Other	Gene	0.285502588	0.930786542	0.024494688	0.628811189	5192	702
CFL2	0.00307625738297555	14238	0.0230293761702022	6799	0.955947533784056	0.95838100960166	0.660537628615956	0.823723447539147	18279	16892	Other	Other	Gene	0.494693544	0.934070569	0.304647235	0.859483554	9318	6327
CRK	0.328778018201927	1783	0.113556064364092	3032	0.95838100960166	0.95838100960166	0.792231010849269	0.906300027389653	18744	18381	Other	Other	Gene	0.264521929	0.930786542	0.183159902	0.808343352	4843	4061
PCNXL3	0.610582629972025	953	0.100967895206931	3252	0.249848250160374	0.738728508764731	0.0952967572294658	0.254375372642201	7141	7961	Other	Other	Gene	0.300479433	0.930786542	0.394175974	0.897655087	5525	7875
SNX7	0.064363865939724	4798	0.0183927548524772	7453	0.518189678748049	0.95838100960166	0.205574509468164	0.430988146457349	9721	10124	Other	Other	Gene	0.341340234	0.930786542	0.60049033	0.938681656	6296	11343
LAPTM4B	0.0356065600163331	6404	0.000658472147803179	17095	0.952264350806788	0.95838100960166	0.846378482567923	0.912470281448168	17470	18755	Other	Other	Gene	0.699705802	0.94123122	0.471255789	0.912244252	13050	9177
METTL11A	0.0993510075928227	3832	0.029266948730776	6088	0.677281786683925	0.95838100960166	0.20041751825578	0.423714034612906	11269	10041	Other	Other	Gene	NA	NA	NA	NA	18154	18154
CCNH	0.274824622315482	2058	0.0242889396565242	6639	0.00136501083150439	0.0135730358415898	0.00563009455852161	0.0306284618196418	2135	3911	Other	Other	Gene	0.030449469	0.723027167	0.280272405	0.852427506	759	5890
COPS8	0.0103553241614369	10199	0.00330070421784333	13018	0.952023744029148	0.95838100960166	0.829722053885161	0.912470281448168	17414	18642	Other	Other	Gene	0.564211387	0.934919202	0.341743394	0.878775567	10609	6976
ABCB10	0.0261095875357294	7307	0.00569727624666977	11214	0.276640923020363	0.789254442179798	0.119197543092723	0.299384776728292	7399	8458	Other	Other	Gene	0.134442931	0.930786542	0.080157995	0.723818437	2550	1979
SAMD1	0.00354570554566777	13817	0.0241294848522847	6658	0.516864011718118	0.95838100960166	0.173196244902866	0.384321439408015	9705	9569	Other	Other	Gene	0.479286298	0.934070569	0.341743394	0.878775567	9052	6977
OPN3	0.0047474159641111	12828	0.00630110697937498	10874	0.0233270743446847	0.135776188803848	0.00351773668217674	0.0212389714628625	3647	3522	Other	Other	Gene	0.544903296	0.934650967	0.678539907	0.958193568	10216	12522
HSPB8	0.0223988962777671	7748	0.0056908439721711	11218	0.733535438522978	0.95838100960166	0.147448955220664	0.345349503934615	11873	9070	Other	Other	Gene	0.564211387	0.934919202	0.471255789	0.912244252	10610	9178
DTX4	0.115797909701649	3524	0.115058067042002	3011	0.528347318490838	0.95838100960166	0.236016035414322	0.470017678989057	9822	10645	Other	Other	Gene	0.584015255	0.937424468	0.158398257	0.788126864	10948	3591
IL1RAP	0.0203294947656015	8032	0.00544590120560022	11370	0.939426261146877	0.95838100960166	0.551012014023763	0.760261346563386	15496	15294	Other	Other	Gene	0.450661945	0.930786542	0.130226096	0.766859159	8536	3044
QTRTD1	0.231220399124023	2341	0.00591383579128774	11087	0.374066960398967	0.946336561693173	0.113200024414839	0.287982937516016	8332	8351	Other	Other	Gene	0.25815854	0.930786542	0.331980387	0.870127088	4715	6764
SP4	0.207411709456528	2478	0.111417352897785	3068	0.728866119049769	0.95838100960166	0.326278736238919	0.572707874012779	11833	12067	Other	Other	Gene	0.245562517	0.930786542	0.123317897	0.764179608	4477	2892
PIK3C2B	0.71056056035833	712	0.747071056372571	581	0.0161884034238935	0.101981281494679	0.00258804105647253	0.0166310515296662	3370	3312	Other	Other	Gene	0.300479433	0.930786542	0.014998638	0.560692464	5526	484
SEPSECS	0.0353297117691105	6426	0.158319865698066	2489	4.09283879528603e-05	0.000656734200969503	4.01221326867777e-05	0.000527103899767291	1324	1619	Other	Other	Gene	0.72621629	0.941296519	0.58233179	0.934572003	13522	11047
SLC4A11	0.0462167759355472	5634	0.00920986021328074	9546	0.295884734742359	0.823323036383511	0.0339922858452159	0.119469176822647	7585	6052	Other	Other	Gene	0.674639063	0.938319315	0.531609916	0.927449862	12608	10199
WDR4	0.0845035219641126	4214	0.00307306694905185	13244	0.615038221037137	0.95838100960166	0.38687829180757	0.632984453326744	10645	12927	Other	Other	Gene	0.100533914	0.913967311	0.372105693	0.886207344	1970	7475
WDR75	0.0148480958393823	9013	0.00867633731020453	9749	0.822861718347518	0.95838100960166	0.465684627233939	0.701985973523486	12964	14010	Other	Other	Gene	0.896502315	0.956481051	0.394175974	0.897655087	16514	7876
LMCD1	0.0536784571067692	5248	0.158257945088711	2490	0.722144390616627	0.95838100960166	0.258910482560169	0.497127723272179	11761	11036	Other	Other	Gene	0.379449741	0.930786542	0.8259003	0.980384111	7138	14886
TFG	0.0140286406541773	9196	0.0303144539405984	5989	0.930705257931132	0.95838100960166	0.620659768124071	0.798649698004579	14956	16382	Other	Other	Gene	0.002718605	0.255897436	0.331980387	0.870127088	192	6765
ARPC1A	0.00927331630860323	10598	0.0895236286641413	3482	0.357834620990474	0.920944727713063	0.155223142052847	0.356504627506371	8193	9246	Other	Other	Gene	0.604990466	0.937424468	0.60049033	0.938681656	11236	11344
RNF7	0.000659118242741279	17866	0.00306280102673355	13254	0.190667413987705	0.620200263267287	0.107706462030582	0.277456116949913	6497	8248	Other	Other	Gene	0.206036502	0.930786542	0.264821575	0.845062587	3758	5603
MKRN1	0.447343746846963	1349	0.0205279004844753	7143	0.557258626757813	0.95838100960166	0.156785666438454	0.358894163297564	10088	9277	Other	Other	Gene	0.006690275	0.420547945	0.500550259	0.920048067	289	9684
FUZ	0.00198034370702215	15509	0.0220688259998903	6925	0.135637137674203	0.492001569079038	0.0480523228586667	0.154185656948551	5838	6629	Other	Other	Gene	0.464461999	0.932939374	0.430847181	0.905449966	8801	8462
ORAI3	0.0443575070117602	5764	0.00913095443693296	9580	0.791540343723317	0.95838100960166	0.48912978812594	0.719131014526728	12574	14365	Other	Other	Gene	0.809773904	0.946505906	0.805290112	0.980179045	14947	14541
FOXN3	0.531546753644454	1148	0.170611721493172	2355	0.00473310497361134	0.0383216373426888	0.000464810383283419	0.00415812109881879	2620	2379	Other	Other	Gene	0.838267502	0.946505906	0.418191229	0.903472222	15387	8235
CAPRIN2	0.00416635322933989	13254	0.00746491735423574	10292	7.96107091106378e-05	0.00117399626327929	0.000126218178089323	0.00139501201084305	1441	1925	Other	Other	Gene	0.195505312	0.930786542	0.10469082	0.743941154	3590	2529
BPGM	0.00128059756198019	16644	0.00761164996153427	10225	0.500470395311515	0.95838100960166	0.363459333145491	0.610608241090924	9562	12602	Other	Other	Gene	0.264521929	0.930786542	0.430847181	0.905449966	4844	8463
RAB9A	0.0215801908465226	7858	0.00996255962337556	9288	0.951242926529691	0.95838100960166	0.766754636648562	0.887687414557438	17241	18164	Other	Other	Gene	0.838267502	0.946505906	0.531609916	0.927449862	15388	10200
MBD1	0.173700292939766	2773	0.229888463869505	1913	1.48277165729276e-07	4.10342613574694e-06	1.08280624907656e-07	2.80358667819836e-06	768	822	Other	Other	Gene	0.017286843	0.614922481	0.10192863	0.739778569	511	2485
RRM1	0.060232567258251	4963	0.0472357053037145	4849	0.954927774684477	0.95838100960166	0.552095517865886	0.760773628440517	18063	15313	Other	Other	Gene	0.35977118	0.930786542	0.243154454	0.83704051	6714	5191
