Gene	BLCA_HR	BRCA_HR	CESC_HR	COAD_HR	ESCA_HR	GBM_HR	HNSC_HR	KIRC_HR	KIRP_HR	LAML_HR	LGG_HR	LIHC_HR	LUAD_HR	LUSC_HR	OV_HR	PAAD_HR	READ_HR	SARC_HR	SKCM_HR	STAD_HR	UCEC_HR	BLCA_HR_Pvalue	BRCA_HR_Pvalue	CESC_HR_Pvalue	COAD_HR_Pvalue	ESCA_HR_Pvalue	GBM_HR_Pvalue	HNSC_HR_Pvalue	KIRC_HR_Pvalue	KIRP_HR_Pvalue	LAML_HR_Pvalue	LGG_HR_Pvalue	LIHC_HR_Pvalue	LUAD_HR_Pvalue	LUSC_HR_Pvalue	OV_HR_Pvalue	PAAD_HR_Pvalue	READ_HR_Pvalue	SARC_HR_Pvalue	SKCM_HR_Pvalue	STAD_HR_Pvalue	UCEC_HR_Pvalue
NOTCH2NL	1.034	0.945	0.926	1.107	1.022	1.027	1.018	1.095	1.08	0.896	1.176	0.921	0.987	0.987	1.056	1.276	1.412	0.862	0.994	1.225	1.017	0.67	0.53	0.54	0.33	0.88	0.79	0.8	0.23	0.64	0.29	0.06	0.39	0.86	0.85	0.49	0.021	0.11	0.15	0.93	0.016	0.87
AXIN2	0.975	0.934	1.036	0.804	0.914	1.016	0.924	1.202	0.731	0.993	0.994	1.124	0.868	1.123	1.086	0.825	0.806	1.042	1.017	0.862	0.892	0.75	0.47	0.79	0.037	0.54	0.86	0.26	0.014	0.044	0.95	0.95	0.21	0.07	0.1	0.31	0.092	0.31	0.69	0.8	0.072	0.29
CLASP1	1.06	0.966	1.181	1.139	0.808	0.967	1.071	1.04	1.467	0.843	0.998	0.976	0.982	0.947	1.047	0.933	1.213	0.964	1.063	1.138	1.119	0.45	0.71	0.2	0.19	0.13	0.71	0.34	0.62	0.019	0.098	0.98	0.78	0.8	0.44	0.55	0.54	0.35	0.74	0.39	0.11	0.28
ASH1L	1.018	1.08	1.272	1.076	0.797	0.973	0.944	0.802	1.261	0.796	0.908	1.055	0.922	0.997	1.027	1.071	1.071	1.001	0.965	1.076	1.067	0.81	0.4	0.081	0.47	0.1	0.76	0.4	0.0061	0.15	0.029	0.31	0.55	0.27	0.96	0.72	0.52	0.78	0.99	0.62	0.35	0.55
ATXN2L	1.047	0.888	1.026	1.363	0.822	0.958	1.086	1.566	1.926	1.084	0.984	1.194	1.101	0.978	0.926	0.968	0.743	1.164	1.076	0.939	1.031	0.55	0.17	0.86	0.0019	0.16	0.62	0.27	1.1E-7	1.3E-4	0.42	0.87	0.058	0.21	0.75	0.3	0.77	0.21	0.15	0.28	0.48	0.77
HS6ST1	0.945	1.028	0.799	1.065	0.982	1.235	1.007	1.003	1.182	0.984	1.665	0.829	0.841	0.892	1.056	0.863	1.211	0.921	1.097	0.996	1.217	0.47	0.75	0.1	0.53	0.89	0.038	0.92	0.97	0.28	0.87	2.5E-8	0.04	0.031	0.11	0.49	0.17	0.35	0.42	0.18	0.97	0.062
RXRA	0.968	1.058	0.904	1.153	0.98	1.117	0.931	0.966	1.338	1.035	0.936	0.871	0.876	1.107	1.139	0.681	0.878	0.875	1.227	0.869	1.12	0.67	0.56	0.46	0.18	0.9	0.24	0.32	0.66	0.071	0.75	0.46	0.13	0.085	0.15	0.087	6.2E-4	0.54	0.22	0.0035	0.1	0.26
B2M	0.899	0.916	1.042	0.93	1.48	1.017	1.064	0.841	1.04	0.871	1.411	0.812	1.0	1.035	0.975	1.185	0.929	0.696	0.679	1.017	0.935	0.15	0.32	0.73	0.48	0.0096	0.85	0.36	0.025	0.79	0.18	5.7E-4	0.036	1.0	0.63	0.73	0.14	0.74	7.6E-4	3.2E-8	0.84	0.51
SSBP3	1.002	0.958	0.599	0.933	0.916	0.993	0.906	1.011	1.236	0.958	0.919	0.934	0.812	1.047	1.061	1.045	0.761	1.229	1.158	1.054	1.14	0.98	0.63	1.2E-4	0.51	0.53	0.93	0.16	0.88	0.15	0.69	0.38	0.47	0.0086	0.5	0.4	0.67	0.23	0.046	0.044	0.53	0.19
ANKRD11	0.959	1.022	1.117	1.177	1.29	1.013	1.03	1.2	0.795	0.851	1.251	1.134	1.11	1.074	1.08	0.766	0.87	1.121	1.05	1.049	0.829	0.58	0.8	0.39	0.12	0.061	0.88	0.68	0.016	0.19	0.13	0.016	0.18	0.17	0.33	0.31	0.016	0.54	0.28	0.48	0.58	0.1
MLL3	1.031	1.079	1.084	1.165	0.869	0.988	0.875	0.952	0.934	0.818	1.065	0.995	0.841	1.036	1.1	0.959	0.931	0.9	0.935	1.001	0.912	0.69	0.4	0.51	0.15	0.29	0.89	0.051	0.54	0.65	0.065	0.53	0.95	0.021	0.61	0.22	0.7	0.75	0.3	0.33	0.99	0.38
CTIF	1.146	0.966	1.131	1.184	0.762	1.078	0.973	1.158	0.611	0.903	0.586	0.912	0.904	1.213	1.079	0.815	1.435	0.864	0.991	1.049	1.201	0.057	0.7	0.39	0.096	0.043	0.4	0.69	0.048	0.002	0.31	3.5E-7	0.31	0.17	0.0068	0.38	0.053	0.071	0.13	0.9	0.57	0.079
IER2	0.962	0.874	0.95	1.002	1.31	1.093	0.881	1.109	0.885	0.989	1.178	0.831	0.94	1.065	1.037	1.031	1.383	0.944	0.974	0.921	1.083	0.61	0.14	0.7	0.99	0.044	0.37	0.086	0.19	0.42	0.92	0.07	0.046	0.42	0.34	0.64	0.78	0.13	0.6	0.72	0.32	0.47
PCDH9	1.272	1.055	0.938	1.3	1.008	1.128	1.152	1.015	1.138	0.956	1.011	1.013	0.942	1.097	1.152	1.019	1.232	1.122	1.019	1.207	1.214	0.0025	0.55	0.64	0.011	0.96	0.21	0.042	0.84	0.39	0.67	0.91	0.9	0.44	0.18	0.079	0.86	0.34	0.25	0.78	0.024	0.071
AHDC1	1.137	1.109	0.966	1.165	0.761	1.053	0.868	1.143	0.875	1.049	1.189	1.009	0.921	1.036	1.224	0.809	1.154	1.024	1.158	1.111	1.204	0.083	0.25	0.79	0.13	0.056	0.56	0.051	0.12	0.39	0.62	0.032	0.92	0.3	0.62	0.011	0.045	0.53	0.8	0.052	0.23	0.067
PHLPP1	0.947	0.956	0.811	0.981	0.978	1.065	0.907	1.002	0.751	1.105	0.864	0.924	1.053	0.924	1.039	1.027	1.125	0.995	1.062	1.004	1.077	0.49	0.62	0.11	0.85	0.86	0.49	0.17	0.98	0.067	0.37	0.1	0.41	0.49	0.25	0.63	0.8	0.61	0.96	0.39	0.96	0.47
LRRFIP1	1.003	1.008	1.146	0.992	1.263	1.299	1.025	0.98	1.172	1.033	1.301	0.979	1.075	1.09	1.09	1.263	1.167	0.867	0.932	1.035	0.999	0.97	0.93	0.31	0.93	0.13	0.0081	0.72	0.79	0.3	0.77	0.011	0.82	0.33	0.22	0.24	0.025	0.48	0.16	0.32	0.67	0.99
RBM26	1.063	1.016	1.377	1.048	1.01	0.991	1.135	1.182	1.203	0.839	0.966	1.143	1.075	1.035	1.069	0.987	0.845	1.198	1.012	1.021	0.923	0.43	0.86	0.016	0.63	0.94	0.92	0.072	0.039	0.24	0.1	0.71	0.14	0.34	0.62	0.37	0.91	0.45	0.084	0.87	0.8	0.42
CAPZB	1.015	0.91	0.901	0.899	1.06	1.093	1.031	1.197	0.788	1.296	1.313	1.117	1.027	1.071	1.115	1.113	0.955	1.036	0.994	1.049	0.996	0.84	0.27	0.42	0.29	0.68	0.3	0.67	0.026	0.11	0.016	0.0035	0.22	0.71	0.29	0.15	0.32	0.83	0.73	0.93	0.56	0.97
TNRC6B	1.031	1.023	0.888	1.026	0.726	0.962	0.945	1.12	0.9	0.88	0.786	0.923	1.0	0.913	1.12	1.027	0.775	0.929	0.976	0.985	1.021	0.69	0.8	0.32	0.8	0.028	0.65	0.44	0.15	0.5	0.21	0.0097	0.34	1.0	0.21	0.13	0.82	0.31	0.49	0.73	0.86	0.84
SPTBN1	1.218	0.97	1.568	1.031	0.895	1.019	1.037	0.692	1.295	0.923	1.127	0.878	1.111	1.114	1.074	1.2	0.75	0.938	1.016	0.979	1.074	0.0085	0.74	8.1E-4	0.76	0.41	0.83	0.63	4.3E-6	0.1	0.49	0.23	0.16	0.17	0.13	0.34	0.11	0.15	0.54	0.82	0.79	0.53
MEX3A	0.886	1.128	1.111	1.082	0.877	0.914	0.904	1.374	1.123	0.799	0.819	1.462	0.895	1.004	0.894	1.134	0.918	1.63	1.098	1.213	1.128	0.11	0.18	0.45	0.44	0.3	0.32	0.18	6.5E-5	0.46	0.039	0.046	1.6E-4	0.14	0.96	0.16	0.22	0.71	1.5E-5	0.19	0.015	0.22
FRYL	0.952	1.035	1.163	0.961	0.822	0.936	0.99	0.848	0.718	0.794	1.358	0.938	1.096	1.045	1.014	1.166	0.817	0.964	0.9	0.936	0.853	0.53	0.69	0.24	0.71	0.15	0.44	0.88	0.039	0.035	0.026	0.0022	0.46	0.25	0.51	0.84	0.16	0.34	0.71	0.14	0.43	0.14
PDZRN3	1.134	0.951	1.141	1.053	1.016	1.06	0.97	0.743	0.69	NA	1.168	0.947	0.979	1.049	1.122	0.813	1.277	0.918	0.983	1.212	0.881	0.096	0.57	0.33	0.6	0.9	0.52	0.66	2.1E-4	0.0094	NA	0.072	0.57	0.77	0.48	0.14	0.049	0.17	0.42	0.79	0.017	0.21
BAZ1A	1.053	1.085	0.944	0.971	1.042	0.899	1.006	1.224	1.722	0.942	1.155	1.251	1.032	0.957	1.056	1.297	1.068	1.14	0.872	1.003	0.915	0.52	0.39	0.64	0.77	0.77	0.29	0.93	0.0081	9.2E-4	0.59	0.15	0.016	0.67	0.53	0.45	0.018	0.77	0.2	0.067	0.97	0.39
GNB1	1.115	1.093	1.374	0.874	1.094	1.015	1.146	0.87	0.84	1.071	1.29	1.209	1.007	1.145	1.007	1.2	0.999	1.335	1.063	1.081	1.068	0.17	0.34	0.015	0.18	0.52	0.86	0.053	0.097	0.29	0.57	0.0061	0.03	0.93	0.048	0.92	0.093	1.0	0.01	0.39	0.34	0.52
TCF12	1.121	1.083	1.322	1.045	0.791	0.81	0.997	0.968	1.135	0.823	0.695	0.958	1.068	0.995	1.085	1.232	0.955	1.209	0.93	0.976	0.99	0.14	0.39	0.036	0.67	0.093	0.022	0.97	0.66	0.42	0.063	8.4E-5	0.63	0.38	0.94	0.32	0.055	0.82	0.081	0.3	0.77	0.93
BCLAF1	0.98	1.254	1.175	0.838	1.157	0.869	0.998	0.959	1.346	0.842	0.986	1.029	1.034	0.968	1.097	1.026	0.816	1.182	0.892	0.993	0.976	0.79	0.013	0.21	0.075	0.28	0.11	0.98	0.59	0.062	0.12	0.88	0.75	0.66	0.65	0.23	0.82	0.41	0.11	0.13	0.93	0.83
ZFP91	1.227	1.126	1.119	0.842	0.867	0.92	1.052	0.805	1.061	0.829	0.847	1.046	1.085	1.029	1.036	1.571	0.879	0.918	0.954	0.902	0.99	0.01	0.18	0.39	0.1	0.29	0.37	0.49	0.0057	0.7	0.11	0.067	0.6	0.27	0.67	0.62	7.0E-5	0.59	0.4	0.5	0.21	0.92
FLNB	0.966	0.836	1.271	1.084	0.804	1.133	1.018	0.973	0.808	1.002	0.936	0.968	1.115	1.061	1.142	1.511	0.594	0.926	1.081	0.986	0.975	0.66	0.043	0.071	0.45	0.11	0.16	0.8	0.72	0.16	0.99	0.49	0.72	0.16	0.39	0.075	2.7E-4	0.026	0.46	0.27	0.86	0.81
HOOK2	0.947	0.954	0.911	1.136	0.743	0.903	0.862	1.206	0.611	1.064	1.004	0.933	0.895	0.953	0.962	0.778	0.765	1.117	1.118	0.79	1.005	0.49	0.64	0.47	0.24	0.04	0.23	0.036	0.02	0.0021	0.56	0.96	0.45	0.13	0.48	0.64	0.016	0.24	0.28	0.11	0.0076	0.97
BAHD1	0.96	1.142	0.927	1.395	0.926	0.91	1.005	0.874	0.744	0.988	0.995	0.906	0.85	1.013	1.082	0.735	0.98	1.003	0.924	0.94	0.887	0.58	0.14	0.56	0.0013	0.54	0.31	0.95	0.095	0.057	0.91	0.95	0.27	0.032	0.85	0.3	0.0068	0.92	0.98	0.24	0.48	0.26
YWHAE	1.091	0.981	0.933	0.858	1.107	0.978	1.13	0.936	0.632	0.97	0.765	0.962	1.159	1.04	0.98	1.1	1.051	1.368	1.147	0.972	0.849	0.25	0.83	0.6	0.15	0.44	0.8	0.081	0.39	0.0059	0.76	0.0056	0.65	0.058	0.58	0.79	0.43	0.81	0.0031	0.06	0.73	0.1
C14ORF43	1.106	0.851	0.936	1.125	0.969	1.012	0.955	1.041	1.328	0.986	0.801	1.038	1.018	1.054	1.337	1.043	1.026	0.993	0.933	1.016	1.021	0.18	0.078	0.59	0.25	0.84	0.91	0.51	0.6	0.068	0.9	0.019	0.67	0.8	0.47	3.3E-4	0.7	0.9	0.95	0.3	0.85	0.84
TEAD3	0.895	1.125	0.985	1.182	0.962	0.975	0.914	1.339	1.445	0.9	1.756	1.029	1.037	1.008	0.998	1.147	1.067	1.021	1.305	1.052	1.133	0.18	0.21	0.91	0.088	0.77	0.8	0.2	1.5E-4	0.017	0.35	3.9E-8	0.74	0.62	0.91	0.98	0.23	0.75	0.85	1.7E-4	0.55	0.2
FLNC	1.266	1.027	1.234	1.161	0.807	1.215	1.124	1.164	0.958	0.807	1.691	1.221	1.335	1.171	1.205	1.124	1.263	0.981	1.203	1.175	1.144	0.0027	0.77	0.11	0.11	0.12	0.032	0.1	0.063	0.78	0.054	1.6E-8	0.037	1.6E-4	0.021	0.018	0.29	0.22	0.85	0.005	0.05	0.21
FNBP4	0.796	0.926	0.954	1.239	1.174	0.964	0.92	1.567	1.252	0.967	0.92	1.125	0.869	0.959	0.989	0.875	0.846	1.157	0.882	0.966	1.008	0.0039	0.37	0.72	0.031	0.27	0.67	0.25	5.1E-9	0.15	0.75	0.37	0.22	0.061	0.55	0.88	0.23	0.45	0.17	0.11	0.68	0.94
PLXNB2	0.935	1.108	0.934	1.075	0.809	1.046	0.925	1.061	0.86	1.167	1.426	0.926	1.037	1.072	1.172	0.999	0.757	1.079	1.098	0.834	0.884	0.39	0.28	0.61	0.49	0.085	0.62	0.26	0.44	0.33	0.13	1.4E-4	0.42	0.65	0.32	0.032	0.99	0.19	0.48	0.17	0.029	0.25
CUL3	1.1	1.136	0.936	0.965	1.117	0.906	0.921	0.81	1.105	0.872	1.037	0.998	1.083	1.007	1.143	1.193	1.418	1.315	0.956	0.965	1.073	0.23	0.15	0.6	0.73	0.46	0.35	0.24	0.0067	0.52	0.24	0.69	0.98	0.28	0.92	0.09	0.08	0.14	0.012	0.53	0.66	0.51
SRRM1	0.976	0.947	0.977	0.882	0.774	0.903	0.985	1.248	0.959	1.083	1.448	1.044	0.927	0.991	1.039	1.109	0.779	1.229	1.032	0.833	0.945	0.75	0.56	0.86	0.21	0.087	0.24	0.83	0.004	0.78	0.42	4.9E-5	0.61	0.31	0.9	0.62	0.36	0.3	0.05	0.67	0.027	0.59
LUC7L3	0.84	0.95	0.936	1.08	1.056	0.966	0.93	1.597	1.09	0.938	0.897	1.248	0.885	0.953	0.956	0.787	1.014	1.198	0.899	0.933	1.127	0.026	0.54	0.63	0.45	0.68	0.68	0.31	5.3E-9	0.58	0.57	0.23	0.017	0.099	0.5	0.51	0.027	0.95	0.1	0.16	0.4	0.27
YLPM1	1.176	0.995	1.158	1.07	0.747	0.937	1.004	0.836	0.85	0.903	0.755	1.064	1.042	0.93	1.098	0.904	0.902	1.122	1.146	1.073	0.969	0.031	0.95	0.25	0.5	0.056	0.46	0.95	0.025	0.27	0.34	0.0039	0.5	0.57	0.31	0.2	0.37	0.64	0.26	0.06	0.4	0.78
PNISR	0.812	0.978	1.129	1.142	1.15	0.958	0.917	1.574	1.035	0.886	0.871	1.059	0.842	0.959	0.932	0.686	0.944	1.161	0.846	0.962	1.064	0.01	0.81	0.33	0.18	0.32	0.64	0.22	2.4E-9	0.82	0.27	0.12	0.51	0.026	0.57	0.35	0.0011	0.79	0.18	0.027	0.64	0.56
MTCH1	1.049	1.089	1.119	1.106	1.108	1.031	1.114	0.931	0.75	1.257	0.839	1.154	0.944	1.015	0.991	0.874	0.784	1.16	1.141	1.104	1.097	0.52	0.34	0.41	0.31	0.48	0.75	0.13	0.36	0.076	0.043	0.068	0.12	0.45	0.84	0.9	0.23	0.25	0.15	0.047	0.24	0.4
OXR1	1.042	1.218	1.072	0.993	0.89	0.915	0.942	0.992	0.89	0.966	0.975	0.957	0.96	1.032	1.057	1.273	0.878	1.219	0.852	0.996	1.011	0.59	0.02	0.6	0.95	0.43	0.37	0.39	0.92	0.47	0.76	0.79	0.61	0.58	0.66	0.44	0.03	0.5	0.057	0.03	0.96	0.91
HIST1H1C	0.809	0.929	0.674	1.201	1.121	0.98	0.982	1.063	1.372	1.214	1.379	0.831	1.028	0.98	0.983	1.343	1.188	1.044	1.076	0.994	1.046	0.0036	0.43	0.0044	0.096	0.42	0.79	0.78	0.44	0.043	0.1	8.5E-4	0.05	0.7	0.77	0.83	0.011	0.43	0.69	0.27	0.94	0.67
FAM53B	0.965	0.902	0.677	1.182	0.836	1.115	0.778	0.721	0.819	1.232	0.854	0.992	0.824	0.961	1.178	0.651	0.858	0.939	1.02	0.85	0.987	0.64	0.24	0.006	0.12	0.19	0.22	3.8E-4	1.5E-4	0.21	0.037	0.082	0.92	0.012	0.58	0.027	1.6E-4	0.43	0.55	0.79	0.046	0.9
HOXA3	0.947	0.956	1.318	1.019	0.943	1.048	1.023	1.49	1.008	1.259	NA	1.011	1.14	1.055	1.056	0.981	1.259	1.141	0.872	1.092	1.027	0.48	0.61	0.039	0.85	0.65	0.61	0.76	4.7E-7	0.96	0.035	NA	0.91	0.086	0.46	0.46	0.86	0.26	0.23	0.063	0.29	0.8
CNOT4	1.004	1.037	1.047	1.098	0.953	1.014	0.901	0.859	0.954	0.84	1.261	1.031	0.93	0.948	0.955	0.938	0.927	0.85	0.94	0.953	1.11	0.96	0.69	0.73	0.34	0.72	0.87	0.14	0.061	0.75	0.1	0.017	0.73	0.34	0.44	0.56	0.56	0.71	0.11	0.37	0.57	0.31
PLEKHG2	1.053	1.138	1.305	1.336	0.96	0.908	0.848	1.404	1.474	0.936	1.383	1.083	1.132	1.09	1.152	0.963	1.338	1.045	1.035	1.14	1.154	0.5	0.15	0.054	0.0051	0.75	0.25	0.019	1.4E-5	0.011	0.55	0.0011	0.42	0.11	0.21	0.066	0.75	0.18	0.66	0.6	0.11	0.16
KIAA0182	1.055	1.121	1.241	1.105	1.309	1.047	1.05	1.305	0.959	1.021	0.649	0.905	0.894	1.167	1.041	0.728	0.989	1.055	1.044	1.094	1.095	0.48	0.23	0.12	0.35	0.062	0.6	0.51	5.1E-4	0.78	0.83	7.5E-6	0.26	0.14	0.033	0.59	0.006	0.96	0.62	0.52	0.3	0.39
SMARCD2	1.065	1.005	0.982	0.972	0.827	0.954	1.133	1.302	1.417	1.159	1.091	1.002	1.062	0.991	0.87	0.959	0.835	0.978	1.113	0.83	1.082	0.4	0.96	0.89	0.79	0.19	0.63	0.082	9.3E-4	0.027	0.19	0.32	0.98	0.43	0.89	0.087	0.68	0.46	0.83	0.14	0.031	0.44
THRAP3	1.154	0.972	1.123	0.982	0.72	0.896	1.018	1.012	1.154	0.981	1.416	1.037	0.958	1.047	1.087	1.082	0.879	1.106	1.178	0.834	0.974	0.066	0.75	0.38	0.86	0.027	0.2	0.8	0.88	0.37	0.85	1.2E-4	0.68	0.57	0.51	0.25	0.46	0.6	0.32	0.022	0.037	0.8
EIF5A	1.052	0.922	1.005	0.957	1.093	1.006	1.074	1.319	1.019	1.066	0.976	1.024	1.246	0.959	0.967	1.206	1.021	1.183	1.269	0.957	0.976	0.51	0.38	0.97	0.67	0.5	0.94	0.3	0.0016	0.9	0.55	0.8	0.78	0.003	0.57	0.64	0.11	0.92	0.09	8.1E-4	0.59	0.82
NR1D1	1.076	1.038	0.858	1.244	1.001	1.18	1.057	1.158	0.848	1.177	0.858	1.085	0.982	0.943	1.005	1.12	1.247	0.755	0.941	1.179	1.189	0.33	0.66	0.23	0.026	0.99	0.077	0.44	0.065	0.31	0.13	0.12	0.37	0.82	0.4	0.95	0.3	0.3	0.008	0.39	0.045	0.11
ASAP2	1.007	1.063	1.178	1.042	0.813	1.051	1.121	0.9	1.194	1.113	1.415	1.116	1.163	1.008	0.952	1.51	0.843	1.053	0.918	0.989	1.218	0.92	0.48	0.21	0.7	0.12	0.58	0.11	0.2	0.25	0.33	2.4E-4	0.24	0.05	0.91	0.53	3.4E-4	0.37	0.62	0.21	0.9	0.083
HDLBP	1.326	1.162	1.373	1.148	0.886	1.006	1.042	0.921	1.787	0.916	0.967	1.115	1.114	1.087	1.087	1.248	1.242	1.066	1.089	1.163	1.04	3.8E-4	0.083	0.025	0.17	0.41	0.95	0.55	0.32	9.6E-4	0.4	0.73	0.21	0.14	0.23	0.28	0.049	0.29	0.54	0.21	0.072	0.69
KIAA0368	1.056	1.077	1.073	1.036	0.744	0.995	1.039	0.929	1.257	0.862	1.183	1.06	1.019	1.116	1.031	0.929	0.773	0.986	1.125	0.962	0.992	0.46	0.4	0.59	0.73	0.05	0.96	0.58	0.36	0.16	0.18	0.065	0.52	0.8	0.12	0.7	0.51	0.27	0.9	0.087	0.65	0.93
WASF2	1.151	1.045	1.102	0.882	0.92	1.035	0.923	0.896	0.874	1.16	1.501	1.29	1.055	1.035	1.291	1.015	0.779	1.163	1.082	1.041	0.944	0.055	0.62	0.47	0.19	0.55	0.7	0.26	0.19	0.38	0.19	5.0E-6	0.0075	0.47	0.64	5.9E-4	0.9	0.28	0.12	0.26	0.64	0.58
MSN	1.104	0.957	1.055	1.14	1.225	1.097	1.082	0.898	1.723	1.11	2.167	1.183	1.002	1.174	0.989	1.302	1.241	1.027	1.021	1.155	1.005	0.2	0.61	0.65	0.19	0.18	0.29	0.28	0.19	7.3E-4	0.33	9.1E-13	0.077	0.98	0.02	0.88	0.02	0.31	0.8	0.75	0.12	0.96
MAP1LC3B	1.078	1.078	1.017	0.995	1.984	1.045	1.153	0.958	0.817	0.977	0.983	1.044	1.011	1.12	1.031	1.05	1.089	0.871	1.041	1.155	0.95	0.33	0.43	0.9	0.96	2.7E-5	0.64	0.04	0.58	0.21	0.84	0.85	0.64	0.88	0.092	0.68	0.65	0.72	0.2	0.57	0.1	0.65
MAX	1.052	0.781	0.708	0.99	1.03	1.021	0.978	1.113	0.989	0.778	0.765	1.076	1.016	0.845	1.014	0.87	1.738	0.737	0.925	0.932	0.898	0.52	0.0064	0.0068	0.92	0.82	0.82	0.76	0.17	0.94	0.028	0.0061	0.39	0.84	0.011	0.86	0.22	0.022	0.0042	0.24	0.39	0.29
MFAP1	1.291	1.009	1.2	1.18	0.939	0.928	1.146	0.731	0.654	1.117	1.064	1.141	1.083	0.89	1.153	1.063	0.998	0.926	0.934	0.873	0.895	0.0016	0.92	0.16	0.1	0.66	0.47	0.058	9.4E-5	0.0092	0.29	0.5	0.16	0.31	0.096	0.082	0.58	0.99	0.45	0.34	0.096	0.28
ADAM19	1.096	1.046	1.228	0.98	1.007	1.07	1.046	1.323	2.344	1.022	1.42	1.108	1.073	1.146	0.988	1.02	1.078	0.837	0.889	1.084	0.978	0.26	0.61	0.13	0.84	0.96	0.44	0.52	6.9E-4	2.8E-6	0.86	4.1E-4	0.28	0.34	0.055	0.88	0.87	0.74	0.074	0.076	0.33	0.83
NT5C3	0.822	1.011	1.123	0.952	1.296	1.008	1.058	1.047	1.092	0.866	1.046	1.255	1.231	0.983	0.942	1.181	1.211	0.995	0.827	0.979	1.108	0.0098	0.9	0.39	0.63	0.072	0.93	0.42	0.56	0.57	0.19	0.64	0.017	0.0055	0.81	0.41	0.12	0.39	0.96	0.0056	0.8	0.34
TBC1D2B	0.946	1.063	1.104	1.079	0.985	1.099	1.002	1.104	1.223	0.948	1.61	0.762	0.972	1.111	1.213	0.933	0.98	0.855	0.89	1.117	1.122	0.46	0.51	0.46	0.45	0.91	0.34	0.98	0.22	0.17	0.62	3.2E-7	0.0041	0.7	0.13	0.013	0.55	0.92	0.14	0.1	0.2	0.28
GPATCH8	1.037	0.983	1.175	1.092	0.832	0.933	0.942	1.103	1.381	0.951	0.927	1.045	0.94	1.003	1.221	1.119	0.822	1.122	0.952	0.961	0.952	0.64	0.84	0.22	0.39	0.19	0.44	0.39	0.22	0.05	0.63	0.42	0.62	0.4	0.97	0.0099	0.34	0.43	0.29	0.47	0.64	0.63
HIST1H2AC	0.962	0.94	0.923	1.512	1.148	1.006	1.038	0.988	1.147	1.027	1.242	0.847	1.076	0.969	1.096	1.411	1.271	1.092	1.073	1.036	0.966	0.59	0.5	0.54	3.4E-4	0.29	0.95	0.59	0.87	0.39	0.79	0.025	0.072	0.31	0.65	0.23	0.0032	0.29	0.41	0.29	0.67	0.74
SCAF8	0.959	1.189	1.286	0.976	0.963	0.913	0.954	0.974	1.311	0.71	1.008	1.128	0.935	1.003	1.207	1.019	0.819	1.085	1.007	1.026	1.088	0.58	0.052	0.047	0.81	0.78	0.29	0.51	0.74	0.094	0.0016	0.93	0.2	0.39	0.96	0.016	0.86	0.4	0.43	0.92	0.76	0.43
MGA	1.008	1.174	1.016	1.142	0.79	0.871	0.902	0.915	0.886	0.866	1.631	1.052	0.953	1.061	1.106	1.099	0.903	1.015	1.063	1.074	0.923	0.92	0.069	0.9	0.21	0.062	0.12	0.15	0.26	0.45	0.19	1.2E-7	0.61	0.51	0.4	0.19	0.4	0.67	0.89	0.4	0.39	0.46
ZFR	1.002	1.177	1.16	0.957	0.823	0.875	0.989	0.801	1.467	0.827	1.091	1.176	0.998	0.875	1.008	1.05	0.9	1.126	0.863	1.092	1.073	0.98	0.078	0.25	0.66	0.15	0.17	0.87	0.0046	0.015	0.1	0.32	0.071	0.98	0.053	0.91	0.66	0.63	0.24	0.044	0.27	0.52
TCEB3	1.103	0.939	1.168	0.964	1.017	0.997	1.103	1.106	1.245	0.962	1.251	1.137	0.875	1.063	1.014	0.864	0.97	1.274	1.113	1.061	1.008	0.19	0.51	0.2	0.72	0.91	0.97	0.16	0.18	0.15	0.73	0.014	0.15	0.073	0.38	0.85	0.21	0.9	0.021	0.14	0.46	0.94
ZC3H13	1.175	1.04	1.547	1.041	1.078	0.934	1.076	0.745	0.979	0.97	0.973	0.843	0.993	1.035	1.13	1.07	1.04	1.071	1.123	1.011	0.931	0.037	0.65	8.0E-4	0.69	0.57	0.44	0.3	2.5E-4	0.89	0.76	0.77	0.043	0.93	0.63	0.12	0.54	0.86	0.51	0.099	0.89	0.5
ACVR1B	0.911	1.049	0.978	1.067	1.08	1.212	1.029	1.068	1.06	0.797	0.927	1.058	0.866	1.014	0.967	1.051	0.834	0.981	1.087	1.005	1.072	0.22	0.59	0.88	0.55	0.57	0.038	0.68	0.41	0.69	0.034	0.41	0.54	0.062	0.84	0.67	0.66	0.45	0.86	0.22	0.95	0.5
CNOT3	0.886	0.948	0.985	1.248	0.966	0.92	1.0	1.437	1.503	1.162	1.298	1.187	1.124	1.06	1.052	0.787	1.24	1.313	1.114	1.005	0.992	0.11	0.55	0.91	0.032	0.8	0.32	1.0	2.7E-6	0.0089	0.16	0.0033	0.085	0.13	0.4	0.53	0.025	0.34	0.012	0.14	0.95	0.94
JMJD1C	1.125	1.079	1.368	1.011	1.017	0.829	0.986	0.901	1.065	0.96	0.793	0.932	1.009	1.154	1.117	1.373	0.894	1.074	0.823	1.075	1.034	0.13	0.39	0.02	0.92	0.91	0.068	0.84	0.2	0.67	0.7	0.017	0.4	0.9	0.033	0.17	0.0065	0.62	0.49	0.0072	0.37	0.76
