Gene	TSG_probability	OG_probability	H3K4me3_peak_length	NonSilent_silent_ratio	VEST_score	Exon_conservation_phastCons_score	TSG_all	OG_all	NG	Rank_TSG
FXR1	0.732704926460699	0.0384080894235787	2506.72	2.83	0.63	0.73	0	0	0	712
PRMT5	0.675533262760763	0.42740677979851	2709.99	4.12	0.66	0.74	0	0	0	832
XRN2	0.8327740779045	0.199667430553625	2259.18	2.96	0.64	0.71	0	0	0	498
EIF2C3	0.877830039102457	0.466108161185685	2429.15	6.47	0.71	0.67	0	0	0	418
RPS3	0.737743941091061	0.0405414263596189	2807.52	2.29	0.7	0.73	0	0	0	703
ASCC3	0.691674197183214	0.0669591969626465	2298.03	5.59	0.64	0.72	0	0	0	793
SRSF2	0.999999066718086	0.999999999998993	0	2.6	0.6	0.58	0	1	0	26
PIK3R2	0.721992464276998	0.897057056605928	2872.89	5.04	0.56	0.63	0	0	0	728
ANKLE2	0.888614104418773	0.0143731220465082	2253.36	3.12	0.43	0.62	0	0	0	392
CCBL2	0.859343892693658	0.123562181218016	2372.59	5.11	0.58	0.7	0	0	0	455
JMJD1C	0.991407871716933	0.989662846350716	5528.26	4.88	0.49	0.73	0	0	0	139
NIPA2	0.64711881038754	0.0948439341294604	2423.52	3.95	0.64	0.58	0	0	0	917
WIBG	0.764336663197945	0.432715043523851	5702.52	3.06	0.46	0.7	0	0	0	642
CAMSAP1	0.780482774748699	0.0392627802008426	2122.5	2.86	0.44	0.68	0	0	0	615
DDX54	0.644777188874081	0.261239635831486	1750.03	2.8	0.55	0.67	0	0	0	926
RIMS2	0.900429382664503	0.969844114336935	1222.35	4.07	0.64	0.74	0	0	0	369
TXNDC11	0.671140508161744	0.185666666938453	2850.57	2.83	0.44	0.69	0	0	0	845
B4GALT5	0.651929363928828	0.847596506152217	3046.89	2.65	0.61	0.71	0	0	0	903
TAOK1	0.65808893991412	0.399416027679573	2671.29	4.54	0.62	0.75	0	0	0	885
HNRNPM	0.980932058131737	0.787479256407365	3416.03	3.03	0.62	0.72	0	0	0	181
CCT3	0.97058007941691	0.104290243407146	2578.81	4.15	0.72	0.74	0	0	0	212
MBD6	0.848151872401898	0.767032521628718	4218.16	3.57	0.47	0.71	0	0	0	471
NCOA7	0.823617124415068	0.613771958870468	1953.63	7.44	0.44	0.73	0	0	0	516
AKIRIN1	0.750888235334244	0.536734064248242	2642.88	15.5	0.67	0.63	0	0	0	670
UBR2	0.641995379112282	0.198965693231291	2896.38	3.94	0.56	0.71	0	0	0	935
TMEM189-UBE2V1	0.893343099516504	0.844840803706129	4425.53	3.13	0.7	0.68	0	0	0	378
NEMF	0.737933679994151	0.0295776428960048	2122.42	4.55	0.56	0.69	0	0	0	702
MDN1	0.894356822306419	0.0306459806775723	2281.04	3.85	0.51	0.68	0	0	0	376
NAPA	0.652691034662169	0.0680652352120243	3192.39	2.04	0.66	0.72	0	0	0	898
PSMD7	0.747534062493292	0.0187331761187336	2088.27	2.75	0.7	0.7	0	0	0	679
SNRPB	0.887966459150449	0.513390775555258	2405.15	3.19	0.69	0.7	0	0	0	395
XPO6	0.662883903005653	0.395417134419638	2592.11	2.2	0.7	0.75	0	0	0	872
RBFOX2	0.800993502678294	0.973572893948456	4165.73	3.97	0.67	0.74	0	0	0	563
TGFBR1	0.806620111373523	0.872632128496541	866.59	12.83	0.75	0.73	0	0	0	550
STAU2	0.63505916901676	0.75029531875307	2389.56	4.44	0.59	0.75	0	0	0	950
ADRBK1	0.964241661176371	0.901608959762789	4638.88	2.96	0.61	0.71	0	0	0	224
HDAC4	0.956060692096291	0.420051563109375	2495.59	2.34	0.62	0.67	0	0	0	238
MYO18A	0.789246190018869	0.736563339749152	2007.86	2.79	0.57	0.73	0	0	0	590
VOPP1	0.794953325046229	0.417352877254019	3068.47	1.91	0.54	0.62	0	0	0	577
HJURP	0.92935559564429	0.957421957844276	2363.67	5.71	0.22	0.6	0	0	0	298
STAMBPL1	0.834468201600064	0.028242545674606	2906.54	5.63	0.54	0.7	0	0	0	492
ADAM9	0.787522153233592	0.195404631106902	3572.78	3.93	0.51	0.72	0	0	0	596
TAF1	0.930100089856762	0.230350481155278	2261.91	7.19	0.61	0.72	0	0	0	296
SWAP70	0.668434101992559	0.0217427949322942	2317.22	5.17	0.52	0.71	0	0	0	855
IWS1	0.689876201050893	0.155983364218999	1960.82	4.89	0.44	0.71	0	0	0	795
CSTF3	0.644813675784559	0.202367767360773	2959.04	2.98	0.64	0.77	0	0	0	925
NFIC	0.937921288248753	0.716470588997517	3745.32	2.75	0.71	0.69	0	0	0	272
SBF2	0.64914254750226	0.0505441309492927	1670.41	4.13	0.6	0.73	0	0	0	907
ZBTB1	0.817869549788844	0.922190073427549	4432.78	5.13	0.49	0.65	0	0	0	526
ABHD2	0.820927499745144	0.364877472411324	3853.27	2.57	0.61	0.71	0	0	0	521
NUP155	0.849214897333444	0.0479203418137797	2311.34	2.84	0.67	0.7	0	0	0	469
UPF2	0.660350041473494	0.774811399288184	2282.63	4.4	0.63	0.75	0	0	0	877
SMC3	0.70225383491468	0.322616115675214	2834.57	1.77	0.68	0.77	0	0	0	775
MTHFR	0.785533113037246	0.884745876690215	4773.84	2.31	0.6	0.71	0	0	0	603
SLC15A4	0.630648108934031	0.0083375630487009	3029.63	2.32	0.49	0.68	0	0	0	957
TNPO3	0.919912215422217	0.0352854595279919	2127.4	3.08	0.7	0.76	0	0	0	318
RANBP3	0.738629836356576	0.50323310777707	2094.69	3.22	0.55	0.69	0	0	0	701
FAM13B	0.799506084418388	0.204775191737808	2373.99	5.51	0.54	0.72	0	0	0	567
NAA25	0.878424345029504	0.463576920826748	2184.94	5.4	0.54	0.72	0	0	0	414
SEC62	0.648936670648471	0.538178455948228	2260.02	4.67	0.53	0.72	0	0	0	909
COL4A1	0.681534345039206	0.805672189575624	990	3.09	0.55	0.66	0	0	0	815
GPBP1L1	0.659090414579542	0.40052034751852	4439.18	2.68	0.57	0.75	0	0	0	881
PIK3C2B	0.719581282735356	0.725364731665099	2412.76	2.95	0.56	0.72	0	0	0	736
MIB1	0.717094005677114	0.188361122750537	2956.96	4.89	0.74	0.58	0	0	0	741
SAP130	0.712665102474991	0.408895457492457	2171.25	2.92	0.64	0.73	0	0	0	748
CDC5L	0.923988602793054	0.0458782149681724	2247.51	2.7	0.61	0.76	0	0	0	307
CAMTA2	0.811910273275359	0.346644290057152	2099.88	2.82	0.53	0.71	0	0	0	537
WDR33	0.71164121509176	0.587021514300053	2306.35	4.65	0.61	0.71	0	0	0	753
NR6A1	0.639794534323628	0.247711413504317	2867.75	3.32	0.67	0.73	0	0	0	939
FAM69A	0.924797688343493	0.106570789154091	3088.39	9.33	0.5	0.65	0	0	0	305
HIST1H2BD	0.920094857032674	0.732858316234302	3477.55	3.26	0.59	0.62	0	0	0	316
NXF1	0.861633125721498	0.762657742053174	1955.79	4.18	0.51	0.69	0	0	0	449
AGAP1	0.748702801866591	0.0671220857300925	2780.55	2.59	0.68	0.72	0	0	0	674
SEC24C	0.756965212806186	0.629445085893237	1960.94	3.93	0.57	0.77	0	0	0	657
SMS	0.808424194718699	0.587447403358811	3079.19	2.59	0.59	0.7	0	0	0	545
CSNK1D	0.66700456158126	0.615953602417452	2995.41	2.5	0.74	0.75	0	0	0	862
GXYLT1	0.687886269071583	0.639936709308126	1872.28	5.75	0.65	0.69	0	0	0	805
PRKACA	0.999262205839034	0.999999442207642	3216.65	10.25	0.77	0.71	0	1	0	70
XPOT	0.843090515873942	0.129326868790291	2283.32	3.13	0.66	0.7	0	0	0	479
FRG1	0.800382327669115	0.747595233199046	762.07	8.83	0.55	0.64	0	0	0	566
KARS	0.919042629482774	0.0380449490413629	1431.88	4.32	0.68	0.75	0	0	0	319
ELAVL2	0.785354116809225	0.207404721280632	3835.44	1.77	0.77	0.82	0	0	0	605
TAF1D	0.66967729886663	0.013523044152153	4855.42	4.73	0.32	0.59	0	0	0	851
EIF1AX	0.999296345584627	0.883497033711625	2421.61	18.63	0.6	0.73	0	0	0	67
GIGYF2	0.983434624384212	0.753493530522041	2322.45	6.8	0.57	0.69	0	0	0	169
RPS11	0.664892924796652	0.212191534630009	3339.33	2.42	0.69	0.68	0	0	0	866
SNRNP70	0.776783810400312	0.651538092346093	2217.69	4.5	0.43	0.72	0	0	0	618
FBL	0.932781971261518	0.128031799783706	2861.79	3.74	0.61	0.67	0	0	0	289
MAP3K12	0.742115681564061	0.886944626936123	3355.59	3.99	0.52	0.74	0	0	0	693
COPS5	0.79525419579579	0.202871781573334	4950.37	3	0.63	0.75	0	0	0	576
TAF1B	0.707414650102991	0.0105287537470063	2011.29	5.21	0.42	0.67	0	0	0	765
NUP85	0.696681647993895	0.120763849339511	1808.18	2.51	0.6	0.68	0	0	0	784
RBM27	0.808619503490618	0.73848589346246	2237.66	4.61	0.54	0.69	0	0	0	544
ERGIC1	0.774135416100818	0.930157863723709	2608.78	1.48	0.71	0.71	0	0	0	625
CS	0.808023031303502	0.849199979900023	2143.68	7.11	0.67	0.73	0	0	0	548
EPN1	0.76674385565438	0.084324711918115	2402.13	2.57	0.51	0.64	0	0	0	636
LRP5	0.720191280372921	0.044454139614014	2702.24	2.24	0.63	0.68	0	0	0	733
TFAM	0.889576614920116	0.0871384135340107	2170.11	19.5	0.33	0.63	0	0	1	390
CHMP4B	0.727086719378097	0.0539818570644448	2263.97	2.06	0.55	0.73	0	0	0	719
NAA35	0.658211245940861	0.195517488134936	2105.11	6.5	0.66	0.76	0	0	0	884
PPP4C	0.734373246273593	0.228488803107645	1957.41	5.08	0.65	0.74	0	0	0	707
UBE2L3	0.647606702159887	0.180080024044379	2573.08	2.36	0.68	0.7	0	0	0	914
SF3A1	0.698554134784696	0.406451988072955	2007.79	1.88	0.66	0.74	0	0	0	778
SYNE2	0.650693914857811	0.135668026063581	1157.59	3.51	0.43	0.68	0	0	0	905
POLR2A	0.883553745211974	0.56866168556802	2644.09	2.83	0.65	0.74	0	0	0	404
EPRS	0.82611410211744	0.0566347154169746	2105.56	4.78	0.61	0.72	0	0	0	512
HLA-A	0.903242173691562	0.714314728773989	2140.05	2.73	0.3	0.56	0	0	0	357
STK38	0.648972886251206	0.256534126797763	2657.44	4.36	0.72	0.77	0	0	0	908
DARS	0.737341144132387	0.0331101691139727	2064.19	3.91	0.72	0.7	0	0	0	704
CASC3	0.710736814345953	0.360078258914563	1697.94	2.95	0.53	0.71	0	0	0	755
TBC1D14	0.961550827684638	0.195447418031666	3141.37	2.65	0.52	0.73	0	0	0	228
COPS3	0.650450559311867	0.0414815934703166	2045.81	5.75	0.72	0.75	0	0	0	906
PRPF19	0.873713018144727	0.103222105353004	1982.85	2.04	0.68	0.72	0	0	0	424
MAP2K2	0.876745539762974	0.547828323682378	2027.14	1.06	0.7	0.68	0	1	0	422
CDC27	0.96683545869486	0.997140771851259	630.4	2.75	0.66	0.74	0	0	0	218
ERH	0.652240206404567	0.084544284354673	2635.3	2.29	0.72	0.78	0	0	0	901
GCN1L1	0.864173674736992	0.523890634715109	1414.75	2.4	0.63	0.71	0	0	0	445
PSMD12	0.77614594170242	0.111544079121756	2327.51	3.4	0.61	0.73	0	0	0	620
MMS22L	0.677184982628269	0.0174678910523278	2021.65	3.41	0.52	0.67	0	0	0	827
BAI3	0.676977136508442	0.884215691911944	2606.03	3.77	0.67	0.76	0	0	0	828
COG3	0.7255910602813	0.0494725851239427	2059.63	3.23	0.61	0.73	0	0	0	724
URB1	0.673679016635699	0.0284346713006385	1862.31	2.08	0.35	0.66	0	0	1	839
NTM	0.648543703252868	0.37185108703622	1836.27	2.44	0.61	0.69	0	0	0	911
ANKFY1	0.759802365005959	0.224103531091525	1875.49	2.83	0.7	0.71	0	0	0	650
CYTH1	0.815454805329252	0.325917578770726	2904.31	3.08	0.71	0.74	0	0	0	531
SNW1	0.69108431570627	0.110496525859683	1762.65	4.73	0.68	0.76	0	0	0	794
CRTC3	0.661435216272504	0.0947736249368816	1974.56	3.96	0.42	0.71	0	0	0	874
UCP2	0.782152749351934	0.883882130691572	3106.2	5	0.68	0.73	0	0	0	612
PALM2-AKAP2	0.831405437565766	0.673915905474662	3157.14	3.91	0.44	0.72	0	0	0	502
TMEM87A	0.725964005368432	0.158876287305943	2466.11	5.53	0.61	0.69	0	0	0	723
ATP6V1C1	0.784779867380252	0.0526604667415521	4207.4	2.77	0.67	0.69	0	0	0	606
RPL12	0.788986013738969	0.0611152688038602	2981.7	3.25	0.69	0.75	0	0	0	593
NPAT	0.652616373592785	0.162489669338729	1771.84	3.77	0.36	0.67	0	0	0	899
DIP2C	0.635774844456524	0.345953574852615	937.06	2.44	0.73	0.71	0	0	0	948
FLT1	0.767940813086138	0.256762828712549	2438.61	5.42	0.49	0.67	0	0	0	633
AARS	0.864189011480097	0.112749858604245	2207.83	2.5	0.68	0.73	0	0	0	444
MYD88	0.999999999999996	1	3206.53	75.92	0.55	0.63	0	1	0	9
CSNK2A1	0.97320965173418	0.886720994858468	2739.8	8.11	0.69	0.76	0	0	0	206
ARL8B	0.765711984676277	0.0661305123653521	2223.87	4.75	0.7	0.73	0	0	0	638
SNRNP200	0.915047137335064	0.0274487087189001	1712.06	1.97	0.69	0.74	0	0	0	329
TUBGCP3	0.862074772715068	0.104567907080691	2006.5	4.72	0.59	0.69	0	0	0	448
SMO	0.696131590139728	0.83514503317705	1766.22	7.67	0.61	0.74	0	1	0	786
RBM17	0.694066143560318	0.159110502796779	2041.59	4	0.6	0.68	0	0	0	789
DDX42	0.796593363035237	0.405987290661842	3040.27	4.39	0.59	0.75	0	0	0	574
PSMD1	0.762775779950976	0.109695436701386	1897.93	3.6	0.67	0.76	0	0	0	646
ECE1	0.954699504294309	0.827165705742902	3266.87	3.28	0.61	0.69	0	0	0	244
PRPF8	0.981675007597529	0.643266211888043	1863.85	2.38	0.8	0.79	0	0	0	177
SNRPC	0.683010633992746	0.477937366696238	1650.11	8	0.67	0.68	0	0	0	812
KRR1	0.803598142039999	0.0195200942815581	1796	3.35	0.6	0.74	0	0	0	558
MEPCE	0.72050808101069	0.846063749951122	4355.48	4	0.46	0.71	0	0	0	731
TMEM41A	0.706120923029504	0.000817002900738296	1895.89	8.38	0.55	0.65	0	0	0	770
RQCD1	0.907476510693761	0.899458832468353	2792.9	4.18	0.74	0.73	0	0	0	343
POLR3H	0.740791537510841	0.0252978815338752	2155.15	3.54	0.75	0.66	0	0	0	696
POLR3B	0.718171685209681	0.00506272484081587	1686.27	3.42	0.75	0.76	0	0	0	739
SBF1	0.779653341005073	0.205718423053418	2756.63	2.46	0.58	0.67	0	0	0	616
UBAP2L	0.782939753045782	0.847199652425422	2813.57	2.66	0.58	0.74	0	0	0	609
PELP1	0.802921640626633	0.218112084304156	1738.32	2.88	0.49	0.66	0	0	0	559
DGKD	0.803623139876919	0.0713085200011667	2594.55	2.58	0.63	0.68	0	0	0	557
AMBRA1	0.667515071133741	0.712263014162217	2272.2	2.78	0.65	0.75	0	0	0	859
EIF2S1	0.933829809801837	0.190464824905136	2489.59	7.14	0.68	0.73	0	0	0	284
ANO6	0.64322194956432	0.223197374611034	2992.6	3.43	0.55	0.68	0	0	0	928
MCM6	0.678584196233494	0.0621952012116887	1906.53	4.37	0.67	0.7	0	0	0	822
CDC16	0.835986289016253	0.0402085475269167	1612.68	4.22	0.67	0.73	0	0	0	490
MARS	0.903247633335319	0.037312953404005	1613.92	3.11	0.57	0.7	0	0	0	356
KDR	0.868328224458822	0.883190374033967	2449.55	6	0.51	0.7	0	1	0	433
SH3GL1	0.831055508021523	0.746149372442149	2131.06	2.36	0.66	0.63	0	1	0	504
RPTOR	0.988427588498617	0.668775143666417	1644.51	2.63	0.72	0.72	0	0	0	155
MED6	0.733870107805765	0.117481868793293	1642.28	7.67	0.67	0.71	0	0	0	709
RAPGEF3	0.688065592681606	0.760982202649943	2492.05	1.96	0.58	0.66	0	0	0	804
CRNKL1	0.756690892125532	0.00265522880268723	1687.74	4.3	0.51	0.73	0	0	0	659
SLC25A25	0.915679473487976	0.686648479400665	3697.42	1.76	0.56	0.69	0	0	0	327
PSMA2	0.781692694258745	0.0545493659107547	2782.35	2.25	0.75	0.71	0	0	0	613
CCT2	0.634329707983967	0.0167292353291375	1597.55	2.61	0.67	0.72	0	0	0	952
HIST1H3B	0.887733134684142	0.790536472260665	0	7.53	0.82	0.59	0	1	0	396
BCAS2	0.814079403873879	0.00221482848662804	1517.45	9.4	0.63	0.66	0	0	0	534
NOP14	0.648369508564908	0.0240826374833847	2691.09	2.91	0.49	0.62	0	0	0	912
UBE2O	0.853265779347637	0.0460206526976883	1958	2.49	0.55	0.69	0	0	0	462
MTMR3	0.721847760233782	0.143545069050261	1814	3.46	0.54	0.75	0	0	0	729
RAE1	0.663232194328989	0.00670820753949688	1458.05	3.35	0.71	0.72	0	0	0	871
RRP12	0.707040727946507	0.0102616730690741	1463.16	2.41	0.51	0.7	0	0	0	766
LPXN	0.671575550358285	0.0661238362813135	4220.3	2.77	0.4	0.69	0	0	0	842
SAE1	0.988557248570896	0.829129067102556	2166.71	3.14	0.58	0.7	0	0	0	154
TRIM71	0.744171993411195	0.0716456685838953	3840.35	2.25	0.56	0.7	0	0	1	686
SMU1	0.821259985066958	0.132827937087761	1307.51	2.03	0.53	0.7	0	0	0	518
SCARB1	0.760112490120096	0.280203740166995	1781.44	2.51	0.45	0.65	0	0	0	649
CDC123	0.837743290257333	0.0383544644760643	1555.83	3.17	0.66	0.68	0	0	0	486
AKNA	0.663547193615877	0.116227521702576	3331.24	3.19	0.31	0.65	0	0	0	869
CRTC1	0.648570225729377	0.558378695663527	1384.65	3.61	0.63	0.66	0	1	0	910
SYNE1	0.776673042609892	0.0821190330038982	1490.28	3.76	0.52	0.71	0	0	0	619
MYO1C	0.917609001763906	0.344894828506601	6923.27	2.22	0.67	0.73	0	0	0	322
LONP1	0.786167022910583	0.570834267822187	2385.64	1.73	0.66	0.68	0	0	0	601
ZBTB17	0.700453503741204	0.612304946081041	1498.24	2.19	0.51	0.66	0	0	0	777
HRAS	0.999999999980014	0.999999943099427	330	16.83	0.75	0.65	0	1	0	12
CEBPZ	0.747801317460589	0.0298744708444507	2682.38	3.97	0.46	0.66	0	0	0	678
DDB1	0.763348202977185	0.318388615873878	2473.35	3.63	0.72	0.74	0	0	0	644
FAM19A2	0.740026531274444	0.770536848604424	3591.14	4.18	0.65	0.75	0	0	0	699
ACO2	0.89193586997393	0.105285683605802	1765.44	2.31	0.69	0.69	0	0	0	384
PHF5A	0.671199127179265	0.385504641780303	1951.32	2.57	0.76	0.74	0	0	0	844
CCDC88C	0.651894523716648	0.0644681489934906	3618.47	2.32	0.42	0.68	0	0	0	904
NUMA1	0.630379220393625	0.921973017430888	2223.55	3.1	0.45	0.69	0	0	0	958
RPS6KB1	0.787899918096704	0.0323372231227077	1967.49	2.88	0.61	0.74	0	0	0	595
RPA2	0.658739999753021	0.0351931378379372	1236.08	7.38	0.46	0.65	0	0	0	882
KRT8	0.627832462420414	0.370332495599893	2485.32	2.39	0.45	0.63	0	0	0	963
ZNF717	0.912658847876877	0.122671482961863	1281.72	4.45	0.13	0.59	0	0	0	332
EIF3I	0.63567635680947	0.248547455970168	1834.38	4.59	0.64	0.67	0	0	0	949
NUP62	0.813432457875958	0.0779235909379779	2497.13	3.16	0.4	0.55	0	0	0	535
PIK3CD	0.661183691272733	0.236489101936984	1883.09	4.84	0.58	0.68	0	0	0	875
HACL1	0.998516621553689	4.03189777922826e-10	1551.41	5.12	0.59	0.68	0	0	0	88
SMG6	0.836370760373081	0.589412323728324	2059.61	3.08	0.56	0.74	0	0	0	489
CAND2	0.672546821589625	0.00126422886633075	2947.15	2.19	0.46	0.7	0	0	0	841
ELF1	0.783493270438933	0.349003214627257	3777.98	4.97	0.48	0.71	0	0	0	608
KCNJ5	0.999865785315678	0.999998909886803	753.33	15.25	0.64	0.62	0	1	0	46
LAPTM5	0.744780217608499	0.0805038669318919	4288.65	2.12	0.5	0.7	0	0	0	684
ITGB4	0.667179241071475	0.106654060112609	1610.63	2.49	0.54	0.65	0	0	0	861
ERG	0.844151662038793	0.962204030726226	1852.66	6.12	0.65	0.71	0	1	0	477
KCNH2	0.640294239213993	0.239686647667053	3110.47	3.12	0.6	0.68	0	0	0	938
NUP210	0.65771575635225	0.00436196444322598	2464.43	2.41	0.49	0.66	0	0	0	887
ZC3H7A	0.787484543160763	0.291769828066316	2288.43	3.22	0.51	0.72	0	0	0	597
TRIOBP	0.906536123111145	0.0679538520904109	3622.33	3.62	0.33	0.63	0	0	0	344
CARD11	0.913991686600588	0.635920836246427	1280.87	5	0.54	0.67	0	1	0	330
CACNA1H	0.793653044568847	0.0841050953333283	2287.83	2.82	0.5	0.65	0	0	0	583
GRM3	0.711610020356093	0.681166783041409	1501.33	2.68	0.61	0.77	0	1	0	754
TTN	0.85794373213167	5.47788475091936e-05	2169.1	3.98	0.49	0.71	0	0	0	456
SH2D3C	0.666610483995993	0.0705326837058513	1988.87	2.28	0.5	0.68	0	0	0	864
CCR7	0.688748791571879	0.667789694603069	2690.25	3.31	0.43	0.6	0	1	0	800
CTBP2	0.997860035854163	0.977865756009723	5631.9	3.25	0.58	0.72	0	0	0	95
CACNA1E	0.768337520588132	0.384658681219579	1796.57	2.98	0.6	0.74	0	0	0	632
RBFOX1	0.732107326606088	0.969589515501113	457.54	2.64	0.71	0.75	0	0	0	713
ZBTB38	0.6872253712394	0.771511157233463	2946.56	2.9	0.32	0.58	0	0	0	806
RAPGEF1	0.956551411631847	0.816466859920552	2793.06	2.9	0.58	0.71	0	0	0	235
PDE7A	0.76907519163454	0.385276126868793	3713.42	3.31	0.56	0.7	0	0	0	631
PRRC2B	0.987544490375893	0.922722123883061	4290.97	2.41	0.52	0.71	0	0	0	158
SLC4A7	0.864058213009986	0.189944853005892	2959.47	6.04	0.62	0.74	0	0	0	446
GRLF1	0.871046448013244	0.259781555687505	1197.16	5.14	0.58	0.58	0	0	0	430
ANK3	0.772434523384066	0.573016053257784	1931.53	3.84	0.54	0.77	0	0	0	628
KIAA1267	0.896674110082243	0.86692879000028	4755.94	4.79	0.51	0.58	0	0	0	372
ASAP1	0.796956192265297	0.130463276302031	2991.16	2.37	0.61	0.72	0	0	0	571
C5ORF13	0.681302601829878	0.23028212186449	3353.4	9.75	0.32	0.58	0	0	0	816
KIAA1432	0.708036236875967	0.0241725375743686	2813.11	3.55	0.65	0.72	0	0	0	763
TCF20	0.891383751645334	0.177498850369533	2366.3	3.81	0.52	0.71	0	0	0	388
AQP7	0.997831640020081	0.99689397073122	1194.41	3.01	0.43	0.57	0	0	0	96
LPHN3	0.69374919294334	0.171048213446622	2295.75	3.02	0.65	0.75	0	0	1	791
SBNO1	0.988791716506853	0.682319994243541	2218.41	6.73	0.67	0.74	0	0	0	153
KAT8	0.794833885937489	0.129287521722297	1928.3	4.91	0.61	0.67	0	0	0	578
H3F3A	0.999999999990488	0.999999999868769	4337.61	53.1	0.66	0.7	0	1	0	11
YPEL5	0.663518433540683	0.182390094569128	2765.44	2.6	0.67	0.68	0	0	0	870
CCDC12	0.905979475962784	0.33111091862649	6017.12	1.68	0.44	0.7	0	0	0	347
KAT7	0.896819819698411	0.911941717881894	1545.43	5.07	0.65	0.77	0	1	0	371
ANKRD50	0.804756271027503	0.474931840566485	3612.49	5.07	0.67	0.73	0	0	0	555
IFFO2	0.808282066831343	0.62486036697702	4116.39	2.86	0.52	0.7	0	0	0	546
C20ORF112	0.855892203097648	0.826656585031755	3711.63	2.49	0.64	0.58	0	0	0	460
ANKHD1	0.70855658229223	0.325510417763156	2867.75	5.59	0.63	0.68	0	0	0	762
MCMBP	0.718119684020872	0.16961265850042	2383.09	4.57	0.6	0.7	0	0	0	740
UBAP2	0.660706383142409	0.148614870419711	2536.97	3.49	0.5	0.69	0	0	0	876
DDX39B	0.782374273290109	0.913803401487788	2752.59	4.86	0.6	0.76	0	0	0	611
SDE2	0.802747647425935	0.103581179874561	2066.47	2.42	0.43	0.65	0	0	0	560
IGLL5	0.843805866723965	0.722141899649191	4802.12	1.88	0.25	0.57	0	0	0	478
KIAA0947	0.633566554981399	0.240012970650245	3116.32	3.88	0.31	0.68	0	0	0	953
PAXBP1	0.839948550508097	0.484787591799659	2804.51	3.87	0.56	0.74	0	0	0	482
C16ORF72	0.97975446233966	0.984377296475959	5080.16	6.09	0.57	0.58	0	0	0	183
PKM	0.948246637452212	0.841852200577366	5414.77	2.61	0.67	0.75	0	0	0	255
CLEC16A	0.654394151128399	0.0638321693621181	988.91	2.33	0.57	0.72	0	0	0	893
KANSL3	0.659718728991017	0.747337583521824	2271.35	5	0.51	0.73	0	0	0	878
FAM102A	0.85014089553647	0.963786628443679	5109.28	2.88	0.59	0.69	0	0	0	466
ELMSAN1	0.93544286134438	0.804677007043299	5095.03	2.52	0.43	0.69	0	0	0	280
ARHGAP35	0.859539544450179	0.840707894952512	1197.16	4.57	0.58	0.58	0	0	0	454
GSE1	0.988027276534626	0.579524355919754	5773.09	2.21	0.57	0.67	0	0	0	157
HLA-B	0.626631772427664	0.839603580687001	1357.41	3.89	0.27	0.6	0	0	0	964
KANSL1	0.841345842996567	0.43629309738874	4755.94	4.52	0.51	0.66	0	0	0	480
WDR47	0.746191471243638	0.442850976298718	1996.9	8	0.69	0.75	0	0	0	681
