Gene	Gene_betweenness_centrality	Gene_closeness_centrality	Gene_Degree	TSG.All.Set	OG.All.Set	Neutral.Genes
NOL6	1.94E-5	0.38990195	68	0	0	0
DDX50	1.028E-5	0.38787851	63	0	0	0
GTF2F1	1.5069E-4	0.39299547	115	0	0	0
TAF4	6.048E-5	0.39598855	76	0	0	0
CTR9	1.7986E-4	0.399275	133	0	0	0
SPPL3	1.017E-5	0.33826322	17	0	0	0
UQCR11	1.54E-6	0.32722866	5	0	0	0
FSD1L	4.2E-7	0.34473386	4	0	0	0
GCH1	1.4192E-4	0.35083087	51	0	0	0
EEF2K	9.56E-6	0.36243587	38	0	0	0
CLN6	2.87E-6	0.37176356	17	0	0	1
SUV420H2	2.65E-6	0.34856655	12	0	0	0
AKTIP	6.922E-5	0.38892373	90	0	0	0
STX7	1.6923E-4	0.38305953	119	0	0	0
TTF1	8.95E-6	0.36911612	32	0	0	0
TBCD	1.6946E-4	0.40529679	63	0	0	0
SH2B2	2.95E-6	0.35874689	23	0	0	0
ZNF362	9.6E-7	0.371937	9	0	0	1
ZNF555	2.23E-6	0.34347496	7	0	0	1
DDX23	6.896E-5	0.40384012	106	0	0	0
ZNF181	0.0	0.27111233	1	0	0	1
GPR162	0	0	0	0	0	1
POGK	4.4E-6	0.36041505	9	0	0	1
CEP68	1.18E-6	0.3519593	13	0	0	0
GPR37	2.48E-5	0.37104674	31	0	0	1
RBM22	1.53E-5	0.38113233	54	0	0	0
PLAGL1	5.8E-7	0.36022118	20	0	0	0
NDUFB10	2.952E-5	0.38807631	87	0	0	0
STAU1	4.7973E-4	0.43431566	391	0	0	0
FTSJ1	1.758E-5	0.37794885	22	0	0	0
CENPF	5.77E-5	0.38919497	53	0	0	0
TARBP2	8.32E-5	0.38812129	83	0	0	0
MAP3K12	1.314E-5	0.36530657	14	0	0	0
TP53	0.01191097	0.4716322	1501	1	1	0
WRAP53	3.241E-5	0.37338032	52	0	0	0
SMARCA1	5.433E-5	0.38235093	57	0	0	0
BACE1	1.3529E-4	0.36013595	28	0	0	0
CSPP1	1.702E-5	0.34835622	57	0	0	0
COPS5	0.00508519	0.45949061	896	0	0	0
TIGD2	2.28E-6	0.33320065	3	0	0	0
DAD1	3.157E-5	0.36031422	27	0	0	0
SMAP2	2.54E-5	0.34919178	30	0	0	0
DHRSX	6.04E-6	0.34979003	5	0	0	0
TAF1B	2.154E-5	0.38400844	50	0	0	0
SLX4	3.033E-5	0.39544606	64	0	0	0
TFRC	3.3108E-4	0.42125657	138	0	0	0
SLC22A23	9.83E-6	0.34221822	15	0	0	0
DGCR6L	5.22E-6	0.32874507	15	0	0	0
YME1L1	3.982E-5	0.38600941	55	0	0	0
MASTL	1.948E-5	0.35775798	39	0	0	0
RSRC1	1.269E-5	0.36534643	46	0	0	0
CSRP2	2.68E-6	0.37345528	20	0	0	0
STX6	1.2193E-4	0.38877923	81	0	0	0
SORT1	2.8917E-4	0.39506348	139	0	0	0
LYPD1	7.93E-6	0.33050379	19	0	0	0
DNAJC1	3.121E-5	0.37700414	32	0	0	0
TRIM44	1.1493E-4	0.37298104	66	0	0	0
DDX59	8.5E-7	0.35853946	12	0	0	0
PREX1	1.66E-6	0.37269874	18	0	0	0
JTB	3.37E-6	0.3456734	7	0	0	0
GIGYF1	5.536E-5	0.37236716	99	0	0	0
DCK	2.805E-5	0.37313067	32	0	0	0
C2CD2L	3.99E-5	0.3558796	23	0	0	0
GATAD2A	3.883E-5	0.39846725	84	0	0	0
NUP85	6.092E-5	0.39946553	77	0	0	0
YAF2	9.005E-5	0.39762499	158	0	0	0
CSTF2T	1.884E-5	0.38262181	38	0	0	0
FHOD3	0.0	0.316203	3	0	0	0
MED7	7.362E-5	0.36839326	89	0	0	1
FUBP3	1.412E-4	0.40329535	87	0	0	0
SF3B4	1.28E-4	0.41620883	160	0	0	0
RBM27	3.617E-5	0.39347576	55	0	0	0
LRRC8D	7.59E-6	0.37182135	10	0	0	0
LIG3	1.0497E-4	0.40872028	89	0	0	0
ZC3H18	1.7472E-4	0.40693209	155	0	0	0
PMVK	1.982E-5	0.35668328	31	0	0	1
MINK1	1.689E-5	0.38786952	21	0	0	0
PTAR1	1.7258E-4	0.34617373	73	0	0	0
NSUN4	2.755E-5	0.36940932	30	0	0	0
ZNF789	0	0	0	0	0	1
IPO8	1.2406E-4	0.39576389	82	0	0	0
PPM1G	2.3153E-4	0.40685298	158	0	0	0
SSBP1	1.9795E-4	0.4242885	173	0	0	0
CRELD1	9.92E-6	0.34545229	22	0	0	1
AMFR	3.288E-4	0.40159275	170	0	0	0
GLRX2	7.2E-7	0.32638659	8	0	0	0
PRKCI	2.1199E-4	0.41907384	117	0	0	0
N4BP2L2	1.911E-5	0.34194563	30	0	0	0
CD2BP2	2.0898E-4	0.4057683	176	0	0	0
TEX2	3.51E-6	0.37480971	12	0	0	0
GPRC5B	2.303E-5	0.34888616	20	0	0	0
PI4K2B	1.231E-5	0.36578545	27	0	0	0
KIAA0232	5.068E-5	0.3680693	36	0	0	0
ERGIC1	2.511E-5	0.38935789	36	0	0	0
LY6E	2.11E-6	0.34778454	4	0	0	0
PSMA4	1.3667E-4	0.41323987	177	0	0	0
RYBP	7.114E-5	0.39307851	97	0	0	0
C7ORF68	0	0	0	0	0	0
KIAA0513	2.7E-7	0.35701034	4	0	0	0
CASP8AP2	1.0E-5	0.3699399	32	0	0	0
DNAJB5	1.598E-5	0.34277876	33	0	0	0
RNF130	1.5109E-4	0.36977648	34	0	0	0
NUPL1	4.428E-5	0.35886224	54	0	0	0
PPM1A	2.6836E-4	0.37428182	95	0	0	0
PROSAPIP1	3.8E-7	0.33619824	10	0	0	1
CS	5.474E-5	0.39335558	81	0	0	0
UIMC1	2.3212E-4	0.39731359	108	0	0	0
RYK	3.7715E-4	0.38255187	87	0	0	0
MBOAT1	4.64E-6	0.34015319	31	0	0	0
FBXO38	1.9079E-4	0.39590428	129	0	0	0
ITPA	5.629E-5	0.37537275	57	0	0	0
NF1	1.5302E-4	0.4090898	123	1	0	0
CNNM3	6.955E-5	0.38900507	40	0	0	0
ZCCHC7	8.7E-6	0.36291511	30	0	0	0
AGPAT4	2.13E-6	0.31772721	10	0	0	0
PIGY	1.695E-5	0.30105555	2	0	0	0
SERINC2	8.0E-7	0.31414418	8	0	0	1
MOV10	0.00905656	0.45467384	1037	0	0	0
CYCS	1.3234E-4	0.38708932	59	0	0	0
KIAA1715	2.0188E-4	0.38103692	58	0	0	1
RANGAP1	2.0515E-4	0.41964107	153	0	0	0
STK4	1.375E-4	0.39175402	98	0	0	0
ATP9B	2.1E-7	0.35076472	2	0	0	0
DENND5A	2.85E-6	0.37924161	11	0	0	0
ZNF674	0	0	0	0	0	1
PAPSS2	4.91E-6	0.36976015	18	0	0	0
DDX56	4.579E-5	0.40155422	120	0	0	0
ACTR10	2.14E-5	0.34974618	63	0	0	0
BRIP1	3.848E-5	0.37161502	67	1	0	0
CASP4	4.593E-5	0.35745244	34	0	0	0
IL6R	3.654E-5	0.33925025	18	0	0	0
MTMR9	3.59E-5	0.36999713	36	0	0	1
RAB3GAP1	4.488E-5	0.37331371	40	0	0	0
ABHD3	7.6E-7	0.29617181	6	0	0	0
EPN1	1.0565E-4	0.38062111	84	0	0	0
SAT1	1.6177E-4	0.36398817	76	0	0	0
KCTD13	1.605E-5	0.34903163	36	0	0	0
GPSM1	1.773E-5	0.36046161	38	0	0	0
TTYH2	1.51E-6	0.33765605	18	0	0	0
PSMC4	1.7681E-4	0.41748541	215	0	0	0
ALMS1	3.647E-5	0.37997322	54	0	0	0
RPL7L1	1.25E-5	0.38897795	43	0	0	0
ANPEP	2.3E-7	0.32568816	5	0	0	0
PPA1	5.152E-5	0.39791795	79	0	0	0
LRP5	1.4704E-4	0.37308078	43	0	0	0
ABHD12	5.74E-6	0.36999713	16	0	0	0
CLTCL1	1.9959E-4	0.39665466	81	1	0	0
RP11-651P23.5	0	0	0	0	0	0
ZNF264	5.774E-5	0.37554115	26	0	0	0
PPP6C	7.33E-5	0.4172773	169	1	0	0
RIC8B	1.4E-5	0.36553787	25	0	0	0
IFNAR1	1.284E-4	0.36512333	34	0	0	0
DCUN1D1	5.1454E-4	0.40211361	245	0	0	0
TFAM	4.15E-5	0.39785176	85	0	0	1
EID1	2.884E-5	0.36507556	55	0	0	0
GAS2L1	5.31E-6	0.33893433	29	0	0	0
RNF144B	3.79E-6	0.36289938	20	0	0	0
CHMP4B	2.7911E-4	0.38153187	122	0	0	0
NAA35	2.02E-6	0.37192873	10	0	0	0
PEX26	7.0E-6	0.34427308	12	0	0	1
AGPAT3	4.236E-5	0.36117703	26	0	0	0
KLHL2	8.403E-5	0.36593736	75	0	0	0
KPNA2	7.5152E-4	0.43876615	249	0	0	0
PPIB	2.6323E-4	0.41466254	120	0	0	0
MANBA	2.164E-5	0.34908257	19	0	0	0
TSN	1.088E-5	0.37145837	39	0	0	0
KIAA0913	0	0	0	0	0	0
CHCHD1	9.8E-7	0.33136727	13	0	0	0
DYRK3	7.7E-7	0.33515505	7	0	0	0
NUDT16	5.8E-7	0.30988783	8	0	0	1
ENDOV	2.19E-6	0.33300183	11	0	0	0
CNPY2	1.762E-5	0.35887762	17	0	0	0
C19ORF60	1.05E-6	0.32975518	9	0	0	1
ORC5	6.5E-5	0.38931262	66	0	0	1
FMN2	1.051E-5	0.34450686	22	0	0	0
FANCD2	1.2028E-4	0.39949413	155	1	0	0
FXR2	4.4392E-4	0.40593555	176	0	0	0
LPGAT1	1.577E-5	0.38747454	21	0	0	0
DHX30	7.328E-5	0.40480681	126	0	0	0
PPP4C	1.851E-4	0.40191089	92	0	0	0
SNAP23	1.1107E-4	0.39106772	93	0	0	0
UBE2L3	4.4341E-4	0.41660238	219	0	0	0
MFN1	4.539E-5	0.37991286	30	0	0	1
TINF2	4.2374E-4	0.37438225	127	0	0	0
NEK8	8.37E-6	0.35960993	34	0	0	0
PSMD8	1.1682E-4	0.40147718	135	0	0	0
ZNF580	5.8E-7	0.30674802	8	0	0	0
PLXNA1	3.448E-5	0.36596935	32	0	0	0
FAP	9.08E-6	0.34384178	21	0	0	0
FLJ32810	0	0	0	0	0	0
ATL3	1.6319E-4	0.4001434	87	0	0	0
ILKAP	7.952E-5	0.37858984	64	0	0	0
LATS2	3.5637E-4	0.41457013	241	0	0	0
UQCRB	1.0407E-4	0.38917688	91	0	0	0
PSMC3	5.8773E-4	0.42850196	291	0	0	0
SUPT4H1	3.126E-5	0.38193225	33	0	0	0
ERCC6	1.876E-5	0.38709827	72	0	0	0
ZNRF3	2.243E-5	0.35675929	21	1	0	0
STIL	6.974E-5	0.37758232	103	0	1	0
DOCK10	7.15E-6	0.36198136	13	0	0	0
TMEM97	5.656E-5	0.37468388	16	0	0	0
UBASH3B	2.8378E-4	0.40951007	125	0	0	0
NF2	6.2963E-4	0.42563685	280	1	0	0
MAP3K6	1.026E-5	0.352174	21	0	0	0
PGAM5	2.2211E-4	0.4121615	132	0	0	0
HIST1H2BI	5.0E-8	0.33885201	9	0	0	0
HIST1H3G	8.8E-7	0.33562536	12	0	0	0
CIB1	1.625E-5	0.34609501	33	0	0	0
CORO2B	1.46E-6	0.31800482	7	0	0	0
STBD1	1.789E-5	0.34757515	30	0	0	1
KIAA0284	0	0	0	0	0	0
DGCR2	2.05E-6	0.32240795	10	0	0	0
BTAF1	7.384E-5	0.39295857	55	0	0	0
THUMPD2	5.3E-7	0.31403222	7	0	0	1
RPF2	5.12E-5	0.40288774	90	0	0	0
SF3A1	1.3888E-4	0.41157382	216	0	0	0
CHD6	9.13E-6	0.38327877	24	0	0	0
VTI1B	2.5811E-4	0.39070267	103	0	0	0
COL11A1	4.24E-6	0.32382352	9	0	0	0
MGLL	2.55E-6	0.33781957	8	0	0	0
SYNE2	3.575E-5	0.39159825	55	0	0	0
EEPD1	9.12E-6	0.35294614	14	0	0	0
KTI12	2.22E-6	0.34372177	5	0	0	1
BCL7B	6.9E-6	0.35188533	31	0	0	0
NOL11	2.575E-5	0.38997461	35	0	0	1
MLF1IP	2.911E-5	0.35513226	72	0	0	0
KLHL8	2.443E-5	0.3673747	25	0	0	0
GLTP	1.89E-6	0.33735668	8	0	0	1
SMARCAD1	2.0211E-4	0.39370708	147	0	0	0
POLR2A	8.2257E-4	0.43660356	411	0	0	0
ZBTB4	5.7E-7	0.3222342	11	0	0	0
PTPN11	0.00193224	0.41932575	263	0	1	0
RBM15B	3.207E-5	0.38584927	40	0	0	0
MBIP	1.7939E-4	0.37750569	96	0	0	0
CXCL12	1.548E-5	0.32895176	10	0	0	0
PLEKHM2	4.0E-8	0.29903905	3	0	0	0
SPAG5	2.2508E-4	0.37978359	90	0	0	0
FMNL3	8.4E-7	0.35340806	8	0	0	0
CCDC51	2.342E-5	0.35205551	39	0	0	0
MARK1	9.32E-6	0.36754407	23	0	0	0
CBR3	4.37E-6	0.36060136	20	0	0	0
EPRS	1.4867E-4	0.42713542	187	0	0	0
LMAN2	4.275E-5	0.38829232	42	0	0	0
PEX5	5.5567E-4	0.37338032	114	0	0	0
HLA-A	2.6442E-4	0.40198809	103	0	0	0
POP7	2.065E-5	0.3705868	35	0	0	0
POM121	9.294E-5	0.37487685	58	0	0	0
DCTN4	7.565E-5	0.39443057	84	0	0	0
RUNX1	3.8123E-4	0.41711097	239	1	1	0
ELF4	4.1E-7	0.34202247	12	1	1	0
ZNF605	0.0	0.29151504	1	0	0	0
ST3GAL3	1.31E-6	0.3416665	6	0	0	0
PIGM	1.744E-5	0.34389122	14	0	0	0
ELMO2	1.349E-5	0.37376376	22	0	0	1
BCAP29	8.72E-6	0.36507556	17	0	0	0
GFOD2	3.9E-7	0.33554464	4	0	0	0
HOMEZ	2.964E-5	0.36722966	41	0	0	0
ADAMTS3	0.0	0.33664441	1	0	0	0
APOL2	5.246E-5	0.3609123	32	0	0	0
ZNF302	3.61E-6	0.34291215	12	0	0	0
DAPK1	6.3216E-4	0.38696406	155	0	0	0
PDCD2	1.26E-6	0.35248542	16	0	0	0
NECAP1	1.653E-5	0.35582666	22	0	0	0
SH3KBP1	7.9503E-4	0.41818409	291	0	0	0
HSD17B12	2.508E-5	0.39720047	73	0	0	0
ZRSR2	2.74E-5	0.35487632	48	1	0	0
NDUFA9	1.5601E-4	0.41812143	199	0	0	0
STK38	4.058E-5	0.39210267	78	0	0	0
CEP78	1.986E-5	0.36799648	32	0	0	0
TMEM66	2.115E-5	0.35440305	28	0	0	0
TLCD1	1.5E-7	0.29612466	5	0	0	1
FBXO9	3.9E-7	0.34663244	9	0	0	0
ICK	8.26E-5	0.38171455	46	0	0	0
MBP	6.024E-5	0.38108028	66	0	0	0
ATP6V0A1	2.2272E-4	0.3855738	76	0	0	0
PRNP	2.7686E-4	0.38264805	94	0	0	0
CYP20A1	1.406E-5	0.36810976	8	0	0	1
MFSD1	0.0	0.33173496	2	0	0	0
REEP4	7.472E-5	0.3672216	27	0	0	0
HABP4	2.579E-5	0.36666667	111	0	0	0
TCEAL1	4.587E-5	0.37396413	55	0	0	0
GEMIN4	1.1875E-4	0.40430824	135	0	0	0
C12ORF48	0	0	0	0	0	0
RPIA	4.115E-5	0.35942465	37	0	0	0
SAFB	7.103E-5	0.40784409	116	0	0	0
SAFB2	6.203E-5	0.39654192	78	0	0	0
PYGO2	1.49E-6	0.34932293	25	0	0	0
SFT2D1	0.0	0.32706884	3	0	0	0
SIDT2	4.23E-6	0.30068247	16	0	0	0
SNRPF	4.1181E-4	0.41160418	192	0	0	0
CIZ1	6.1E-6	0.36363241	26	0	0	0
UQCRFS1	6.59E-5	0.37360528	85	0	0	0
SLFN11	2.82E-6	0.37076736	19	0	0	0
RBBP5	1.1791E-4	0.40676401	122	0	0	0
UTP23	2.66E-5	0.3770381	42	0	0	0
BUB3	9.134E-5	0.414037	124	0	0	0
PRRC1	1.765E-5	0.37313067	29	0	0	0
AARSD1	1.0258E-4	0.38024938	89	0	0	0
NAGS	0.0	0.32226521	1	0	0	0
ANAPC5	7.105E-5	0.38930357	79	0	0	0
GOLGA3	9.531E-5	0.39367931	55	0	0	0
RABGAP1L	1.9751E-4	0.37686836	73	0	0	0
SOD1	0.00114555	0.42492386	379	0	0	0
CD82	6.214E-5	0.35168575	31	0	0	0
C21ORF33	3.832E-5	0.37685988	68	0	0	0
THAP2	3.52E-6	0.3267433	9	0	0	0
ZFC3H1	1.2095E-4	0.40564049	95	0	0	0
DYNC1I2	4.2626E-4	0.41047393	188	0	0	0
DNM2	3.6326E-4	0.42475137	138	1	0	0
CBY1	1.7338E-4	0.37715702	153	0	0	0
PPIC	7.23E-6	0.35540366	11	0	0	0
VPS13C	6.98E-5	0.3752045	20	0	0	0
SLC25A46	4.356E-5	0.34578764	51	0	0	0
FNIP2	9.9E-7	0.35538857	16	0	0	0
GRPEL2	5.63E-6	0.34628829	11	0	0	0
ZNF672	6.0E-8	0.31375562	2	0	0	0
PTGFR	3.31E-6	0.30607507	15	0	0	1
DARS	7.267E-5	0.41598132	142	0	0	0
ITSN2	1.7487E-4	0.39380895	107	0	0	0
THOC1	9.176E-5	0.38855366	125	0	0	0
NFXL1	5.47E-6	0.38399963	17	0	0	0
GRK6	3.704E-5	0.36170764	35	0	0	0
ZFYVE20	1.71E-5	0.35572837	29	0	0	0
MIF4GD	1.047E-5	0.34425185	24	0	0	0
LPIN1	3.26E-6	0.3663297	19	0	0	0
SEC23IP	2.0875E-4	0.39268207	102	0	0	0
NSUN6	8.1E-7	0.35187053	4	0	0	0
MTA1	2.6425E-4	0.4127305	165	0	0	0
CASC3	3.704E-5	0.39283871	51	0	0	0
DDX55	2.2865E-4	0.38227235	36	0	0	0
APEH	1.629E-5	0.37097275	46	0	0	0
TMCO1	2.823E-5	0.39908465	48	0	0	0
SELK	5.52E-6	0.352842	15	0	0	1
HEATR2	1.0879E-4	0.38861679	66	0	0	1
THAP1	7.466E-5	0.37323881	76	0	0	0
AASS	9.98E-6	0.37507841	29	0	0	0
CHD1L	8.069E-5	0.39308774	74	0	0	0
ZNF616	3.6E-7	0.32123259	4	0	0	1
AKAP10	2.58E-6	0.36548999	13	0	0	0
ZNF581	8.173E-5	0.37308078	53	0	0	1
EPM2A	1.609E-5	0.36010496	54	0	0	1
FSIP1	1.057E-5	0.33722078	4	0	0	0
PHF19	2.125E-5	0.35516239	51	0	0	0
MTHFD2L	5.0E-7	0.29790036	6	0	0	1
TEX261	0.0	0.24355188	1	0	0	0
SART1	1.7234E-4	0.40713	156	0	0	0
NPEPPS	1.0808E-4	0.40420087	92	0	0	0
RBM4B	4.296E-5	0.3894394	64	0	0	0
UBA52	1.0977E-4	0.38748351	107	0	0	0
PPP2R5B	6.28E-6	0.33000217	14	0	0	0
PRPS1	3.475E-5	0.37971468	76	0	0	0
PLD3	2.037E-5	0.38623203	35	0	0	0
BET1	4.0079E-4	0.39704976	285	0	0	0
CLPTM1L	8.93E-6	0.3781879	24	0	0	0
UHMK1	2.71E-6	0.34379235	12	0	0	0
TRIM4	9.17E-6	0.37009528	20	0	0	0
PPAT	3.221E-5	0.38235966	48	0	0	0
PAICS	1.6483E-4	0.41420089	138	0	0	0
ATP13A1	1.004E-5	0.37020166	16	0	0	1
HDHD2	2.99E-6	0.3213374	7	0	0	0
SRPX	5.0E-8	0.32798511	3	0	0	0
OPA1	1.1843E-4	0.41275085	82	0	0	0
F2RL1	3.17E-6	0.34519588	15	0	0	0
TBC1D14	3.726E-5	0.37160677	27	0	0	0
ZBTB44	2.079E-5	0.35654655	27	0	0	0
CRTC2	1.349E-5	0.37777828	44	0	0	0
TMED10	8.21E-5	0.40279081	80	0	0	0
ZBTB43	4.178E-5	0.36323006	33	0	0	0
SMOX	1.31E-6	0.341548	8	0	0	0
SRPK2	0.00468694	0.43988439	487	0	0	0
MPV17	2.694E-5	0.36661849	51	0	0	1
HIST1H3F	4.5E-7	0.35384128	10	0	0	0
PYGO1	1.93E-6	0.3353766	9	0	0	0
PTPRJ	4.994E-5	0.38977487	40	0	0	0
COPS3	1.2054E-4	0.40854075	137	0	0	0
ZDBF2	2.99E-6	0.3623888	15	0	0	1
C2ORF89	0	0	0	0	0	0
DDX39A	1.4938E-4	0.40211361	113	0	0	0
BDH1	3.221E-5	0.37765897	29	0	0	0
PITX2	8.98E-6	0.35582666	23	0	0	0
NFE2L3	3.23E-6	0.3269858	18	0	0	0
INTS10	2.57E-6	0.35408824	32	0	0	0
SRFBP1	4.57E-6	0.36953163	20	0	0	0
DCLRE1C	8.92E-6	0.35346775	40	0	0	0
MRPL17	6.94E-6	0.36300954	50	0	0	0
TXLNG	3.189E-5	0.38504174	56	0	0	0
ERGIC2	1.4756E-4	0.38696406	31	0	0	0
NOL10	5.12E-6	0.3812278	48	0	0	0
NARS	1.4483E-4	0.40177586	77	0	0	0
RNPC3	5.82E-6	0.3621928	18	0	0	0
CACNB1	6.77E-6	0.34020158	11	0	0	0
RPL19	4.595E-5	0.41420089	216	0	0	0
EFHC1	2.966E-5	0.33531615	31	0	0	1
TTC14	2.39E-6	0.3414853	22	0	0	0
SEC14L2	1.48E-6	0.31709534	2	0	0	0
PDSS1	2.37E-6	0.3393878	9	0	0	0
PRPF19	3.4348E-4	0.43034135	256	0	0	0
ZNF841	0.0	0.3160836	1	0	0	0
DERL1	1.8566E-4	0.40609309	143	0	0	0
C11ORF31	3.1E-7	0.32307366	5	0	0	0
ISCU	1.746E-5	0.34250527	23	0	0	0
SART3	1.7712E-4	0.41136146	198	0	0	0
SLC30A6	4.052E-5	0.36978465	28	0	0	0
ZNF267	1.92E-6	0.31513167	6	0	0	0
CHM	6.28E-6	0.32936594	28	0	0	0
TIPRL	4.673E-5	0.38154926	63	0	0	0
TAF10	1.577E-4	0.38156665	103	0	0	0
CYTH3	5.636E-5	0.37784649	21	0	0	0
LTA4H	3.311E-5	0.37342196	27	0	0	0
C19ORF24	0	0	0	0	0	0
C12ORF5	2.293E-5	0.36838515	23	0	0	0
GCC2	3.566E-5	0.35964083	32	0	0	0
MRPL3	1.63E-5	0.38776172	73	0	0	0
HSD17B11	1.51E-6	0.37419816	13	0	0	0
LYPLA2	2.566E-5	0.37623317	29	0	0	0
MAP2K2	7.066E-5	0.3968333	59	0	1	0
EBAG9	3.9E-7	0.33118373	6	0	0	0
TSPO	1.348E-5	0.34842872	23	0	0	1
RTCD1	0	0	0	0	0	0
MFAP3L	0	0	0	0	0	0
LHX4	3.918E-5	0.34141567	43	0	0	0
OAT	1.096E-4	0.39678627	94	0	0	0
ST8SIA1	5.9E-7	0.31347951	10	0	0	0
KPNA6	5.636E-5	0.40380116	96	0	0	0
ING5	5.493E-5	0.38226363	70	0	0	0
SMC1A	3.917E-4	0.41738133	204	1	0	0
CDCA7L	4.751E-5	0.37034088	47	0	0	0
C7ORF49	2.2E-7	0.29863366	3	0	0	1
RPAP3	1.885E-4	0.39644802	113	0	0	0
FAM20B	1.476E-5	0.35013385	19	0	0	0
NUDT19	1.442E-5	0.34174321	39	0	0	1
CHKB	0.0	0.29134256	1	0	0	0
TIMM17A	6.68E-6	0.35981087	13	0	0	0
TNFAIP8	9.21E-6	0.36327735	27	0	0	0
VASH1	1.234E-4	0.34207139	12	0	0	0
MOGS	4.96E-5	0.39855262	95	0	0	0
PEBP1	1.0608E-4	0.37274852	92	0	0	0
RNASEH1	5.84E-6	0.36024444	13	0	0	0
LRRK2	0.00114961	0.41054438	300	0	0	0
KLC2	9.923E-5	0.39319853	86	0	0	0
CASP8	3.3788E-4	0.39670166	195	1	0	0
NKX3-2	2.0E-8	0.32325456	8	0	0	1
HERC1	1.7351E-4	0.37744612	67	0	0	0
ADIPOR2	1.92E-6	0.31963191	6	0	0	0
MCM3	1.5992E-4	0.41905286	193	0	0	0
CDC7	2.617E-5	0.37944789	51	0	0	0
PARK7	4.9113E-4	0.41191812	256	0	0	0
PGM2L1	4.6E-7	0.3437006	8	0	0	0
TBC1D15	7.151E-5	0.38728631	72	0	0	0
RFK	9.0E-7	0.32107857	12	0	0	0
HIP1	2.094E-5	0.39208431	47	0	1	0
NEK9	1.722E-5	0.3865263	44	0	0	0
KIF21A	6.577E-5	0.39860956	58	0	0	0
DDX58	9.13E-5	0.39071179	85	0	0	0
ARID5A	1.698E-5	0.35341552	22	0	0	0
HIST1H2BH	4.25E-6	0.37524655	20	0	0	1
TRPC4AP	8.629E-5	0.38476742	59	0	0	0
CXXC1	3.287E-5	0.3730309	66	0	0	0
NAT10	4.138E-5	0.41357674	118	0	0	0
EBF2	0.0	0.25389363	1	0	0	0
DPP3	1.281E-5	0.37128537	27	0	0	0
RPL6	2.5854E-4	0.4296015	363	0	0	0
ODF2L	1.838E-5	0.37069347	19	0	0	1
TEP1	5.67E-6	0.36445567	16	0	0	0
PSMD2	4.1804E-4	0.43371933	273	0	0	0
LRCH3	5.065E-5	0.38896891	57	0	0	0
SPOP	9.25E-5	0.38011125	133	1	0	0
ZNF93	0.0	0.30948112	2	0	0	0
PRMT6	2.7303E-4	0.37265726	127	0	0	0
FRA10AC1	1.4836E-4	0.3421413	48	0	0	0
PAG1	5.877E-5	0.36102126	48	0	0	0
LYPLAL1	1.295E-5	0.35031701	20	0	0	1
HDAC5	5.8516E-4	0.42278845	382	0	0	0
CMTM6	1.454E-5	0.34684787	20	0	0	0
RAP1A	1.9756E-4	0.40419111	92	0	0	0
MSRB3	4.079E-5	0.34804482	40	0	0	0
C6ORF72	0	0	0	0	0	0
RFXAP	1.02E-6	0.33890688	12	0	0	1
POLRMT	3.152E-5	0.38114101	49	0	0	0
ZNF816	1.36E-6	0.31793236	13	0	0	1
TMEM22	0	0	0	0	0	0
TBRG4	2.014E-4	0.39210267	47	0	0	0
GRSF1	3.884E-5	0.39258078	78	0	0	0
KLHDC8B	3.0E-8	0.31381443	3	0	0	0
GMDS	1.284E-5	0.3650278	34	0	0	0
PKIA	1.4E-7	0.33710535	6	0	0	1
EPHA5	8.7E-7	0.32847417	7	0	0	0
CDC27	2.6156E-4	0.40318852	174	0	0	0
GPR107	6.39E-6	0.34484037	11	0	0	0
PEA15	1.4338E-4	0.35985728	46	0	0	0
ATP5B	0.00135854	0.43358454	331	0	0	0
PKNOX1	2.33E-5	0.36489255	23	0	0	0
METTL10	0	0	0	0	0	1
DOCK1	6.621E-5	0.38433461	35	0	0	0
PDE4A	1.98E-6	0.34851576	13	0	0	0
PDIA5	9.568E-5	0.37055399	37	0	0	0
ZNF746	2.9599E-4	0.40960023	300	0	0	0
TMBIM6	5.417E-5	0.32760004	29	0	0	0
AP3M2	1.34E-6	0.32985263	11	0	0	0
TOR3A	1.842E-5	0.33874231	27	0	0	1
TMEM18	0	0	0	0	0	0
KIF22	5.123E-5	0.38389397	69	0	0	0
FANCG	6.958E-5	0.36760863	97	1	0	0
OTUB1	5.5978E-4	0.40735784	258	0	0	0
ABCF1	4.939E-5	0.40911979	89	0	0	0
PEX12	1.41E-6	0.33484	9	0	0	0
ARMC1	9.386E-5	0.38885147	49	0	0	0
ZNF444	5.692E-5	0.36439221	37	0	0	0
MST4	8.837E-5	0.39919884	92	0	0	0
DNAJC21	6.32E-6	0.37154905	17	0	0	0
C3ORF17	1.479E-5	0.38298943	51	0	0	1
CXCL3	0	0	0	0	0	0
BRMS1L	6.82E-6	0.34818959	34	0	0	0
SUB1	8.379E-5	0.41059473	99	0	0	0
MRPS35	7.043E-5	0.39468163	114	0	0	0
HBEGF	1.57E-6	0.3340583	10	0	0	0
PLXNA3	1.961E-5	0.34816063	32	0	0	1
GLI4	7.0E-7	0.32119561	3	0	0	0
VPS33A	2.418E-5	0.36856357	40	0	0	0
FEZ1	8.466E-5	0.35414816	85	0	0	0
GNPDA2	2.75E-6	0.32557416	15	0	0	0
