Gene	oncogene_p_value	oncogene_q_value	tsg_p_value	tsg_q_value
MCF2L2	0.322789431	0.870127088	0.090324162	0.907443897
CORO7	0.074154181	0.722068966	0.324412966	0.930786542
MYEF2	0.471255789	0.912244252	0.069376192	0.878206897
PRMT6	0.091620812	0.733967729	0.264521929	0.930786542
SCYL1	0.188624353	0.812228571	0.137782621	0.930786542
NEO1	0.076169981	0.723818437	0.316311632	0.930786542
ZFAND5	0.471255789	0.912244252	0.069376192	0.878206897
TUBA1C	0.080157995	0.723818437	0.300479433	0.930786542
IDH3B	0.257194225	0.843150563	0.107458458	0.919662409
AP3M1	0.068232089	0.717296678	0.350286026	0.930786542
PSME1	0.199008445	0.813360053	0.134442931	0.930786542
LCLAT1	0.21050395	0.821536238	0.125192046	0.928444444
NUP54	0.296366113	0.859483554	0.096268047	0.912108981
PSMA6	0.35171343	0.880723056	0.084712612	0.903486345
GFRA4	0.720828112	0.971474473	0.053331517	0.841617523
DAB1	0.062925633	0.703839122	0.379449741	0.930786542
EIF3F	0.113979842	0.756910275	0.216823754	0.930786542
OPRD1	0.049550531	0.684349135	0.494693544	0.934070569
SLC52A2	0.054987742	0.693200549	0.437624625	0.930786542
KLK11	0.383110869	0.888551933	0.081340234	0.901570048
HIST1H2BO	0.322789431	0.870127088	0.090324162	0.907443897
RHOBTB3	0.167769	0.791823091	0.155461727	0.930786542
SIAH1	0.123317897	0.764179608	0.206036502	0.930786542
SRCIN1	0.099286298	0.734246575	0.245562517	0.930786542
GABRE	0.062925633	0.703839122	0.379449741	0.930786542
PAXBP1	0.236289839	0.835021178	0.117030782	0.923925864
THAP6	0.865360937	0.980384111	0.047845274	0.824600939
AMMECR1	0.564728957	0.931237086	0.061950422	0.864411557
SLC39A4	0.130226096	0.766859159	0.195505312	0.930786542
SH3GL3	0.044570962	0.666205212	0.584015255	0.937424468
CHAF1A	0.250046309	0.838895997	0.112111141	0.923925864
YOD1	0.056605829	0.697766433	0.425339145	0.930786542
CRMP1	0.162778534	0.789587738	0.159302642	0.930786542
VAMP8	0.07202942	0.720490463	0.341340234	0.930786542
GNL3	0.28828657	0.855675938	0.098490874	0.912108981
CSPP1	0.204750749	0.814874241	0.128183056	0.930786542
ITGB2	0.0595696	0.697766433	0.413440479	0.930786542
SH3GL1	0.204750749	0.814874241	0.131332062	0.930786542
GAB1	0.049550531	0.684349135	0.527256878	0.934650967
ERC2	0.048308363	0.684349135	0.544903296	0.934650967
ACTN1	0.183159902	0.808343352	0.141154999	0.930786542
STK39	0.099286298	0.734246575	0.251876873	0.930786542
KLHL31	0.699013893	0.967820774	0.054426587	0.841617523
HSD17B4	0.080157995	0.723818437	0.300479433	0.930786542
CASQ2	0.264821575	0.845062587	0.107458458	0.919662409
PRKAB1	0.418191229	0.903472222	0.07815854	0.897747184
MAP2	0.089152819	0.733482743	0.277847998	0.930786542
MAGED2	0.096649414	0.733967729	0.25815854	0.930786542
USP54	0.043356034	0.665384615	0.584015255	0.937424468
CCSER2	0.304647235	0.859483554	0.096268047	0.912108981
CCP110	0.052388995	0.693200549	0.479286298	0.934070569
CCNA1	0.08224462	0.723818437	0.300479433	0.930786542
APLF	0.141514574	0.772605592	0.17643149	0.930786542
MED15	0.126771997	0.765931534	0.200730046	0.930786542
HEATR3	0.36184146	0.88601921	0.08305094	0.902011834
FHL2	0.126771997	0.765931534	0.206036502	0.930786542
GAN	0.406140016	0.901087876	0.07815854	0.897747184
CHST11	0.054987742	0.693200549	0.450661945	0.930786542
PRKAR2A	0.199008445	0.813360053	0.134442931	0.930786542
TRIM46	0.250046309	0.838895997	0.112111141	0.923925864
CLASP1	0.084271316	0.723818437	0.292824843	0.930786542
NCCRP1	0.430847181	0.905449966	0.075162081	0.893523316
SLC9A3	0.22961046	0.829625984	0.119498774	0.923925864
APOB	0.080157995	0.723818437	0.308281122	0.930786542
CALCOCO2	0.394175974	0.897655087	0.079700354	0.898035605
MSI2	0.172912013	0.795438596	0.155461727	0.930786542
ALDH1A2	0.0595696	0.697766433	0.413440479	0.930786542
OCSTAMP	0.60049033	0.938681656	0.060681013	0.864411557
PSMA3	0.216763825	0.821536238	0.125192046	0.928444444
SUMO1	0.280272405	0.852427506	0.102882048	0.914036786
LZTFL1	0.272318169	0.847042874	0.105159357	0.919142857
FES	0.080157995	0.723818437	0.308281122	0.930786542
TAGLN3	0.236289839	0.835021178	0.117030782	0.923925864
CPSF6	0.086902751	0.729355281	0.285502588	0.930786542
NFYA	0.068232089	0.717296678	0.35977118	0.930786542
CCDC59	0.720828112	0.971474473	0.054426587	0.841617523
CHD1L	0.123317897	0.764179608	0.206036502	0.930786542
DAG1	0.193598475	0.812228571	0.141154999	0.930786542
S100A10	0.049550531	0.684349135	0.527256878	0.934650967
TUBB3	0.177875238	0.801989683	0.151702533	0.930786542
POGK	0.042288205	0.665384615	0.650809044	0.937424468
ABAT	0.038142196	0.665384615	0.753685644	0.946505906
SAFB2	0.068232089	0.717296678	0.369555979	0.930786542
GTF2H3	0.123317897	0.764179608	0.211359303	0.930786542
MGEA5	0.0940997	0.733967729	0.27110869	0.930786542
HIST1H4E	0.172912013	0.795438596	0.151702533	0.930786542
PRR35	0.183159902	0.808343352	0.148155816	0.930786542
COPS7B	0.313707437	0.864839291	0.096268047	0.912108981
EXOC7	0.061204032	0.698631841	0.413440479	0.930786542
ECT2	0.177875238	0.801989683	0.148155816	0.930786542
CREB5	0.158398257	0.788126864	0.167496595	0.930786542
PCBP4	0.331980387	0.870127088	0.090324162	0.907443897
PLEKHA7	0.12011441	0.761554404	0.211359303	0.930786542
RGS13	0.049550531	0.684349135	0.544903296	0.934650967
TBC1D10A	0.070111686	0.718136161	0.35977118	0.930786542
CHN1	0.331980387	0.870127088	0.090324162	0.907443897
DBP	0.28828657	0.855675938	0.100533914	0.913967311
KNG1	0.372105693	0.886207344	0.08305094	0.902011834
CHMP7	0.076169981	0.723818437	0.324412966	0.930786542
LNPEP	0.068232089	0.717296678	0.35977118	0.930786542
LRR1	0.22961046	0.829625984	0.119498774	0.923925864
SRSF10	0.040108962	0.665384615	0.674639063	0.938319315
NUBP2	0.0940997	0.733967729	0.27110869	0.930786542
MITF	0.048308363	0.684349135	0.544903296	0.934650967
HIST2H2AC	0.188624353	0.812228571	0.144630891	0.930786542
DNAJA1	0.14552438	0.780147476	0.180762735	0.930786542
GRIA3	0.471255789	0.912244252	0.070738218	0.882065217
KRTAP5-9	0.167769	0.791823091	0.159302642	0.930786542
PRRC2C	0.107758104	0.750341426	0.239515118	0.930786542
ARHGEF2	0.084271316	0.723818437	0.300479433	0.930786542
GPATCH8	0.149866521	0.780147476	0.17643149	0.930786542
TMC6	0.08224462	0.723818437	0.308281122	0.930786542
AIDA	0.36184146	0.88601921	0.086559521	0.907443897
PTTG1IP	0.331980387	0.870127088	0.092231	0.910650888
NAT10	0.091620812	0.733967729	0.277847998	0.930786542
PAN3	0.28828657	0.855675938	0.102882048	0.914036786
RBBP4	0.089152819	0.733482743	0.285502588	0.930786542
NDUFV3	0.331980387	0.870127088	0.092231	0.910650888
IKBKE	0.091620812	0.733967729	0.285502588	0.930786542
FBXO6	0.193598475	0.812228571	0.141154999	0.930786542
GMNN	0.0595696	0.697766433	0.425339145	0.930786542
DENND2D	0.066423318	0.712565751	0.379449741	0.930786542
ITGB1BP1	0.564728957	0.931237086	0.064353037	0.864411557
LRRC23	0.304647235	0.859483554	0.098490874	0.912108981
TOE1	0.080157995	0.723818437	0.316311632	0.930786542
FOS	0.137412149	0.772605592	0.190324162	0.930786542
UBASH3B	0.141514574	0.772605592	0.185301008	0.930786542
HSD17B10	0.193598475	0.812228571	0.141154999	0.930786542
CENPW	0.331980387	0.870127088	0.094197766	0.912108981
TTF2	0.14552438	0.780147476	0.180762735	0.930786542
RPS5	0.0595696	0.697766433	0.425339145	0.930786542
RPL23A	0.10192863	0.739778569	0.251876873	0.930786542
CTBP1	0.188624353	0.812228571	0.144630891	0.930786542
MPP5	0.216763825	0.821536238	0.128183056	0.930786542
MAPK11	0.042288205	0.665384615	0.650809044	0.937424468
ETFA	0.272318169	0.847042874	0.107458458	0.919662409
COCH	0.430847181	0.905449966	0.076665759	0.897747184
GPR20	0.046989921	0.67700157	0.584015255	0.937424468
TMEM52B	0.049550531	0.684349135	0.544903296	0.934650967
LILRA3	0.054987742	0.693200549	0.479286298	0.934070569
DAB2IP	0.10469082	0.743941154	0.251876873	0.930786542
TOR1AIP1	0.36184146	0.88601921	0.088482702	0.907443897
TARBP2	0.199008445	0.813360053	0.141154999	0.930786542
CFAP36	0.762413511	0.973841336	0.054426587	0.841617523
ZBTB14	0.126771997	0.765931534	0.206036502	0.930786542
GLP1R	0.204750749	0.814874241	0.134442931	0.930786542
WDFY3	0.243154454	0.83704051	0.119498774	0.923925864
ZBTB46	0.086902751	0.729355281	0.300479433	0.930786542
ATXN7L3	0.313707437	0.864839291	0.098490874	0.912108981
THAP1	0.183159902	0.808343352	0.151702533	0.930786542
NR2C2	0.137412149	0.772605592	0.195505312	0.930786542
TMEM41B	0.280272405	0.852427506	0.107458458	0.919662409
IRAK3	0.054987742	0.693200549	0.479286298	0.934070569
NCBP1	0.117025334	0.758742494	0.228101335	0.930786542
ATF2	0.167769	0.791823091	0.159302642	0.930786542
SPATA2	0.236289839	0.835021178	0.122484337	0.925947282
HCN1	0.149866521	0.780147476	0.17643149	0.930786542
ARFGAP2	0.141514574	0.772605592	0.190324162	0.930786542
MYH4	0.141514574	0.772605592	0.185301008	0.930786542
KRT85	0.070111686	0.718136161	0.369555979	0.930786542
USP14	0.096649414	0.733967729	0.27110869	0.930786542
STMN4	0.06460365	0.708786611	0.401808771	0.930786542
DERL1	0.372105693	0.886207344	0.086559521	0.907443897
RPS29	0.052388995	0.693200549	0.510721874	0.934650967
VAPB	0.28828657	0.855675938	0.105159357	0.919142857
GABRA3	0.043356034	0.665384615	0.650809044	0.937424468
YEATS4	0.188624353	0.812228571	0.148155816	0.930786542
PHKA1	0.046989921	0.67700157	0.604990466	0.937424468
RPL18	0.383110869	0.888551933	0.084712612	0.903486345
SNTA1	0.14552438	0.780147476	0.185301008	0.930786542
ALS2CR11	0.14552438	0.780147476	0.185301008	0.930786542
LRRFIP2	0.126771997	0.765931534	0.211359303	0.930786542
FOXK2	0.066423318	0.712565751	0.390411332	0.930786542
STARD7	0.418191229	0.903472222	0.079700354	0.898035605
UBQLN2	0.08224462	0.723818437	0.316311632	0.930786542
JMJD8	0.430847181	0.905449966	0.07815854	0.897747184
BRD4	0.089152819	0.733482743	0.300479433	0.930786542
SUGT1	0.137412149	0.772605592	0.195505312	0.930786542
MBOAT2	0.243154454	0.83704051	0.119498774	0.923925864
POU3F2	0.223187142	0.829625984	0.128183056	0.930786542
CCNC	0.068232089	0.717296678	0.390411332	0.930786542
TRIM28	0.149866521	0.780147476	0.180762735	0.930786542
PSEN2	0.07202942	0.720490463	0.369555979	0.930786542
ARSB	0.331980387	0.870127088	0.096268047	0.912108981
PLXNB3	0.074154181	0.722068966	0.35977118	0.930786542
PDPR	0.044570962	0.666205212	0.650809044	0.937424468
OLFM4	0.042288205	0.665384615	0.699705802	0.94123122
CTSB	0.066423318	0.712565751	0.401808771	0.930786542
ZBTB8A	0.10469082	0.743941154	0.25815854	0.930786542
DLG2	0.28828657	0.855675938	0.107458458	0.919662409
LRRTM2	0.257194225	0.843150563	0.117030782	0.923925864
INO80	0.107758104	0.750341426	0.251876873	0.930786542
NLGN3	0.089152819	0.733482743	0.300479433	0.930786542
AHCTF1	0.084271316	0.723818437	0.316311632	0.930786542
COL4A3BP	0.117025334	0.758742494	0.233816399	0.930786542
MSX1	0.296366113	0.859483554	0.102882048	0.914036786
FLCN	0.07202942	0.720490463	0.35977118	0.930786542
NMRK1	0.056605829	0.697766433	0.479286298	0.934070569
KCNK1	0.056605829	0.697766433	0.479286298	0.934070569
USP1	0.12011441	0.761554404	0.228101335	0.930786542
PLEKHB2	0.061204032	0.698631841	0.425339145	0.930786542
HDAC11	0.130226096	0.766859159	0.211359303	0.930786542
NPAS2	0.052388995	0.693200549	0.527256878	0.934650967
LYPLA1	0.086902751	0.729355281	0.308281122	0.930786542
MCM9	0.257194225	0.843150563	0.117030782	0.923925864
NR2C1	0.038142196	0.665384615	0.809773904	0.946505906
C9orf78	0.485982021	0.916396137	0.073772814	0.892028986
NARS	0.123317897	0.764179608	0.222429856	0.930786542
DNAJC2	0.35171343	0.880723056	0.094197766	0.912108981
PIAS4	0.183159902	0.808343352	0.155461727	0.930786542
HP1BP3	0.10192863	0.739778569	0.264521929	0.930786542
CNGA3	0.043356034	0.665384615	0.674639063	0.938319315
RNF130	0.056605829	0.697766433	0.479286298	0.934070569
OR13A1	0.564728957	0.931237086	0.066826478	0.864411557
IRF2BPL	0.250046309	0.838895997	0.119498774	0.923925864
EPM2A	0.177875238	0.801989683	0.163339689	0.930786542
RPS6KA6	0.0595696	0.697766433	0.450661945	0.930786542
ZBTB21	0.099286298	0.734246575	0.27110869	0.930786542
PPP2R5E	0.123317897	0.764179608	0.222429856	0.930786542
PRDX2	0.331980387	0.870127088	0.096268047	0.912108981
NLRP1	0.257194225	0.843150563	0.119498774	0.923925864
ARPC4-TTLL3	0.331980387	0.870127088	0.098490874	0.912108981
ANTXR1	0.07202942	0.720490463	0.369555979	0.930786542
SUV39H2	0.36184146	0.88601921	0.090324162	0.907443897
TLR2	0.264821575	0.845062587	0.114415691	0.923925864
FAM46D	0.040108962	0.665384615	0.781520022	0.946505906
HOOK3	0.304647235	0.859483554	0.105159357	0.919142857
C3orf58	0.062925633	0.703839122	0.425339145	0.930786542
STAU2	0.485982021	0.916396137	0.073772814	0.892028986
OPA1	0.084271316	0.723818437	0.316311632	0.930786542
ILKAP	0.056605829	0.697766433	0.479286298	0.934070569
PSMC4	0.216763825	0.821536238	0.134442931	0.930786542
MAPRE1	0.272318169	0.847042874	0.112111141	0.923925864
UNC79	0.304647235	0.859483554	0.102882048	0.914036786
ZAK	0.074154181	0.722068966	0.35977118	0.930786542
MTMR6	0.250046309	0.838895997	0.119498774	0.923925864
GPRASP1	0.304647235	0.859483554	0.105159357	0.919142857
NRP1	0.123317897	0.764179608	0.228101335	0.930786542
UHRF1	0.113979842	0.756910275	0.245562517	0.930786542
USE1	0.078098611	0.723818437	0.350286026	0.930786542
VPS51	0.154132389	0.787611359	0.185301008	0.930786542
KIAA1429	0.076169981	0.723818437	0.350286026	0.930786542
DHX29	0.172912013	0.795438596	0.167496595	0.930786542
BLNK	0.137412149	0.772605592	0.206036502	0.930786542
ANKRD6	0.141514574	0.772605592	0.195505312	0.930786542
CCNG1	0.35171343	0.880723056	0.094197766	0.912108981
COPS3	0.049550531	0.684349135	0.564211387	0.934919202
PIAS2	0.264821575	0.845062587	0.114415691	0.923925864
ZNF268	0.638670662	0.953926276	0.064353037	0.864411557
BAK1	0.07202942	0.720490463	0.369555979	0.930786542
MYO5C	0.07202942	0.720490463	0.369555979	0.930786542
YEATS2	0.141514574	0.772605592	0.200730046	0.930786542
TARS	0.096649414	0.733967729	0.285502588	0.930786542
PIP5K1C	0.154132389	0.787611359	0.180762735	0.930786542
KIF4A	0.110798148	0.755460624	0.251876873	0.930786542
STK11IP	0.062925633	0.703839122	0.425339145	0.930786542
YWHAQ	0.158398257	0.788126864	0.180762735	0.930786542
KYNU	0.06460365	0.708786611	0.413440479	0.930786542
WIBG	0.086902751	0.729355281	0.308281122	0.930786542
KDM2A	0.0940997	0.733967729	0.300479433	0.930786542
SFXN5	0.58233179	0.934572003	0.066826478	0.864411557
HSPB1	0.188624353	0.812228571	0.155461727	0.930786542
SRRM1	0.074154181	0.722068966	0.369555979	0.930786542
RNF122	0.58233179	0.934572003	0.065540725	0.864411557
PTDSS1	0.14552438	0.780147476	0.195505312	0.930786542
WDHD1	0.167769	0.791823091	0.171931354	0.930786542
FIGNL1	0.183159902	0.808343352	0.155461727	0.930786542
FAM20C	0.394175974	0.897655087	0.086559521	0.907443897
TFDP1	0.07202942	0.720490463	0.379449741	0.930786542
TMEM257	0.638670662	0.953926276	0.063247072	0.864411557
EIF4E2	0.22961046	0.829625984	0.134442931	0.930786542
PDIA3	0.204750749	0.814874241	0.148155816	0.930786542
A1CF	0.068232089	0.717296678	0.401808771	0.930786542
ZFPM2	0.038142196	0.665384615	0.867376737	0.949922434
BCL7A	0.177875238	0.801989683	0.163339689	0.930786542
DDX41	0.250046309	0.838895997	0.122484337	0.925947282
EXOSC2	0.154132389	0.787611359	0.185301008	0.930786542
MAPK15	0.341743394	0.878775567	0.096268047	0.912108981
EIF4B	0.22961046	0.829625984	0.134442931	0.930786542
CNOT7	0.044570962	0.666205212	0.674639063	0.938319315
RC3H1	0.177875238	0.801989683	0.163339689	0.930786542
WDR1	0.204750749	0.814874241	0.148155816	0.930786542
HOOK1	0.313707437	0.864839291	0.102882048	0.914036786
CYC1	0.096649414	0.733967729	0.285502588	0.930786542
GNRH2	0.500550259	0.920048067	0.073772814	0.892028986
ZNF565	0.042288205	0.665384615	0.72621629	0.941296519
MAGEA10	0.043356034	0.665384615	0.699705802	0.94123122
WDR12	0.21050395	0.821536238	0.141154999	0.930786542
PLXNB1	0.0595696	0.697766433	0.464461999	0.932939374
DNAJB8	0.061204032	0.698631841	0.450661945	0.930786542
TXN	0.099286298	0.734246575	0.277847998	0.930786542
PES1	0.113979842	0.756910275	0.245562517	0.930786542
PCGF6	0.14552438	0.780147476	0.195505312	0.930786542
ANKRD11	0.117025334	0.758742494	0.239515118	0.930786542
SLC20A1	0.149866521	0.780147476	0.195505312	0.930786542
ERAS	0.054987742	0.693200549	0.527256878	0.934650967
SLC25A41	0.223187142	0.829625984	0.134442931	0.930786542
NKTR	0.162778534	0.789587738	0.17643149	0.930786542
PCMT1	0.280272405	0.852427506	0.114415691	0.923925864
EIF2S1	0.172912013	0.795438596	0.167496595	0.930786542
BID	0.183159902	0.808343352	0.159302642	0.930786542
UBXN1	0.296366113	0.859483554	0.109828385	0.919662409
DPYD	0.096649414	0.733967729	0.292824843	0.930786542
DDX28	0.188624353	0.812228571	0.155461727	0.930786542
UVRAG	0.154132389	0.787611359	0.185301008	0.930786542
UBA52	0.418191229	0.903472222	0.08305094	0.902011834
CARD8	0.430847181	0.905449966	0.08305094	0.902011834
GSTO1	0.054987742	0.693200549	0.527256878	0.934650967
PTER	0.658567148	0.955799794	0.064353037	0.864411557
SLC2A4	0.096649414	0.733967729	0.285502588	0.930786542
RANGAP1	0.183159902	0.808343352	0.163339689	0.930786542
ASPN	0.638670662	0.953926276	0.064353037	0.864411557
LAMTOR2	0.430847181	0.905449966	0.08305094	0.902011834
KANK2	0.07202942	0.720490463	0.390411332	0.930786542
NOD2	0.048308363	0.684349135	0.627518387	0.937424468
SALL2	0.046989921	0.67700157	0.650809044	0.937424468
CPNE1	0.149866521	0.780147476	0.190324162	0.930786542
CLU	0.172912013	0.795438596	0.171931354	0.930786542
TUBD1	0.044570962	0.666205212	0.699705802	0.94123122
SERPINH1	0.172912013	0.795438596	0.167496595	0.930786542
GNAI3	0.12011441	0.761554404	0.233816399	0.930786542
PLCG2	0.054987742	0.693200549	0.527256878	0.934650967
ITGA7	0.06460365	0.708786611	0.437624625	0.930786542
KAT2A	0.130226096	0.766859159	0.222429856	0.930786542
LAT2	0.531609916	0.927449862	0.072236448	0.888077696
SUV39H1	0.158398257	0.788126864	0.190324162	0.930786542
PAFAH1B3	0.322789431	0.870127088	0.102882048	0.914036786
HIST1H2AM	0.515587034	0.922108545	0.073772814	0.892028986
DDX50	0.126771997	0.765931534	0.228101335	0.930786542
KLHL12	0.250046309	0.838895997	0.125192046	0.928444444
GTF3C5	0.113979842	0.756910275	0.251876873	0.930786542
IMPDH1	0.078098611	0.723818437	0.35977118	0.930786542
FBXO41	0.043356034	0.665384615	0.72621629	0.941296519
SNX3	0.091620812	0.733967729	0.308281122	0.930786542
GJB3	0.06460365	0.708786611	0.437624625	0.930786542
MED8	0.188624353	0.812228571	0.159302642	0.930786542
ANKRD13D	0.078098611	0.723818437	0.35977118	0.930786542
RRP1B	0.172912013	0.795438596	0.171931354	0.930786542
RNF128	0.177875238	0.801989683	0.171931354	0.930786542
PODN	0.058142196	0.697766433	0.494693544	0.934070569
RRP9	0.052388995	0.693200549	0.564211387	0.934919202
KIF18B	0.322789431	0.870127088	0.102882048	0.914036786
ARF4	0.044570962	0.666205212	0.699705802	0.94123122
YAF2	0.10469082	0.743941154	0.27110869	0.930786542
KLF1	0.162778534	0.789587738	0.185301008	0.930786542
POMP	0.406140016	0.901087876	0.088482702	0.907443897
SMG7	0.054987742	0.693200549	0.527256878	0.934650967
UBE2I	0.141514574	0.772605592	0.211359303	0.930786542
ZNF774	0.457455734	0.910299219	0.081340234	0.901570048
COL7A1	0.089152819	0.733482743	0.316311632	0.930786542
LAIR1	0.078098611	0.723818437	0.369555979	0.930786542
NUP88	0.084271316	0.723818437	0.341340234	0.930786542
C18orf8	0.126771997	0.765931534	0.233816399	0.930786542
FAM19A2	0.658567148	0.955799794	0.064353037	0.864411557
SH2D1A	0.0940997	0.733967729	0.300479433	0.930786542
HEXA	0.126771997	0.765931534	0.228101335	0.930786542
TECR	0.172912013	0.795438596	0.17643149	0.930786542
RTN3	0.272318169	0.847042874	0.119498774	0.923925864
PNMT	0.062925633	0.703839122	0.464461999	0.932939374
PDK2	0.531609916	0.927449862	0.072236448	0.888077696
PMS1	0.126771997	0.765931534	0.228101335	0.930786542
CUL4A	0.0940997	0.733967729	0.300479433	0.930786542
CKAP4	0.383110869	0.888551933	0.090324162	0.907443897
HOMER3	0.304647235	0.859483554	0.107458458	0.919662409
PALLD	0.049550531	0.684349135	0.627518387	0.937424468
TMEM67	0.141514574	0.772605592	0.211359303	0.930786542
SMOC1	0.091620812	0.733967729	0.316311632	0.930786542
MAPK10	0.07202942	0.720490463	0.401808771	0.930786542
SATB1	0.044570962	0.666205212	0.72621629	0.941296519
XRCC6	0.188624353	0.812228571	0.163339689	0.930786542
JTB	0.699013893	0.967820774	0.061950422	0.864411557
PFN2	0.216763825	0.821536238	0.148155816	0.930786542
VCAN	0.078098611	0.723818437	0.35977118	0.930786542
LURAP1L	0.762413511	0.973841336	0.058518115	0.858601728
TTC3	0.471255789	0.912244252	0.07815854	0.897747184
ZNF629	0.22961046	0.829625984	0.134442931	0.930786542
FAM98A	0.383110869	0.888551933	0.090324162	0.907443897
CBX1	0.158398257	0.788126864	0.195505312	0.930786542
IL6ST	0.341743394	0.878775567	0.100533914	0.913967311
POLR2J	0.091620812	0.733967729	0.316311632	0.930786542
ZNF398	0.049550531	0.684349135	0.627518387	0.937424468
DIAPH1	0.080157995	0.723818437	0.369555979	0.930786542
TXNDC11	0.099286298	0.734246575	0.292824843	0.930786542
SSFA2	0.123317897	0.764179608	0.239515118	0.930786542
CTNNA2	0.056605829	0.697766433	0.527256878	0.934650967
FERMT2	0.068232089	0.717296678	0.425339145	0.930786542
GABARAPL2	0.107758104	0.750341426	0.277847998	0.930786542
PTPN5	0.070111686	0.718136161	0.413440479	0.930786542
MPP4	0.22961046	0.829625984	0.141154999	0.930786542
HMGCS1	0.22961046	0.829625984	0.137782621	0.930786542
BTBD7	0.304647235	0.859483554	0.109828385	0.919662409
KLF7	0.741242168	0.971474473	0.060681013	0.864411557
TRIM39	0.257194225	0.843150563	0.125192046	0.928444444
NAA35	0.58233179	0.934572003	0.069376192	0.878206897
ZWILCH	0.36184146	0.88601921	0.098490874	0.912108981
NPEPL1	0.193598475	0.812228571	0.159302642	0.930786542
STX12	0.28828657	0.855675938	0.114415691	0.923925864
DGCR14	0.076169981	0.723818437	0.379449741	0.930786542
SEC16A	0.14552438	0.780147476	0.206036502	0.930786542
UBXN6	0.21050395	0.821536238	0.148155816	0.930786542
TBL1X	0.070111686	0.718136161	0.413440479	0.930786542
TAB3	0.531609916	0.927449862	0.073772814	0.892028986
NELFA	0.137412149	0.772605592	0.216823754	0.930786542
DPP3	0.154132389	0.787611359	0.195505312	0.930786542
ZNF160	0.162778534	0.789587738	0.185301008	0.930786542
AMPD1	0.070111686	0.718136161	0.413440479	0.930786542
PTPN1	0.167769	0.791823091	0.180762735	0.930786542
MEGF6	0.216763825	0.821536238	0.148155816	0.930786542
CDC25B	0.096649414	0.733967729	0.300479433	0.930786542
UBAC1	0.177875238	0.801989683	0.171931354	0.930786542
INADL	0.236289839	0.835021178	0.137782621	0.930786542
ERCC4	0.041198583	0.665384615	0.838267502	0.946505906
FBXL5	0.8259003	0.980384111	0.056360665	0.853547855
STAC	0.049550531	0.684349135	0.627518387	0.937424468
ORC5	0.199008445	0.813360053	0.155461727	0.930786542
PWP2	0.080157995	0.723818437	0.369555979	0.930786542
CHAF1B	0.089152819	0.733482743	0.332890221	0.930786542
NOL4	0.062925633	0.703839122	0.464461999	0.932939374
FRYL	0.257194225	0.843150563	0.128183056	0.930786542
C14orf166	0.22961046	0.829625984	0.141154999	0.930786542
FBN2	0.22961046	0.829625984	0.141154999	0.930786542
TXNDC15	0.10469082	0.743941154	0.285502588	0.930786542
ANXA13	0.699013893	0.967820774	0.063247072	0.864411557
PHTF2	0.485982021	0.916396137	0.079700354	0.898035605
TCF3	0.280272405	0.852427506	0.119498774	0.923925864
GPC6	0.167769	0.791823091	0.185301008	0.930786542
C1orf52	0.086902751	0.729355281	0.341340234	0.930786542
TFAP4	0.272318169	0.847042874	0.122484337	0.925947282
CR2	0.076169981	0.723818437	0.390411332	0.930786542
LRRK1	0.061204032	0.698631841	0.494693544	0.934070569
DDX39A	0.141514574	0.772605592	0.216823754	0.930786542
CDV3	0.313707437	0.864839291	0.107458458	0.919662409
HRNR	0.154132389	0.787611359	0.195505312	0.930786542
TTC1	0.149866521	0.780147476	0.206036502	0.930786542
MAPK8IP3	0.066423318	0.712565751	0.450661945	0.930786542
MBTPS1	0.107758104	0.750341426	0.27110869	0.930786542
ITGA2B	0.0940997	0.733967729	0.316311632	0.930786542
NUB1	0.133892672	0.767280674	0.228101335	0.930786542
ABCC4	0.133892672	0.767280674	0.228101335	0.930786542
COX5A	0.243154454	0.83704051	0.134442931	0.930786542
MBD4	0.113979842	0.756910275	0.264521929	0.930786542
BSCL2	0.183159902	0.808343352	0.171931354	0.930786542
SP4	0.123317897	0.764179608	0.245562517	0.930786542
HDAC8	0.341743394	0.878775567	0.102882048	0.914036786
TSSC1	0.322789431	0.870127088	0.107458458	0.919662409
HTRA1	0.070111686	0.718136161	0.425339145	0.930786542
TPM3	0.177875238	0.801989683	0.17643149	0.930786542
PADI2	0.183159902	0.808343352	0.171931354	0.930786542
CDC25C	0.123317897	0.764179608	0.245562517	0.930786542
TADA3	0.243154454	0.83704051	0.134442931	0.930786542
GRB10	0.0940997	0.733967729	0.316311632	0.930786542
SP100	0.313707437	0.864839291	0.109828385	0.919662409
CAMSAP2	0.406140016	0.901087876	0.092231	0.910650888
ZKSCAN1	0.126771997	0.765931534	0.239515118	0.930786542
LYAR	0.430847181	0.905449966	0.088482702	0.907443897
KLHL21	0.531609916	0.927449862	0.075162081	0.893523316
SSBP1	0.068232089	0.717296678	0.437624625	0.930786542
FMNL3	0.14552438	0.780147476	0.211359303	0.930786542
CEP85	0.048308363	0.684349135	0.674639063	0.938319315
NALCN	0.22961046	0.829625984	0.144630891	0.930786542
MIOS	0.35171343	0.880723056	0.102882048	0.914036786
SAP25	0.058142196	0.697766433	0.544903296	0.934650967
TRPM7	0.141514574	0.772605592	0.222429856	0.930786542
HIST1H4I	0.053707437	0.693200549	0.604990466	0.937424468
DAD1	0.60049033	0.938681656	0.070738218	0.882065217
FARSB	0.272318169	0.847042874	0.122484337	0.925947282
RPH3A	0.044570962	0.666205212	0.781520022	0.946505906
